School Name,Years of Data,Years Available,School Type,School Level,ZIP Code,Neighborhood,Asian_Percent,Black_Percent,Hispanic_Percent,White_Percent,Latest Year Mean Score,Latest Year Pass Rate
"Queens High School for Information, Research, and Technology",6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11691,Rockaway,5.76,30.94,63.31,0.0,68.02,62.61
Queens High School for Language Studies,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11354,Flushing - Clearview,66.94,0.0,33.06,0.0,72.17,75.83
Queens High School for the Sciences at York College,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11433,Jamaica,100.0,0.0,0.0,0.0,88.5,100.0
"Queens High School of Teaching, Liberal Arts and the Sciences",6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11426,Southeast Queens,22.16,44.31,28.74,4.79,65.91,55.71
Queens Metropolitan High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11375,Jamaica,6.88,0.0,53.12,40.0,69.0,70.04
Queens Preparatory Academy,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11413,Southeast Queens,0.0,87.23,12.77,0.0,55.6,29.79
Queens Satellite High School for Opportunity,6,"2017, 2018, 2019, 2020, 2022, 2023",Transfer School,High school,11432,Jamaica,17.14,34.29,48.57,0.0,62.57,60.0
The Queens School of Inquiry,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11374,Fresh Meadows,49.0,18.0,33.0,0.0,64.53,56.02
Queens Technical High School,6,"2017, 2018, 2019, 2020, 2022, 2023",Career Technical,High school,11101,Long Island City - Astoria,5.44,3.37,88.34,2.85,65.03,56.24
Quest to Learn,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10011,Chelsea - Clinton,0.0,30.34,58.43,11.24,57.2,37.06
Rachel Carson High School for Coastal Studies,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11224,Coney Island - Sheepshead Bay ,12.12,11.11,18.18,58.59,61.84,53.54
Ralph R. McKee Career and Technical Education High School,6,"2017, 2018, 2019, 2020, 2022, 2023",Career Technical,High school,10301,Stapleton - St. George,0.0,26.23,60.66,13.11,62.01,52.49
Renaissance High School for Musical Theater and the Arts,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10461,Pelham - Throgs Neck,0.0,25.93,66.67,7.41,64.04,50.65
Research and Service High School,6,"2017, 2018, 2019, 2020, 2022, 2023",Transfer School,High school,11213,Bedford Stuyvesant - Crown Heights,0.0,100.0,0.0,0.0,55.1,27.3
Richard R. Green High School of Teaching,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10004,Lower Manhattan,18.33,16.67,50.0,15.0,71.43,68.34
Richmond Hill High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11418,Southwest Queens,31.2,10.57,54.3,3.93,65.56,59.72
Robert F. Kennedy Community High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11366,Fresh Meadows,24.75,20.79,54.46,0.0,67.42,59.42
Robert H. Goddard High School of Communication Arts and Technology,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11417,Southwest Queens,31.3,6.11,48.85,13.74,83.23,95.43
Rockaway Collegiate High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11694,Rockaway,0.0,100.0,0.0,0.0,49.4,20.0
Rockaway Park High School for Environmental Sustainability,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11694,Rockaway,0.0,51.43,48.57,0.0,51.45,14.29
School for Classics High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11208,East New York,0.0,52.63,47.37,0.0,49.04,10.52
School for Excellence,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10456,High Bridge - Morrisania,0.0,100.0,0.0,0.0,63.2,46.2
The School for Human Rights,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11203,East Flatbush - Flatbush,0.0,100.0,0.0,0.0,59.8,46.4
Schuylerville Preparatory High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10461,Pelham - Throgs Neck,6.62,31.13,53.64,8.61,56.53,43.69
South Bronx Community Charter High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10456,High Bridge - Morrisania,0.0,0.0,100.0,0.0,52.8,17.5
South Bronx Preparatory: A College Board School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10454,Hunts Point - Mott Haven,0.0,0.0,100.0,0.0,70.1,75.4
South Brooklyn Community High School,6,"2017, 2018, 2019, 2020, 2022, 2023",Transfer School,High school,11234,Downtown - Heights - Park Slope,0.0,38.89,61.11,0.0,60.18,27.81
Spring Creek Community School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11239,Canarsie - Flatlands,0.0,86.08,13.92,0.0,54.9,21.53
Staten Island Technical High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10306,South Beach - Tottenville ,79.07,0.0,0.0,20.93,88.42,100.0
Stephen T. Mather Building Arts & Craftsmanship High School,6,"2017, 2018, 2019, 2020, 2022, 2023",Career Technical,High school,10019,Chelsea - Clinton,0.0,34.33,65.67,0.0,57.64,31.32
Susan E. Wagner High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10314,Willowbrook,22.45,9.49,40.15,27.92,68.61,61.87
Teachers Preparatory High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11212,Bedford Stuyvesant - Crown Heights,0.0,68.85,31.15,0.0,51.5,32.8
The Academy of Urban Planning and Engineering,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11237,Williamsburg - Bushwick,0.0,16.9,77.46,5.63,62.44,54.94
The Boerum Hill School for International Studies,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11201,Downtown - Heights - Park Slope,0.0,27.35,30.77,41.88,62.06,49.56
The Bronx High School of Science,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10468,Fordham - Bronx Park,52.07,7.44,18.18,22.31,87.94,99.18
The Bronxwood Preparatory Academy,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10466,Northeast Bronx,0.0,59.4,40.6,0.0,62.42,54.87
The Brooklyn Academy of Global Finance,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11221,Williamsburg - Bushwick,0.0,54.24,45.76,0.0,57.67,49.18
The Brooklyn School for Social Justice,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11237,Williamsburg - Bushwick,0.0,0.0,100.0,0.0,53.5,21.8
The Cinema School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10472,Pelham - Throgs Neck,0.0,17.05,82.95,0.0,67.89,67.03
The College Academy,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10040,Washington Heights - Inwood,0.0,0.0,100.0,0.0,53.4,44.8
The Eagle Academy for Young Men of Staten Island,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10304,Stapleton - St. George,0.0,100.0,0.0,0.0,50.0,10.0
The Equality Charter School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10475,Northeast Bronx,0.0,51.69,48.31,0.0,66.49,61.82
The Global Learning Collaborative,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10024,Upper West Side,0.0,20.21,79.79,0.0,57.95,39.39
The High School for Climate Justice,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10128,Upper East Side,16.28,16.28,67.44,0.0,61.27,48.85
"The High School of Enterprise, Business, and Technology",6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11211,Greenpoint,0.0,17.78,82.22,0.0,54.12,26.64
The High School for Global Citizenship,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11225,East Flatbush - Flatbush,0.0,100.0,0.0,0.0,74.4,89.1
The High School For Language And Diplomacy,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10003,Union Square - Lower East Side,0.0,0.0,100.0,0.0,63.7,63.6
The Laboratory School of Finance and Technology,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10454,Hunts Point - Mott Haven,0.0,0.0,100.0,0.0,77.6,100.0
"The Marie Curie School for Medicine, Nursing, and Health Professions",6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10463,Kingsbridge - Riverdale,0.0,29.55,70.45,0.0,62.04,43.17
The Maxine Greene HS for Imaginative Inquiry,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10023,Upper West Side,0.0,25.0,75.0,0.0,67.4,66.7
The Metropolitan Soundview High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10472,Pelham - Throgs Neck,0.0,12.31,87.69,0.0,51.83,21.53
The Urban Assembly Bronx Academy of Letters,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10451,High Bridge - Morrisania,0.0,35.9,64.1,0.0,58.29,47.43
The Urban Assembly School for Emergency Management,6,"2017, 2018, 2019, 2020, 2022, 2023",Career Technical,High school,10038,Lower Manhattam,0.0,22.73,77.27,0.0,59.56,47.73
The Urban Assembly School for Global Commerce,6,"2017, 2018, 2019, 2020, 2022, 2023",Career Technical,High school,10035,East Harlem,0.0,100.0,0.0,0.0,61.4,38.7
The Urban Assembly School for Green Careers,6,"2017, 2018, 2019, 2020, 2022, 2023",Career Technical,High school,10024,Upper West Side,0.0,20.87,79.13,0.0,55.81,31.32
The Urban Assembly School for Law and Justice,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11201,Downtown - Heights - Park Slope,0.0,57.14,42.86,0.0,62.7,48.57
The Williamsburg High School of Art and Technology,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11206,Williamsburg - Bushwick,3.33,28.57,64.76,3.33,60.9,52.84
Theatre Arts Production Company School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10457,Crotona - Tremont,0.0,24.72,75.28,0.0,63.54,49.47
Thomas A. Edison Career and Technical Education High School,6,"2017, 2018, 2019, 2020, 2022, 2023",Career Technical,High school,11432,Jamaica,41.03,23.36,31.62,3.99,67.87,66.12
Thurgood Marshall Academy for Learning and Social Change,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10030,Central Harlem - Morningside Heights,0.0,73.79,26.21,0.0,68.13,65.09
Townsend Harris High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11367,Fresh Meadows,47.78,0.0,30.0,22.22,78.72,95.53
Transit Tech High School,6,"2017, 2018, 2019, 2020, 2022, 2023",Career Technical,High school,11208,East New York,0.0,61.62,38.38,0.0,55.57,32.33
Unity Preparatory Charter School of Brooklyn,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11211,Greenpoint,0.0,73.44,26.56,0.0,55.86,28.1
University Neighborhood High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10002,Union Square - Lower East Side,25.81,0.0,74.19,0.0,72.32,80.64
University Prep Charter High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10455,Hunts Point - Mott Haven,0.0,35.29,64.71,0.0,77.91,92.91
Urban Academy Laboratory High School,6,"2017, 2018, 2019, 2020, 2022, 2023",Transfer School,High school,10065,Upper East Side,0.0,50.0,0.0,50.0,76.1,76.9
Urban Action Academy,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11236,Canarsie - Flatlands,0.0,100.0,0.0,0.0,68.7,77.8
The Urban Assembly Academy of Government and Law,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10002,Union Square - Lower East Side,8.22,42.47,49.32,0.0,74.47,80.83
Urban Assembly Institute of Math and Science for Young Women,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11201,Downtown - Heights - Park Slope,16.47,65.88,0.0,17.65,56.23,27.03
Urban Assembly Maker Academy,6,"2017, 2018, 2019, 2020, 2022, 2023",Career Technical,High school,10038,Lower Manhattam,0.0,31.87,55.49,12.64,64.19,53.83
Urban Assembly New York Harbor School,6,"2017, 2018, 2019, 2020, 2022, 2023",Career Technical,High school,10004,Lower Manhattan,0.0,24.68,50.65,24.68,68.08,61.05
The Urban Assembly School for Media Studies (UAM),6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10023,Upper West Side,0.0,29.31,70.69,0.0,54.23,25.87
Urban Assembly School for the Performing Arts,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10027,Central Harlem - Morningside Heights,0.0,100.0,0.0,0.0,57.2,24.2
Urban Assembly School of Business for Young Women,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10004,Lower Manhattan,0.0,0.0,100.0,0.0,70.7,76.9
Urban Dove Team Charter School,6,"2017, 2018, 2019, 2020, 2022, 2023",Transfer School,High school,10456,High Bridge - Morrisania,0.0,76.67,23.33,0.0,45.99,6.67
Validus Preparatory Academy,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10457,Crotona - Tremont,0.0,43.43,56.57,0.0,67.02,60.61
Veritas Academy,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11354,Flushing - Clearview,18.52,0.0,81.48,0.0,68.21,62.94
Victory Collegiate High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11236,Canarsie - Flatlands,0.0,78.69,11.48,9.84,60.91,44.23
Voyages Preperatory South Queens,6,"2017, 2018, 2019, 2020, 2022, 2023",Transfer School,High school,11434,Jamaica,0.0,70.97,29.03,0.0,60.39,25.81
Voyages Preperatory,6,"2017, 2018, 2019, 2020, 2022, 2023",Transfer School,High school,11373,West Queens,0.0,0.0,100.0,0.0,65.4,63.3
West Bronx Academy for the Future,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10458,Fordham - Bronx Park,0.0,15.69,84.31,0.0,69.2,67.62
Westchester Square Academy,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10461,Pelham - Throgs Neck,0.0,27.03,72.97,0.0,60.33,51.32
William E. Grady Career and Technical Education High School,6,"2017, 2018, 2019, 2020, 2022, 2023",Career Technical,High school,11235,Coney Island - Sheepshead Bay ,21.31,41.8,36.89,0.0,70.58,71.33
Williamsburg High School for Architecture and Design,6,"2017, 2018, 2019, 2020, 2022, 2023",Career Technical,High school,11211,Greenpoint,0.0,35.92,64.08,0.0,62.54,47.62
Wings Academy,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10460,Crotona - Tremont,0.0,37.65,62.35,0.0,57.5,50.56
Women's Academy of Excellence,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10473,Pelham - Throgs Neck,18.18,34.09,47.73,0.0,55.58,25.0
World Academy for Total Community Health High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11207,East New York,0.0,100.0,0.0,0.0,65.8,48.4
World Journalism Preparatory: A College Board School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11358,Flushing - Clearview,19.77,0.0,50.0,30.23,70.11,65.09
World View High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10468,Fordham - Bronx Park,6.06,15.15,76.06,2.73,62.78,52.42
York Early College Academy,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11433,Jamaica,39.06,60.94,0.0,0.0,70.83,71.9
Young Women's Leadership School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10029,East Harlem,0.0,43.64,56.36,0.0,74.47,76.35
Young Women's Leadership School of Brooklyn,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11206,Williamsburg - Bushwick,0.0,57.14,42.86,0.0,67.73,57.16
Young Women's Leadership School of the Bronx,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10453,Crotona - Tremont,0.0,27.87,72.13,0.0,66.98,60.66
The Young Women's Leadership School Astoria,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11102,Long Island City - Astoria,29.03,0.0,51.61,19.35,81.73,87.12
The Young Women's Leadership School of Queens,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11432,Jamaica,52.73,34.55,12.73,0.0,80.35,89.12
Academy for Language and Technology,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10453,Crotona - Tremont,0.0,0.0,100.0,0.0,68.9,69.4
Academy of Finance and Enterprise,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11101,Long Island City - Astoria,24.37,4.2,59.66,11.76,78.69,89.07
Academy of Hospitality and Tourism,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11226,East Flatbush - Flatbush,6.34,61.27,32.39,0.0,73.3,78.18
Alfred E. Smith Career and Technical Education Hig,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",Career Technical,High school,10451,High Bridge - Morrisania,0.0,30.0,70.0,0.0,55.1,23.52
Art and Design High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",Career Technical,High school,10022,Gramercy Park - Murray Hill,11.64,15.08,44.27,29.01,81.64,92.17
Aviation Career & Technical Education High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",Career Technical,High school,11101,Long Island City - Astoria,24.62,2.43,60.79,12.16,74.08,78.11
Benjamin Banneker Academy,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11205,Downtown - Heights - Park Slope,3.61,73.9,20.08,2.41,73.56,87.17
Bronx Career and College Preparatory High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10456,High Bridge - Morrisania,0.0,35.0,65.0,0.0,47.52,15.02
Bronx Center for Science and Mathematics,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10456,High Bridge - Morrisania,0.0,34.04,65.96,0.0,62.56,48.95
Bronx Collegiate Academy,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10457,Crotona - Tremont,0.0,27.82,72.18,0.0,62.1,53.26
Bronx Design and Construction Academy,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",Career Technical,High school,10451,High Bridge - Morrisania,0.0,30.77,69.23,0.0,57.32,37.17
Bronx Envision Academy,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10460,Crotona - Tremont,0.0,40.83,59.17,0.0,70.43,68.32
Bronx Leadership Academy II High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10451,High Bridge - Morrisania,0.0,35.38,64.62,0.0,59.63,43.82
Bronx Studio School for Writers and Artists,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10459,Hunts Point - Mott Haven,0.0,18.71,81.29,0.0,61.48,46.04
Bronxdale High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10469,Northeast Bronx,0.0,28.57,61.04,10.39,57.34,31.19
Brooklyn Collaborative Studies,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11231,Downtown - Heights - Park Slope,0.0,0.0,0.0,100.0,75.6,92.9
Brooklyn Collegiate: A College Board School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11233,Bedford Stuyvesant - Crown Heights,0.0,76.7,23.3,0.0,61.68,41.72
Brooklyn Laboratory Charter School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11226,Downtown - Heights - Park Slope,0.0,100.0,0.0,0.0,55.0,37.5
Brooklyn Technical High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11217,Downtown - Heights - Park Slope,62.6,9.45,0.0,27.95,86.49,99.62
Brooklyn Theatre Arts High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11236,Canarsie - Flatlands,0.0,84.21,15.79,0.0,62.56,56.16
Central Park East High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10029,East Harlem,23.7,21.48,54.81,0.0,80.91,94.06
Channel View School for Research,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11694,Rockaway,5.57,43.24,42.97,8.22,64.8,57.02
Clara Barton High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",Career Technical,High school,11225,East Flatbush - Flatbush,0.0,86.1,8.97,4.93,54.09,28.72
Collegiate Institute for Math and Science,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10469,Northeast Bronx,16.52,24.35,40.87,18.26,66.54,60.01
Curtis High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10301,Stapleton - St. George,6.97,31.56,53.94,7.52,61.24,41.63
Cypress Hills Collegiate Preparatory School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11208,East New York,6.44,11.66,81.9,0.0,61.09,43.88
Democracy Preparatory Endurance Charter School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10459,Hunts Point - Mott Haven,0.0,71.43,28.57,0.0,64.11,57.13
Eagle Academy for Young Men,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10457,Crotona - Tremont,0.0,57.47,42.53,0.0,65.6,57.49
Eagle Academy for Young Men II at Ocean Hill,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11233,Bedford Stuyvesant - Crown Heights,0.0,100.0,0.0,0.0,70.7,78.4
East New York Family Academy,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11207,East New York,2.95,63.1,33.95,0.0,65.4,59.8
Energy Tech High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",Career Technical,High school,11106,Long Island City - Astoria,15.15,0.0,70.56,14.29,64.65,55.8
Fordham High School for the Arts,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10458,Fordham - Bronx Park,2.59,30.37,67.04,0.0,66.04,60.72
Fordham Leadership Academy,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10458,Fordham - Bronx Park,0.0,23.81,76.19,0.0,58.85,39.3
Fort Hamilton High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11209,Bensonhurst - Bay Ridge,28.17,3.31,31.97,36.55,78.7,84.4
Franklin Delano Roosevelt High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11204,Borough Park,36.61,7.48,37.4,18.5,64.83,60.43
George Westinghouse Career and Technical Education,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",Career Technical,High school,11201,Downtown - Heights - Park Slope,4.72,63.68,28.3,3.3,65.62,63.7
Gregorio Luperon High School for Science and Mathematics,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10032,Washington Heights - Inwood,0.0,0.0,100.0,0.0,63.1,58.8
High School for Community Leadership,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11432,Jamaica,26.36,35.45,38.18,0.0,78.0,92.72
High School for Environmental Studies,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10019,Chelsea - Clinton,0.0,15.57,68.26,16.17,66.88,58.09
High School of Computers and Technology,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",Career Technical,High school,10467,Fordham - Bronx Park,0.0,44.59,55.41,0.0,66.82,67.55
High School of World Cultures,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10472,Pelham - Throgs Neck,0.0,5.77,94.23,0.0,64.57,61.5
James Madison High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11229,Coney Island - Sheepshead Bay ,16.12,12.03,15.55,56.3,65.39,57.56
John Adams High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11417,Southwest Queens,35.5,23.91,36.93,3.66,73.89,78.34
John Bowne High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11367,Fresh Meadows,25.73,15.4,53.02,5.85,69.02,62.59
John Dewey High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11223,Coney Island - Sheepshead Bay ,28.82,17.83,30.73,22.61,68.37,66.42
Kingsborough Early College School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11214,Bensonhurst - Bay Ridge,5.42,23.49,46.39,24.7,70.9,78.89
Long Island City High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11106,Long Island City - Astoria,8.24,10.44,71.7,9.62,57.39,32.73
Metropolitan High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10459,Hunts Point - Mott Haven,0.0,0.0,100.0,0.0,53.0,40.0
Middle College High School at LaGuardia Community College,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11101,Long Island City - Astoria,10.78,0.0,80.24,8.98,83.69,94.02
Midwood High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11210,East Flatbush - Flatbush,46.41,16.77,12.37,24.46,84.01,91.78
Morris Academy for Collaborative Studies,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10456,High Bridge - Morrisania,0.0,0.0,100.0,0.0,67.7,73.6
Mott Hall V,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10472,Pelham - Throgs Neck,7.79,16.23,75.97,0.0,73.36,70.74
Multicultural High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11208,East New York,0.0,0.0,100.0,0.0,53.2,22.2
New Dawn Charter High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",Transfer School,High school,11216,Bedford Stuyvesant - Crown Heights,0.0,63.33,36.67,0.0,67.22,63.3
New Utrecht High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11214,Bensonhurst - Bay Ridge,41.36,2.5,33.98,22.16,70.79,69.64
New World High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10466,Northeast Bronx,6.02,16.54,70.68,6.77,61.35,50.37
Newcomers High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11101,Long Island City - Astoria,3.58,0.0,92.39,4.03,52.03,16.42
Pan American International High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11373,West Queens,0.0,0.0,100.0,0.0,50.1,38.9
Pathways in Technology Early College High School (P-Tech),7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",Career Technical,High school,11213,Bedford Stuyvesant - Crown Heights,11.39,88.61,0.0,0.0,60.63,43.04
The David A. Stein Riverdale Kingsbridge Academy MS/HS 141,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10463,Kingsbridge - Riverdale,4.98,10.32,61.92,22.78,67.58,58.37
Scholars' Academy,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11694,Rockaway,0.0,24.56,35.09,40.35,90.25,97.38
"Science Skills Center High School for Science, Technology and the Creative Arts",7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11201,Downtown - Heights - Park Slope,10.64,70.21,19.15,0.0,72.09,82.99
"Science, Technology and Research Early College High School at Erasmus (STAR)",7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11226,East Flatbush - Flatbush,6.67,76.36,16.97,0.0,77.98,87.86
