School Name,Years of Data,Years Available,School Type,School Level,ZIP Code,Neighborhood,Asian_Percent,Black_Percent,Hispanic_Percent,White_Percent,Latest Year Mean Score,Latest Year Pass Rate
High School for Health Careers and Sciences,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10040,Washington Heights - Inwood,0.0,9.3,90.7,0.0,54.44,25.54
High School for Health Professions and Human Services,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10003,Union Square - Lower East Side,13.21,25.94,60.85,0.0,62.08,46.66
High School for Innovation in Advertising and Media,6,"2017, 2018, 2019, 2020, 2022, 2023",Career Technical,High school,11236,Canarsie - Flatlands,0.0,77.78,10.0,12.22,55.01,27.79
High School for Law and Public Service,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10040,Washington Heights - Inwood,0.0,5.03,94.97,0.0,55.94,31.46
High School for Law Enforcement and Public Safety,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11434,Jamaica,15.89,56.07,28.04,0.0,54.13,26.18
"High School for Law, Advocacy and Community Justice",6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10023,Upper West Side,6.09,24.35,69.57,0.0,58.44,38.27
High School for Media and Communications,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10040,Washington Heights - Inwood,0.0,0.0,100.0,0.0,56.3,37.0
High School for Medical Professions,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11236,Canarsie - Flatlands,0.0,89.09,0.0,10.91,59.46,38.15
High School for Public Service: Heroes of Tomorrow,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11203,East Flatbush - Flatbush,0.0,82.93,17.07,0.0,59.71,42.7
High School for Service & Learning at Erasmus,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11226,East Flatbush - Flatbush,0.0,63.46,36.54,0.0,56.45,24.97
High School for Teaching and the Professions,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10468,Fordham - Bronx Park,0.0,0.0,100.0,0.0,57.7,41.7
High School for Violin and Dance,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10456,High Bridge - Morrisania,0.0,0.0,100.0,0.0,57.1,42.9
High School for Youth and Community Development at Erasmus,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11226,East Flatbush - Flatbush,0.0,78.86,21.14,0.0,55.67,23.57
City-As-School High School,6,"2017, 2018, 2019, 2020, 2022, 2023",Transfer School,High school,10014,Greenwich Village - SoHo,0.0,46.15,53.85,0.0,63.64,53.85
High School of American Studies at Lehman College,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10458,Fordham - Bronx Park,24.59,0.0,22.95,52.46,89.71,100.0
High School of Applied Communication,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11101,Long Island City - Astoria,11.27,5.63,75.35,7.75,62.12,50.01
High School of Arts and Technology,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10023,Upper West Side,0.0,27.78,72.22,0.0,53.87,27.05
High School of Economics and Finance,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10006,Lower Manhattan,12.84,20.18,66.97,0.0,63.55,55.96
High School of Hospitality Management,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10019,Chelsea - Clinton,0.0,0.0,100.0,0.0,68.6,58.8
High School of Language and Innovation,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10469,Northeast Bronx,0.0,15.09,66.98,17.92,65.44,64.14
High School of Sports Management,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11214,Bensonhurst - Bay Ridge,0.0,14.74,49.36,35.9,56.54,31.41
High School of Telecommunication Arts and Technology,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11220,Sunset Park,20.94,5.13,51.28,22.65,62.37,44.01
Hillcrest High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11432,Jamaica,24.24,33.57,38.93,3.26,60.15,39.86
Hillside Arts & Letters Academy,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11432,Jamaica,46.94,53.06,0.0,0.0,75.82,85.73
Hostos-Lincoln Academy of Science,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10455,Hunts Point - Mott Haven,0.0,0.0,100.0,0.0,75.7,78.7
Hudson High School of Learning Technologies,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10011,Chelsea - Clinton,0.0,0.0,100.0,0.0,64.6,55.0
Humanities Preparatory Academy,6,"2017, 2018, 2019, 2020, 2022, 2023",Transfer School,High school,10011,Chelsea - Clinton,0.0,15.52,48.28,36.21,79.66,84.47
In-Tech Academy (M.S. / High School 368),6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10463,Kingsbridge - Riverdale,0.0,8.05,91.95,0.0,69.01,68.5
Independence High School,6,"2017, 2018, 2019, 2020, 2022, 2023",Transfer School,High school,10019,Chelsea - Clinton,0.0,43.48,56.52,0.0,60.75,43.5
Information Technology High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11101,Long Island City - Astoria,17.91,8.96,67.16,5.97,65.9,56.73
Innovation Charter High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10029,East Harlem,0.0,49.6,50.4,0.0,66.6,60.81
Innovation Diploma Plus,6,"2017, 2018, 2019, 2020, 2022, 2023",Transfer School,High school,10024,Upper West Side,0.0,0.0,100.0,0.0,50.6,15.4
