Neighborhood,mean_commfar,pct_res_zone,mean_subway_km,mean_stations_1km,pct_residential_lots,pct_mixed_lots,pct_commercial_lots,pct_industrial_lots,pct_mfg_zone,commfar_z,reszone_z,transit_z,NEQ_zoning_raw,NEQ_zoning,NEQ_full_raw,NEQ_full,pct_poverty,poverty_z,NEQ3_raw,NEQ3_score
Bayside - Little Neck,0.0012813325858893,0.995995835669096,4.638883383518842,0.0,0.9348922879794986,0.015536157603908,0.0191399055017217,0.0008809161527989,0.0,-0.4157391028418264,-0.6631310280660612,-2.990260693807412,-1.0788701309078876,1.0062649065801157,-4.0691308247153,1.258148196809564,8.5,1.0690610771425366,-0.009809053765351017,3.3250715748744435
Bedford Stuyvesant - Crown Heights,0.1158268607782678,0.9538269388392334,0.3487298141886524,4.4,0.8111705241793841,0.0907849030092502,0.0166660161586198,0.0072596698021154,0.015651223605636,-0.36855563967106836,-0.49111119766122335,0.4663991847219615,-0.8596668373322918,1.225268930682723,-0.3932676526103302,3.849880289263525,25.0,-0.6842880542320121,-1.543954891564304,2.1384761428596777
Bensonhurst - Bay Ridge,0.0600089042239412,0.9732316767766708,0.4707793937048055,3.2857142857142856,0.8392231064611275,0.1052367967054371,0.0214257888585897,0.0017251933886137,0.0036173409761255,-0.39154810859508243,-0.5702690599718266,0.3680614730556786,-0.961817168566909,1.1232114604737713,-0.5937556955112304,3.708522662330421,16.0,0.2720841992450144,-0.6897329693218945,2.799179842524864
Borough Park,0.0946410439622428,0.9495317964724906,0.3467724616296841,3.0,0.824564702342898,0.1000338460381332,0.0197435222443683,0.0087247564965589,0.0301605806475875,-0.37728247714134033,-0.47358999798477136,0.467976261614288,-0.8508724751261116,1.2340552982648556,-0.3828962135118235,3.857192855128466,21.0,-0.25923371935333367,-1.1101061944794453,2.4740393399577068
Canarsie - Flatlands,0.0349334724758674,0.9691494912601096,1.2536217961342708,0.5,0.9103182885468302,0.0171536655361335,0.0159144273415079,0.0087398904252543,0.0238716410122619,-0.4018771518065207,-0.553616576434656,-0.262689822896639,-0.9554937282411768,1.1295291523976403,-1.2181835511378158,3.2682588012784635,12.5,0.6440067422638581,-0.3114869859773186,3.091736746149189
Central Harlem - Morningside Heights,0.3389058594834768,0.9180783115801168,0.1580844426432283,7.0,0.6562066092752014,0.1602332685365176,0.0322132740905304,0.0049986114968064,0.0136073312968619,-0.27666519326360084,-0.3452816109131972,0.6200058554853302,-0.621946804176798,1.462772861493434,-0.0019409486914678,4.125792076426146,31.0,-1.3218695565500298,-1.943816360726828,1.8292005961308906
Chelsea - Clinton,3.832276938078986,0.4958556801560214,0.3782588577456641,10.869565217391305,0.401511457825451,0.3100926377376889,0.1803998049731838,0.008288639687957,0.0463188688444661,1.1623202322684436,1.37709366828127,0.4426070620239378,2.5394139005497136,4.621259692058286,2.982020962573652,6.229686994706641,17.0,0.1658206155253448,2.7052345160750586,5.425040312081217
Coney Island - Sheepshead Bay ,0.0692328601630927,0.9612201751736636,0.8827630061468215,2.2222222222222223,0.846843853820598,0.0600120809423135,0.0275143461189972,0.0032014497130776,0.0125037752944729,-0.3877485871976805,-0.5212704703954093,0.0361182918323896,-0.90901905759309,1.17596157466991,-0.8729007657607002,3.511706512451378,20.0,-0.15297013563366404,-1.061989193226754,2.511255758685282
Crotona - Tremont,0.2544903372489579,0.8661109005936592,0.4634819139423622,3.85,0.7051913603637742,0.0781861816344575,0.0437034230137678,0.0173045345459138,0.0757862826828344,-0.31143753878636343,-0.13329064371914126,0.373941193933166,-0.4447281825055047,1.6398303803785048,-0.0707869885723386,4.077250963048567,38.0,-2.065714642587717,-2.5104428250932216,1.3909395405584466
Downtown - Heights - Park Slope,0.2530731886049281,0.9057662361454611,0.5700051939586,6.863636363636363,0.8171658880644865,0.0869744435284418,0.0208390583493633,0.0178391499496198,0.0662269854355592,-0.3120212890375367,-0.29505688872646,0.2881133226900936,-0.6070781777639966,1.4776279713969669,-0.318964855073903,3.902268785765693,15.0,0.378347782964684,-0.22873039479931262,3.155745389031421
East Flatbush - Flatbush,0.0561421741841612,0.972840019399986,0.5844581792200166,4.588235294117647,0.8482990369292593,0.0843552968890736,0.0181182013441418,0.0054735675188803,0.008868565093882,-0.39314088761755817,-0.5686713697171836,0.2764682723508082,-0.9618122573347416,1.123216367241322,-0.6853439849839336,3.643946725195242,19.5,-0.09983834377382923,-1.061650601108571,2.511517645039795
East Harlem,0.4623692203847452,0.8869389132635842,0.3929213797588717,4.375,0.4438069524130948,0.2774215322308471,0.0573742828214647,0.0155248059399257,0.0215997300033749,-0.22580830662688087,-0.2182544790693007,0.4307931838626903,-0.4440627856961816,1.640495172300605,-0.0132696018334912,4.117804609935208,33.8,-1.6194075909651044,-2.063470376661286,1.7366533915354325
East New York,0.1138895003301782,0.9300462249614792,0.2617720649891378,5.5,0.8019370460048426,0.0631300902487343,0.0141756548536209,0.0170812238608848,0.0528285274047985,-0.3693536749745277,-0.3941023907990925,0.5364627285852903,-0.7634560657736202,1.3213922406461256,-0.2269933371883299,3.96711492484525,27.0,-0.8968152216713513,-1.6602712874449717,2.048510442976516
Flushing - Clearview,0.1051251028408265,0.9541692880995016,1.2905490507190425,0.6666666666666666,0.8546677636354837,0.0571553017470841,0.0342157479552823,0.009388762522383,0.0237622804045879,-0.37296389558006876,-0.4925077450247497,-0.2924428276048945,-0.8654716406048184,1.219469404338613,-1.1579144682097129,3.3107525800439244,15.0,0.378347782964684,-0.4871238576401344,2.955889224698772
Fordham - Bronx Park,0.1437992672365937,0.9454868435661152,0.5885550447277752,2.9565217391304346,0.7495281447762852,0.0980348617741756,0.0499611413345175,0.0035527922726768,0.0092150549572554,-0.3570332779451069,-0.45708939765468387,0.2731673484096144,-0.8141226755997908,1.2707716899300785,-0.5409553271901764,3.745750492275109,35.0,-1.7469238914287082,-2.561046567028499,1.3517997354996247
Fresh Meadows,0.0016722859069453,0.9975724881995954,2.5270159631343825,0.0,0.95118004045853,0.0128118678354686,0.0133513149022252,0.0006068779501011,0.0,-0.41557806179625584,-0.6695626760647777,-1.288688182976286,-1.0851407378610336,1.0,-2.37382892083732,2.453450672707432,11.5,0.7502703259835277,-0.3348704118775059,3.0736506778795474
Gramercy Park - Murray Hill,4.104074196753892,0.4335872805564756,0.2186094797522942,11.2,0.3236170917522358,0.3481285193772772,0.2209340841338191,0.0003312355084465,0.03411725736999,1.274278648690096,1.631105519288695,0.5712396600472323,2.905384167978791,4.986897269676318,3.4766238280260238,6.578415459122943,10.0,0.9096657015630322,3.815049869541823,6.283434472764715
