Neighborhood,mean_commfar,pct_res_zone,mean_hw_dist,PM25,NO2,mean_traffic_vol,NEQ4_raw,NEQ4_score,NEQ4_z
Bayside - Little Neck,0.0012813325858893,0.995995835669096,0.15452906561359353,6.889953371100001,17.215285073,254.87577579220377,-0.01579004987057294,4.706064988218657,-0.00747063303642381
Bedford Stuyvesant - Crown Heights,0.1158268607782678,0.9538269388392334,1.4685532811203843,6.8877483342,17.247669776000002,53.08765328758818,-1.6414339666838536,3.513233060209027,-0.7765998789827312
Bensonhurst - Bay Ridge,0.0600089042239412,0.9732316767766708,0.5243852329169091,6.5714963225,17.8256142775,147.425159046765,0.08468420031772994,4.779788939895831,0.04006602827365939
Borough Park,0.0946410439622428,0.9495317964724906,1.7379611186519373,6.5245032552857145,16.073541697142858,45.19616918816138,-0.7700473716129095,4.152621392112469,-0.36432698953690873
Canarsie - Flatlands,0.0349334724758674,0.9691494912601096,2.29755410568602,6.382564952222222,14.357035755555554,172.77628500684892,-0.7238322140333683,4.186532210434194,-0.34246154352329355
Central Harlem - Morningside Heights,0.3389058594834768,0.9180783115801168,0.6176566949477602,6.9099985265,16.726897299999997,93.85504675166499,-0.07752012676193593,4.660769947974635,-0.036676541538657376
Chelsea - Clinton,3.832276938078986,0.4958556801560214,2.237580060081033,8.3166665155,24.308716955,121.72388227513227,-5.066578733457607,1.0,-2.3971140546146015
Coney Island - Sheepshead Bay ,0.0692328601630927,0.9612201751736636,1.2994325647582476,6.19983530125,12.376189635,81.62500071233535,1.8391692642449666,6.067159304231775,0.8701529620024605
Crotona - Tremont,0.2544903372489579,0.8661109005936592,0.2844842898481505,7.0008842,15.666094677999999,105.60042464931978,0.7396233953577975,5.260356901101108,0.3499327118763681
Downtown - Heights - Park Slope,0.2530731886049281,0.9057662361454611,0.46484601992610486,7.055063061857142,17.478376108571428,193.24552521249979,-0.4448322676221771,4.39125111630912,-0.21046030008804598
East Flatbush - Flatbush,0.0561421741841612,0.972840019399986,1.5969433876981558,6.589638034285715,16.15210267,81.73209998636295,-0.8588141202022497,4.087487932830358,-0.40632456459101957
East Harlem,0.4623692203847452,0.8869389132635842,0.42865382586996215,6.961548230666668,17.18290037,130.49894917830952,0.08548179680224013,4.780374184021284,0.0404433893773773
East New York,0.1138895003301782,0.9300462249614792,0.5207767245333944,6.66512211725,16.97740410625,160.56613754037133,0.3797869209706815,4.996323411926694,0.17968586178396317
Flushing - Clearview,0.1051251028408265,0.9541692880995016,0.6190550584736477,6.680125865444444,15.89604713,126.80889410827608,0.49275818828493456,5.079217170643739,0.23313514716826697
Fordham - Bronx Park,0.1437992672365937,0.9454868435661152,0.9292630310814619,7.0599783662222215,18.237083123333335,177.72589526569595,-1.5837367829999174,3.5555689261035384,-0.7493020243165988
Fresh Meadows,0.0016722859069453,0.9975724881995954,0.26471621350296415,6.889953371100001,17.215285073,185.6203105027321,-0.17620700299938716,4.58835749920029,-0.08336755543184665
Gramercy Park - Murray Hill,4.104074196753892,0.4335872805564756,1.265133758205828,7.929087957428571,23.201719054285714,131.67379553317053,-2.0697773812876648,3.198931941859763,-0.9792589263134118
Greenpoint,0.4367530159917703,0.7789207893014122,0.3514187135062678,6.889953371100001,17.215285073,82.47184156432954,0.7736656334423776,5.28533572215055,0.3660388718032256
Greenwich Village - SoHo,5.981143934632307,0.0138277812696417,1.7145612596013229,7.715415896333333,21.06971086,97.90545634920635,1.0310843095787126,5.47421916248188,0.48782952363142473
High Bridge - Morrisania,0.3917638303150583,0.8233688910940213,0.5912615040630993,7.012086979333334,17.42851278111111,44.6327684737139,-0.11359842942763426,4.634297144870002,-0.05374601009649999
Hunts Point - Mott Haven,0.3992102665350444,0.8353076669957222,0.3898319500025112,7.221486238,17.963995592,51.132018802649334,-0.5414579574272778,4.320351082990989,-0.25617611962897147
Jamaica,0.0651956828727052,0.9714797256405084,0.7151894090974535,6.608650753666667,16.475410635,61.7287853422619,0.22556459158076358,4.883161287918056,0.10671975728533875
Kingsbridge - Riverdale,0.0559610705596107,0.9444444444444444,0.393635205830434,6.894891785666666,16.53528915,72.70134194537259,0.11432808046020088,4.801540423316226,0.05409122465589987
Long Island City - Astoria,0.7424253380577048,0.7257936220984886,0.6741724680449127,7.268983029357143,18.999196832142854,188.24072654383215,-0.8281904341685811,4.109958358288542,-0.39183579967542626
Lower Manhattam,8.616666666666667,0.1444444444444444,0.7914020704408476,6.889953371100001,17.215285073,283.4695555440029,6.115834572687409,9.205203787750259,2.8935409437291337
Lower Manhattan,12.240201005025126,0.0251256281407035,1.1053158411329989,6.784355464666667,19.161636220000002,89.74007936507937,7.199017875557215,10.0,3.406019690360813
Northeast Bronx,0.0492646715532938,0.96573136000747,1.1234705314623001,6.79156674125,14.8325248925,110.8190575015029,-0.15466577558500194,4.6041635829081935,-0.07317590901615337
Pelham - Throgs Neck,0.0582679005421574,0.9672836044120396,0.31529933815565275,6.846059988545455,15.862525941818182,65.98403805803918,0.48229387126047757,5.071538876939632,0.22818423991291878
Port Richmond,0.2195614035087719,0.9054824561403508,0.377792669506197,6.0466278275,10.263945353333332,74.93574334247587,4.518298214718943,8.032996052567695,2.137710025489229
Ridgewood - Forest Hills,0.1189262842349093,0.9403869737021392,0.7556946492185171,7.093785448538461,18.57963157923077,143.71021192874525,-1.529065716824593,3.595684349043201,-0.7234358949215858
Rockaway,0.0244967717432586,0.9803456133687808,3.7492814883507344,6.162622849,9.325686486,54.66146400509189,-0.5106184297882481,4.34297988431218,-0.24158523512282182
South Beach - Tottenville ,0.0047015088563306,0.9850207741089,1.221945642229149,6.889953371100001,17.215285073,82.57096322227159,-1.4628733462625225,3.6442536403747607,-0.6921187734220617
Southeast Queens,0.0072698570953805,0.992023928215354,0.4387499805166131,6.4410338063333334,15.068452408333334,178.1156619054914,1.3856752046352607,5.734403657149136,0.6555945704006393
Southwest Queens,0.0236346477370645,0.9782118091173936,0.7870007931654318,6.620365380000001,16.762204609999998,111.68921822822723,-0.048387284423047086,4.682146452469923,-0.022893128806854485
Stapleton - St. George,0.0912536786344908,0.9562683931724544,1.4295089948645001,6.407015979125,17.49442505875,151.03945558176102,-0.6098449217824922,4.270171487263491,-0.28853155354846755
Sunset Park,0.3485594989561587,0.8174530271398748,0.12159520509769023,7.149698546285714,18.97823282857143,60.204578419921944,-0.31454605391033996,4.4868498842112645,-0.14881891831126748
Union Square - Lower East Side,1.8209723939019364,0.6359703337453646,1.2814353546516846,7.595156616666666,20.748694886666666,151.24178705633798,-2.2283913184050395,3.0825474332572878,-1.0543028006760125
Upper East Side,0.7227980741999434,0.7286887567261399,1.3539710669847163,7.203525731666666,20.05557799,194.26288884591338,-2.0287456927371936,3.2290393397080526,-0.9598458978215442
Upper West Side,0.4910722100656455,0.8573304157549234,2.2043178505394945,6.892158408,16.987925385,188.9686837727416,-2.0396774664078046,3.2210180451741044,-0.9650179694869154
Washington Heights - Inwood,0.1649570280011089,0.9437205433878568,0.3241881111806952,7.1599330194,18.445627632,162.55856463983963,-1.0214929235869898,3.968120789336776,-0.48329161997423403
West Queens,0.0837105814898806,0.9422361045740448,0.5110413178345551,6.8642259346,17.377600903999998,163.7051539373581,-0.26119064910898965,4.52599992790822,-0.12357525834514911
Williamsburg - Bushwick,0.2193259668508287,0.8939226519337017,1.167273381159949,7.053936634499999,17.7091785575,44.14797995689858,-1.4729981441767515,3.636824472097607,-0.6969090464360896
Willowbrook,0.034054875154277,0.975553023829868,0.6873400390085185,6.1892715983999995,11.0307199138,128.3663227838656,3.1270484416543525,7.012153091828338,1.4794779995128766
