Neighborhood,ELA_resid,Sci_resid,Alg_resid,NEQ_score
Bayside - Little Neck,-0.6976935050985199,-0.08041419204320056,-0.04351408970660889,1.0062649065801155
Bedford Stuyvesant - Crown Heights,-0.49228115998313454,-0.11196921676579476,-0.015069532227307076,1.225268930682723
Bensonhurst - Bay Ridge,-2.1489762977468363,-0.27292259595892887,-0.07283023860704044,1.1232114604737713
Borough Park,-1.2431894327720479,-0.05500931709039797,-0.09000240286614151,1.2340552982648556
Canarsie - Flatlands,-1.251197645583916,-0.01415703364852989,0.018401735305171328,1.1295291523976405
Central Harlem - Morningside Heights,0.23240766128897342,-0.35098831311302653,-0.06712887856093212,1.462772861493434
Chelsea - Clinton,1.0311444009348278,0.3882483525167412,-0.05236123763626902,4.621259692058286
Coney Island - Sheepshead Bay ,-0.6478691628341252,-0.2656601347780719,-0.11539090658243867,1.1759615746699101
Crotona - Tremont,-1.4357554350150106,0.1518713906954179,0.047489047626601257,1.6398303803785048
Downtown - Heights - Park Slope,-2.4958385945724615,-0.6478511705453972,0.023770708487730316,1.4776279713969669
East Flatbush - Flatbush,0.1462649143942862,0.23825808501588977,0.18327647776148612,1.123216367241322
East Harlem,3.5525388653656784,0.8913654029577145,0.22610872900713253,1.640495172300605
East New York,-3.699841357710018,-0.327897592511849,-0.08104674091955956,1.3213922406461256
Flushing - Clearview,-1.5430619973739366,-0.0355773605862827,0.008293993447491226,1.219469404338613
Fordham - Bronx Park,-0.1405516123355079,0.7431179906094472,0.05783091047627117,1.2707716899300783
Fresh Meadows,0.2897501793209722,0.018192488419322937,-0.04425268147760957,1.0
Gramercy Park - Murray Hill,2.787480577659848,0.3614571224474764,0.09248136966247726,4.986897269676318
Greenpoint,0.19725236996306805,0.28203140953070766,0.057352328441903445,2.0701913709168656
Greenwich Village - SoHo,0.9929109027998739,0.14887011721344795,0.04177612995337876,7.470165602415981
High Bridge - Morrisania,0.1766775899387206,-0.14049658797721362,0.006264395576518365,1.8705237477126881
Hunts Point - Mott Haven,0.7811737853272477,0.20905322473765237,0.15337336259519774,1.8249306407161128
Jamaica,0.6017849870936162,-0.02247442813098777,-0.08859911196526332,1.1324862979724062
Kingsbridge - Riverdale,-0.22587029456076288,0.031808737837043084,0.03392507069877662,1.2388707714779785
Long Island City - Astoria,0.7222083763881189,-0.1602337254378825,-0.05702247052045608,2.4125140565250063
Lower Manhattam,0.8764061030038068,0.24970263001471904,0.008041857023063105,8.022459263285956
Lower Manhattan,1.4853723682739086,0.3232390668716397,-0.010731618996848546,10.0
Northeast Bronx,1.5090604054337535,-0.11105954742789559,0.046769861985233765,1.1493580045394278
Pelham - Throgs Neck,-1.060953542967237,-0.16717172461558663,-0.18315138482000284,1.1467369094643818
Port Richmond,-0.6730835464304905,-0.09890023587688074,-0.021945091445840562,1.4649929570698932
Ridgewood - Forest Hills,0.5840055990792834,-0.16059136109327166,-0.03184347062373319,1.2813203703594878
Rockaway,-0.16573316047354306,-0.10139835775295158,0.058106292541245184,1.0796030985649068
South Beach - Tottenville ,-0.19915961657408215,-0.2663879389405202,-0.020622895231680108,1.052402395240899
Southeast Queens,-0.5645224543985213,0.029937625889089065,0.07107341535173772,1.0249173466801518
Southwest Queens,-0.771872780865033,-0.5813959946201882,-0.08461924399852448,1.0879448236913383
Stapleton - St. George,1.4906223639805167,-0.14966609658421273,-0.061748352335249744,1.2052055898682195
Sunset Park,0.19289370373012785,-0.23106845377754368,-0.06283522881268996,1.876853927950339
Union Square - Lower East Side,2.2580246302361036,0.22503280888425206,0.11931455178882162,3.222467631632901
Upper East Side,0.5676889745130319,0.1493254755613966,0.054446852072896255,2.392637162367082
Upper West Side,-1.259908147477445,-0.4232061122137574,-0.09207340298881617,1.772980047547854
Washington Heights - Inwood,0.5196426840961653,0.5636653024051079,0.13854285909676303,1.2866777765722344
West Queens,1.3141176298486963,-0.09490153318371551,0.04184839277534462,1.259291231871895
Williamsburg - Bushwick,-2.4095340931171645,-0.22666447619394314,-0.10316407126330875,1.5120091744199344
Willowbrook,0.8174647652196686,0.09288626926099966,-0.08853529008890516,1.1030693487814045
