year,school_name_x,school_name_y,ptr
2020,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS","Archimedes Academy for Math, Science and Technolog",13.6
2022,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS","Archimedes Academy for Math, Science and Technolog",13.7
2019,ART AND DESIGN HIGH SCHOOL,Art and Design High School,15.7
2020,ART AND DESIGN HIGH SCHOOL,Art and Design High School,15.7
2022,ART AND DESIGN HIGH SCHOOL,Art and Design High School,15.8
2019,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,Aspirations Diploma Plus High School,8.4
2020,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,Aspirations Diploma Plus High School,9.8
2022,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,Aspirations Diploma Plus High School,9.1
2019,ASTOR COLLEGIATE ACADEMY,Astor Collegiate Academy,15.8
2020,ASTOR COLLEGIATE ACADEMY,Astor Collegiate Academy,14.4
2022,ASTOR COLLEGIATE ACADEMY,Astor Collegiate Academy,14.1
2019,AUGUST MARTIN HIGH SCHOOL,August Martin High School,10.3
2020,AUGUST MARTIN HIGH SCHOOL,August Martin High School,12.7
2022,AUGUST MARTIN HIGH SCHOOL,August Martin High School,13.1
2019,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,Aviation Career & Technical Education High School,16.0
2020,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,Aviation Career & Technical Education High School,15.5
2022,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,Aviation Career & Technical Education High School,15.6
2019,BARUCH COLLEGE CAMPUS HIGH SCHOOL,Baruch College Campus High School,18.0
2020,BARUCH COLLEGE CAMPUS HIGH SCHOOL,Baruch College Campus High School,18.7
2022,BARUCH COLLEGE CAMPUS HIGH SCHOOL,Baruch College Campus High School,18.7
2019,BAYSIDE HIGH SCHOOL,Bayside High School,17.4
2020,BAYSIDE HIGH SCHOOL,Bayside High School,18.3
2022,BAYSIDE HIGH SCHOOL,Bayside High School,18.1
2019,BEDFORD ACADEMY HIGH SCHOOL,Bedford Academy High School,17.0
2020,BEDFORD ACADEMY HIGH SCHOOL,Bedford Academy High School,17.8
2022,BEDFORD ACADEMY HIGH SCHOOL,Bedford Academy High School,17.7
2019,BELMONT PREPARATORY HIGH SCHOOL,Belmont Preparatory High School,13.5
2020,BELMONT PREPARATORY HIGH SCHOOL,Belmont Preparatory High School,13.4
2022,BELMONT PREPARATORY HIGH SCHOOL,Belmont Preparatory High School,13.2
2019,BENJAMIN BANNEKER ACADEMY,Benjamin Banneker Academy,16.8
2020,BENJAMIN BANNEKER ACADEMY,Benjamin Banneker Academy,17.2
2022,BENJAMIN BANNEKER ACADEMY,Benjamin Banneker Academy,17.2
2019,BENJAMIN FRANKLIN HIGH SCHOOL FOR FINANCE & INFORMATION TECHNOLOGY,Benjamin Franklin High School for Finance & Inform,12.6
2020,BENJAMIN FRANKLIN HIGH SCHOOL FOR FINANCE & INFORMATION TECHNOLOGY,Benjamin Franklin High School for Finance & Inform,14.2
2022,BENJAMIN FRANKLIN HIGH SCHOOL FOR FINANCE & INFORMATION TECHNOLOGY,Benjamin Franklin High School for Finance & Inform,14.1
2019,BOYS AND GIRLS HIGH SCHOOL,Boys and Girls High School,11.2
2020,BOYS AND GIRLS HIGH SCHOOL,Boys and Girls High School,11.2
2022,BOYS AND GIRLS HIGH SCHOOL,Boys and Girls High School,11.0
2019,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE),Bronx Academy for Software Engineering (BASE),10.4
2020,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE),Bronx Academy for Software Engineering (BASE),10.8
2022,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE),Bronx Academy for Software Engineering (BASE),10.2
2019,BRONX ACADEMY OF HEALTH CAREERS,Bronx Academy of Health Careers,13.0
2020,BRONX ACADEMY OF HEALTH CAREERS,Bronx Academy of Health Careers,14.1
2022,BRONX ACADEMY OF HEALTH CAREERS,Bronx Academy of Health Careers,13.9
2019,BRONX AEROSPACE HIGH SCHOOL,Bronx Aerospace High School,12.6
2020,BRONX AEROSPACE HIGH SCHOOL,Bronx Aerospace High School,11.3
2022,BRONX AEROSPACE HIGH SCHOOL,Bronx Aerospace High School,10.9
2019,BRONX ARENA HIGH SCHOOL,Bronx Arena High School,9.8
2020,BRONX ARENA HIGH SCHOOL,Bronx Arena High School,10.8
2022,BRONX ARENA HIGH SCHOOL,Bronx Arena High School,10.3
2019,BRONX BRIDGES HIGH SCHOOL,Bronx Bridges High School,11.3
2020,BRONX BRIDGES HIGH SCHOOL,Bronx Bridges High School,10.7
2022,BRONX BRIDGES HIGH SCHOOL,Bronx Bridges High School,10.6
2019,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,Bronx Career and College Preparatory High School,12.2
2020,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,Bronx Career and College Preparatory High School,11.9
2022,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,Bronx Career and College Preparatory High School,11.2
2019,BRONX CENTER FOR SCIENCE AND MATHEMATICS,Bronx Center for Science and Mathematics,14.6
2020,BRONX CENTER FOR SCIENCE AND MATHEMATICS,Bronx Center for Science and Mathematics,14.5
2022,BRONX CENTER FOR SCIENCE AND MATHEMATICS,Bronx Center for Science and Mathematics,14.6
2019,BRONX COLLABORATIVE HIGH SCHOOL,Bronx Collaborative High School,12.0
2020,BRONX COLLABORATIVE HIGH SCHOOL,Bronx Collaborative High School,11.9
2022,BRONX COLLABORATIVE HIGH SCHOOL,Bronx Collaborative High School,11.6
2019,BRONX COLLEGIATE ACADEMY,Bronx Collegiate Academy,13.5
2020,BRONX COLLEGIATE ACADEMY,Bronx Collegiate Academy,13.1
2022,BRONX COLLEGIATE ACADEMY,Bronx Collegiate Academy,13.5
2019,BRONX COMPASS HIGH SCHOOL,Bronx Compass High School,11.0
2020,BRONX COMPASS HIGH SCHOOL,Bronx Compass High School,12.3
2022,BRONX COMPASS HIGH SCHOOL,Bronx Compass High School,12.5
2019,BRONX DESIGN AND CONSTRUCTION ACADEMY,Bronx Design and Construction Academy,9.8
2020,BRONX DESIGN AND CONSTRUCTION ACADEMY,Bronx Design and Construction Academy,8.9
2022,BRONX DESIGN AND CONSTRUCTION ACADEMY,Bronx Design and Construction Academy,9.0
2019,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,Bronx Engineering and Technology Academy,13.3
2020,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,Bronx Engineering and Technology Academy,12.2
2022,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,Bronx Engineering and Technology Academy,12.1
2019,BRONX ENVISION ACADEMY,Bronx Envision Academy,12.0
2020,BRONX ENVISION ACADEMY,Bronx Envision Academy,10.8
2022,BRONX ENVISION ACADEMY,Bronx Envision Academy,11.5
2019,BRONX HAVEN HIGH SCHOOL,Bronx Haven High School,9.6
2020,BRONX HAVEN HIGH SCHOOL,Bronx Haven High School,10.7
2022,BRONX HAVEN HIGH SCHOOL,Bronx Haven High School,10.0
2019,BRONX HEALTH SCIENCES HIGH SCHOOL,Bronx Health Sciences High School,14.3
2020,BRONX HEALTH SCIENCES HIGH SCHOOL,Bronx Health Sciences High School,15.6
2022,BRONX HEALTH SCIENCES HIGH SCHOOL,Bronx Health Sciences High School,15.9
2019,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,Bronx High School for Law and Community Service,13.0
2020,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,Bronx High School for Law and Community Service,12.7
2022,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,Bronx High School for Law and Community Service,12.3
2019,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,Bronx High School for the Visual Arts,14.4
2020,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,Bronx High School for the Visual Arts,13.6
2022,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,Bronx High School for the Visual Arts,14.4
2019,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,Bronx High School for Writing and Communication Arts,13.7
2020,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,Bronx High School for Writing and Communication Arts,13.0
2022,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,Bronx High School for Writing and Communication Arts,13.2
2019,BRONX HIGH SCHOOL OF BUSINESS,Bronx High School of Business,9.3
2020,BRONX HIGH SCHOOL OF BUSINESS,Bronx High School of Business,10.4
2022,BRONX HIGH SCHOOL OF BUSINESS,Bronx High School of Business,9.9
2019,BRONX INTERNATIONAL HIGH SCHOOL,Bronx International High School,12.7
2020,BRONX INTERNATIONAL HIGH SCHOOL,Bronx International High School,11.9
2022,BRONX INTERNATIONAL HIGH SCHOOL,Bronx International High School,11.9
2019,BRONX LATIN,Bronx Latin,12.1
2020,BRONX LATIN,Bronx Latin,11.5
2022,BRONX LATIN,Bronx Latin,11.6
2019,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,Bronx Leadership Academy High School,13.0
2020,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,Bronx Leadership Academy High School,11.7
2022,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,Bronx Leadership Academy High School,11.5
2019,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,Bronx Leadership Academy II High School,12.2
2020,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,Bronx Leadership Academy II High School,11.7
2022,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,Bronx Leadership Academy II High School,11.7
2019,BRONX REGIONAL HIGH SCHOOL,Bronx Regional High School,12.9
2020,BRONX REGIONAL HIGH SCHOOL,Bronx Regional High School,14.3
2022,BRONX REGIONAL HIGH SCHOOL,Bronx Regional High School,13.9
2019,BRONX RIVER HIGH SCHOOL,Bronx River High School,11.5
2020,BRONX RIVER HIGH SCHOOL,Bronx River High School,12.9
2022,BRONX RIVER HIGH SCHOOL,Bronx River High School,12.8
2019,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE","Bronx School for Law, Government and Justice",12.8
2020,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE","Bronx School for Law, Government and Justice",12.4
2022,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE","Bronx School for Law, Government and Justice",12.2
2019,BRONX SCHOOL OF LAW AND FINANCE,Bronx School of Law and Finance,14.0
2020,BRONX SCHOOL OF LAW AND FINANCE,Bronx School of Law and Finance,15.5
2022,BRONX SCHOOL OF LAW AND FINANCE,Bronx School of Law and Finance,15.0
2019,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,Bronx Studio School for Writers and Artists,12.1
2020,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,Bronx Studio School for Writers and Artists,11.6
2022,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,Bronx Studio School for Writers and Artists,11.8
2019,BRONX THEATRE HIGH SCHOOL,Bronx Theatre High School,14.1
2020,BRONX THEATRE HIGH SCHOOL,Bronx Theatre High School,15.2
2022,BRONX THEATRE HIGH SCHOOL,Bronx Theatre High School,15.0
2019,BRONXDALE HIGH SCHOOL,Bronxdale High School,10.8
2020,BRONXDALE HIGH SCHOOL,Bronxdale High School,10.4
2022,BRONXDALE HIGH SCHOOL,Bronxdale High School,10.2
2019,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,Brooklyn Academy of Science and the Environment,17.3
2020,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,Brooklyn Academy of Science and the Environment,15.9
2022,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,Brooklyn Academy of Science and the Environment,16.3
2019,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,Brooklyn Collegiate: A College Board School,10.7
2020,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,Brooklyn Collegiate: A College Board School,13.7
2022,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,Brooklyn Collegiate: A College Board School,14.5
2019,BROOKLYN DEMOCRACY ACADEMY,Brooklyn Democracy Academy,13.7
2020,BROOKLYN DEMOCRACY ACADEMY,Brooklyn Democracy Academy,12.2
2022,BROOKLYN DEMOCRACY ACADEMY,Brooklyn Democracy Academy,11.8
2019,BROOKLYN FRONTIERS HIGH SCHOOL,Brooklyn Frontiers High School,7.3
2020,BROOKLYN FRONTIERS HIGH SCHOOL,Brooklyn Frontiers High School,7.7
2022,BROOKLYN FRONTIERS HIGH SCHOOL,Brooklyn Frontiers High School,7.8
2019,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,Brooklyn High School for Law and Technology,15.5
2020,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,Brooklyn High School for Law and Technology,14.6
2022,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,Brooklyn High School for Law and Technology,14.6
2019,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,Brooklyn High School for Leadership and Community,11.8
2020,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,Brooklyn High School for Leadership and Community,9.6
2022,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,Brooklyn High School for Leadership and Community,8.1
2019,BROOKLYN HIGH SCHOOL OF THE ARTS,Brooklyn High School of the Arts,14.5
2020,BROOKLYN HIGH SCHOOL OF THE ARTS,Brooklyn High School of the Arts,14.2
2022,BROOKLYN HIGH SCHOOL OF THE ARTS,Brooklyn High School of the Arts,14.3
2019,BROOKLYN INSTITUTE FOR LIBERAL ARTS,Brooklyn Institute for Liberal Arts,15.1
2020,BROOKLYN INSTITUTE FOR LIBERAL ARTS,Brooklyn Institute for Liberal Arts,14.3
2022,BROOKLYN INSTITUTE FOR LIBERAL ARTS,Brooklyn Institute for Liberal Arts,14.1
2019,BROOKLYN LAB SCHOOL,Brooklyn Lab School,13.2
2020,BROOKLYN LAB SCHOOL,Brooklyn Lab School,12.2
2022,BROOKLYN LAB SCHOOL,Brooklyn Lab School,11.9
2019,BROOKLYN PREPARATORY HIGH SCHOOL,Brooklyn Preparatory High School,15.1
2020,BROOKLYN PREPARATORY HIGH SCHOOL,Brooklyn Preparatory High School,15.2
2022,BROOKLYN PREPARATORY HIGH SCHOOL,Brooklyn Preparatory High School,15.3
2019,BROOKLYN SCHOOL FOR MUSIC & THEATRE,Brooklyn School for Music & Theatre,13.4
2020,BROOKLYN SCHOOL FOR MUSIC & THEATRE,Brooklyn School for Music & Theatre,12.6
2022,BROOKLYN SCHOOL FOR MUSIC & THEATRE,Brooklyn School for Music & Theatre,12.8
2019,BROOKLYN TECHNICAL HIGH SCHOOL,Brooklyn Technical High School,21.8
2020,BROOKLYN TECHNICAL HIGH SCHOOL,Brooklyn Technical High School,21.5
2022,BROOKLYN TECHNICAL HIGH SCHOOL,Brooklyn Technical High School,21.5
2019,BROOKLYN THEATRE ARTS HIGH SCHOOL,Brooklyn Theatre Arts High School,18.4
2020,BROOKLYN THEATRE ARTS HIGH SCHOOL,Brooklyn Theatre Arts High School,16.4
2022,BROOKLYN THEATRE ARTS HIGH SCHOOL,Brooklyn Theatre Arts High School,15.8
2019,BROWNSVILLE ACADEMY HIGH SCHOOL,Brownsville Academy High School,14.0
2020,BROWNSVILLE ACADEMY HIGH SCHOOL,Brownsville Academy High School,11.6
2022,BROWNSVILLE ACADEMY HIGH SCHOOL,Brownsville Academy High School,11.3
2019,BUSHWICK COMMUNITY HIGH SCHOOL,Bushwick Community High School,11.0
2020,BUSHWICK COMMUNITY HIGH SCHOOL,Bushwick Community High School,12.4
2022,BUSHWICK COMMUNITY HIGH SCHOOL,Bushwick Community High School,11.7
2019,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,Bushwick Leaders High School for Academic Excellen,10.4
2020,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,Bushwick Leaders High School for Academic Excellen,11.5
2022,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,Bushwick Leaders High School for Academic Excellen,11.3
2019,BUSINESS OF SPORTS SCHOOL,Business Of Sports School,11.8
2020,BUSINESS OF SPORTS SCHOOL,Business Of Sports School,12.4
2022,BUSINESS OF SPORTS SCHOOL,Business Of Sports School,12.4
2019,BUSINESS TECHNOLOGY EARLY COLLEGE HIGH SCHOOL,Business Technology Early College High School,16.5
2020,BUSINESS TECHNOLOGY EARLY COLLEGE HIGH SCHOOL,Business Technology Early College High School,15.2
2022,BUSINESS TECHNOLOGY EARLY COLLEGE HIGH SCHOOL,Business Technology Early College High School,15.1
2019,CAMBRIA HEIGHTS ACADEMY,Cambria Heights Academy,13.4
2020,CAMBRIA HEIGHTS ACADEMY,Cambria Heights Academy,13.0
2022,CAMBRIA HEIGHTS ACADEMY,Cambria Heights Academy,13.0
2019,CASCADES HIGH SCHOOL,Cascades High School,12.2
2020,CASCADES HIGH SCHOOL,Cascades High School,13.1
2022,CASCADES HIGH SCHOOL,Cascades High School,12.0
2019,CENTRAL PARK EAST HIGH SCHOOL,Central Park East High School,15.7
2020,CENTRAL PARK EAST HIGH SCHOOL,Central Park East High School,16.2
2022,CENTRAL PARK EAST HIGH SCHOOL,Central Park East High School,15.9
2019,CHANNEL VIEW SCHOOL FOR RESEARCH,Channel View School for Research,13.9
2020,CHANNEL VIEW SCHOOL FOR RESEARCH,Channel View School for Research,14.0
2022,CHANNEL VIEW SCHOOL FOR RESEARCH,Channel View School for Research,14.3
2019,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,Chelsea Career and Technical Education High School,13.3
2020,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,Chelsea Career and Technical Education High School,12.9
2022,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,Chelsea Career and Technical Education High School,12.7
2019,CITY COLLEGE ACADEMY OF THE ARTS,City College Academy of the Arts,15.8
2020,CITY COLLEGE ACADEMY OF THE ARTS,City College Academy of the Arts,15.7
2022,CITY COLLEGE ACADEMY OF THE ARTS,City College Academy of the Arts,15.9
2019,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY","City Polytechnic High School of Engineering, Architecture, and Technology",14.8
2020,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY","City Polytechnic High School of Engineering, Architecture, and Technology",14.8
2022,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY","City Polytechnic High School of Engineering, Architecture, and Technology",15.0
2019,CIVIC LEADERSHIP ACADEMY,Civic Leadership Academy,16.9
2020,CIVIC LEADERSHIP ACADEMY,Civic Leadership Academy,16.5
2022,CIVIC LEADERSHIP ACADEMY,Civic Leadership Academy,16.9
2019,CLARA BARTON HIGH SCHOOL,Clara Barton High School,15.5
2020,CLARA BARTON HIGH SCHOOL,Clara Barton High School,16.8
2022,CLARA BARTON HIGH SCHOOL,Clara Barton High School,16.3
2019,COBBLE HILL SCHOOL OF AMERICAN STUDIES,Cobble Hill School of American Studies,13.7
2020,COBBLE HILL SCHOOL OF AMERICAN STUDIES,Cobble Hill School of American Studies,13.2
2022,COBBLE HILL SCHOOL OF AMERICAN STUDIES,Cobble Hill School of American Studies,12.8
2019,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,Collegiate Institute for Math and Science,17.5
2020,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,Collegiate Institute for Math and Science,17.1
2022,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,Collegiate Institute for Math and Science,16.7
2019,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,Community Health Academy of the Heights,13.6
2020,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,Community Health Academy of the Heights,12.9
2022,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,Community Health Academy of the Heights,13.1
2019,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,Community School for Social Justice,12.8
2020,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,Community School for Social Justice,12.2
2022,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,Community School for Social Justice,12.5
2019,COMPREHENSIVE MODEL SCHOOL PROJECT MS 327,Comprehensive Model School Project M.S. 327,14.1
2020,COMPREHENSIVE MODEL SCHOOL PROJECT MS 327,Comprehensive Model School Project M.S. 327,13.2
2022,COMPREHENSIVE MODEL SCHOOL PROJECT MS 327,Comprehensive Model School Project M.S. 327,13.0
2019,CONCORD HIGH SCHOOL,Concord High School,11.3
2020,CONCORD HIGH SCHOOL,Concord High School,12.3
2022,CONCORD HIGH SCHOOL,Concord High School,10.8
2019,CROTONA INTERNATIONAL HIGH SCHOOL,Crotona International High School,12.3
2020,CROTONA INTERNATIONAL HIGH SCHOOL,Crotona International High School,13.3
2022,CROTONA INTERNATIONAL HIGH SCHOOL,Crotona International High School,13.2
2019,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,CSI High School for International Studies,17.4
2020,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,CSI High School for International Studies,17.3
2022,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,CSI High School for International Studies,17.4
2019,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,Cultural Academy for the Arts and Sciences,12.2
2020,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,Cultural Academy for the Arts and Sciences,12.4
2022,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,Cultural Academy for the Arts and Sciences,11.9
2019,CURTIS HIGH SCHOOL,Curtis High School,16.7
2020,CURTIS HIGH SCHOOL,Curtis High School,16.4
2022,CURTIS HIGH SCHOOL,Curtis High School,16.3
2019,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,Cypress Hills Collegiate Preparatory School,14.9
2020,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,Cypress Hills Collegiate Preparatory School,14.7
2022,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,Cypress Hills Collegiate Preparatory School,14.3
2019,DEWITT CLINTON HIGH SCHOOL,DeWitt Clinton High School,13.3
2020,DEWITT CLINTON HIGH SCHOOL,DeWitt Clinton High School,11.8
2022,DEWITT CLINTON HIGH SCHOOL,DeWitt Clinton High School,11.7
2019,DREAMYARD PREPARATORY SCHOOL,DreamYard Preparatory School,10.5
2020,DREAMYARD PREPARATORY SCHOOL,DreamYard Preparatory School,11.9
2022,DREAMYARD PREPARATORY SCHOOL,DreamYard Preparatory School,11.9
2019,EAGLE ACADEMY FOR YOUNG MEN,Eagle Academy for Young Men,15.0
2020,EAGLE ACADEMY FOR YOUNG MEN,Eagle Academy for Young Men,13.8
2022,EAGLE ACADEMY FOR YOUNG MEN,Eagle Academy for Young Men,13.6
2019,EAGLE ACADEMY FOR YOUNG MEN II,Eagle Academy for Young Men,15.3
2020,EAGLE ACADEMY FOR YOUNG MEN II,Eagle Academy for Young Men,13.7
2022,EAGLE ACADEMY FOR YOUNG MEN II,Eagle Academy for Young Men,13.9
2019,EAGLE ACADEMY FOR YOUNG MEN III,Eagle Academy for Young Men,14.1
2020,EAGLE ACADEMY FOR YOUNG MEN III,Eagle Academy for Young Men,13.4
2022,EAGLE ACADEMY FOR YOUNG MEN III,Eagle Academy for Young Men,13.4
2019,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,Eagle Academy for Young Men of Harlem,10.5
2020,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,Eagle Academy for Young Men of Harlem,10.2
2022,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,Eagle Academy for Young Men of Harlem,10.2
2019,EAST BRONX ACADEMY FOR THE FUTURE,East Bronx Academy for the Future,10.5
2020,EAST BRONX ACADEMY FOR THE FUTURE,East Bronx Academy for the Future,10.4
2022,EAST BRONX ACADEMY FOR THE FUTURE,East Bronx Academy for the Future,10.5
2019,EAST NEW YORK FAMILY ACADEMY,East New York Family Academy,13.2
2020,EAST NEW YORK FAMILY ACADEMY,East New York Family Academy,13.2
2022,EAST NEW YORK FAMILY ACADEMY,East New York Family Academy,13.0
2019,EAST SIDE COMMUNITY SCHOOL,East Side Community School,13.8
2020,EAST SIDE COMMUNITY SCHOOL,East Side Community School,13.5
2022,EAST SIDE COMMUNITY SCHOOL,East Side Community School,13.7
2019,EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,East-West School of International Studies,10.8
2020,EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,East-West School of International Studies,11.2
2022,EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,East-West School of International Studies,11.2
2019,EBC HIGH SCHOOL FOR PUBLIC SERVICE - BUSHWICK,EBC High School for Public Service - Bushwick,13.6
2020,EBC HIGH SCHOOL FOR PUBLIC SERVICE - BUSHWICK,EBC High School for Public Service - Bushwick,13.9
2022,EBC HIGH SCHOOL FOR PUBLIC SERVICE - BUSHWICK,EBC High School for Public Service - Bushwick,14.1
2019,ELEANOR ROOSEVELT HIGH SCHOOL,Eleanor Roosevelt High School,16.2
2020,ELEANOR ROOSEVELT HIGH SCHOOL,Eleanor Roosevelt High School,16.9
2022,ELEANOR ROOSEVELT HIGH SCHOOL,Eleanor Roosevelt High School,16.7
2019,EMMA LAZARUS HIGH SCHOOL,Emma Lazarus High School,16.3
2020,EMMA LAZARUS HIGH SCHOOL,Emma Lazarus High School,15.7
2022,EMMA LAZARUS HIGH SCHOOL,Emma Lazarus High School,16.0
2019,ENERGY TECH HIGH SCHOOL,Energy Tech High School,15.0
2020,ENERGY TECH HIGH SCHOOL,Energy Tech High School,13.2
2022,ENERGY TECH HIGH SCHOOL,Energy Tech High School,11.7
2019,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),English Language Learners and International Support Preparatory Academy (ELLIS),12.9
2020,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),English Language Learners and International Support Preparatory Academy (ELLIS),13.7
2022,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),English Language Learners and International Support Preparatory Academy (ELLIS),13.5
2019,EPIC HIGH SCHOOL - NORTH,Epic High School - North,14.8
2020,EPIC HIGH SCHOOL - NORTH,Epic High School - North,16.1
2022,EPIC HIGH SCHOOL - NORTH,Epic High School - North,16.1
2019,EPIC HIGH SCHOOL - SOUTH,Epic High School - South,15.0
2020,EPIC HIGH SCHOOL - SOUTH,Epic High School - South,16.2
2022,EPIC HIGH SCHOOL - SOUTH,Epic High School - South,16.4
2019,ESPERANZA PREPARATORY ACADEMY,Esperanza Preparatory Academy,11.4
2020,ESPERANZA PREPARATORY ACADEMY,Esperanza Preparatory Academy,10.5
2022,ESPERANZA PREPARATORY ACADEMY,Esperanza Preparatory Academy,10.4
2019,EXCELSIOR PREPARATORY HIGH SCHOOL,Excelsior Preparatory High School,15.6
2020,EXCELSIOR PREPARATORY HIGH SCHOOL,Excelsior Preparatory High School,14.6
2022,EXCELSIOR PREPARATORY HIGH SCHOOL,Excelsior Preparatory High School,14.6
2019,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,Eximius College Preparatory Academy: A College Board School,14.1
2020,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,Eximius College Preparatory Academy: A College Board School,13.1
