School Name,DBN,latitude,longitude,formatted_address,Neighborhood,ZIP Code
Midwood High School,73K405,40.632829,-73.952356,2839 BEDFORD AVENUE,East Flatbush - Flatbush,11210
Millennium Art Academy,72X312,40.821218,-73.85593,1980 LAFAYETTE AVENUE,Pelham - Throgs Neck,10473
Morris Academy for Collaborative Studies,72X297,40.827455,-73.90392,1110 BOSTON ROAD,High Bridge - Morrisania,10456
Mott Hall Bronx High School,72X252,40.839508,-73.901774,1595 BATHGATE AVENUE,Crotona - Tremont,10457
Mott Hall High School,71M304,40.817228,-73.947151,6 EDGECOMBE AVENUE,Central Harlem - Morningside Heights,10030
Mott Hall V,12X242,40.832508,-73.878191,1551 EAST 172 STREET,Pelham - Throgs Neck,10472
Mott Haven Community High School,72X557,40.810671,-73.907528,455 SOUTHERN BLVD,Hunts Point - Mott Haven,10455
Mott Haven Village Preparatory High School,72X473,40.818041,-73.911633,701 ST. ANNS AVENUE,Hunts Point - Mott Haven,10455
Multicultural High School,73K583,40.693002,-73.869305,999 JAMAICA AVENUE,East New York,11208
Murray Hill Academy,71M432,40.74651,-73.98107,111 EAST 33 STREET,Gramercy Park - Murray Hill,10016
Murry Bergtraum High School for Business Careers,71M520,40.711441,-74.000851,411 PEARL STREET,Lower Manhattam,10038
N.Y.C. Museum School,71M414,40.742512,-74.002222,333 WEST 17 STREET,Chelsea - Clinton,10011
Nelson Mandela High School,73K765,40.678478,-73.931604,1700 FULTON STREET,Bedford Stuyvesant - Crown Heights,11213
New Design High School,71M543,40.717329,-73.989329,350 GRAND STREET,Union Square - Lower East Side,10002
New Dorp High School,76R440,40.570909,-74.105878,465 NEW DORP LANE,South Beach - Tottenville ,10306
New Utrecht High School,73K445,40.613041,-74.002308,1601 80 STREET,Bensonhurst - Bay Ridge,11214
New World High School,72X513,40.888242,-73.852714,921 EAST 228 STREET,Northeast Bronx,10466
Newcomers High School,77Q555,40.751838,-73.936592,28-01 41 AVENUE,Long Island City - Astoria,11101
Newtown High School,77Q455,40.740824,-73.874129,48-01 90 STREET,West Queens,11373
NYC iSchool,71M376,40.72463,-74.005058,131 AVENUE OF THE AMERICAS,Greenwich Village - SoHo,10013
Olympus Academy,73K635,40.645965,-73.898607,755 EAST 100 STREET,Canarsie - Flatlands,11236
Orchard Collegiate Academy,71M292,40.713362,-73.986051,220 HENRY STREET,Union Square - Lower East Side,10002
Origins High School,73K611,40.593157,-73.936635,3000 AVENUE X,Coney Island - Sheepshead Bay ,11235
Pace High School,71M298,40.716231,-73.993607,100 HESTER STREET,Union Square - Lower East Side,10002
Pan American International High School,77Q296,40.743228,-73.871505,45-10 94 STREET,West Queens,11373
Park East High School,71M495,40.790191,-73.944092,230 EAST 105 STREET,East Harlem,10029
Park Slope Collegiate,76K464,40.669255,-73.97858,237 7 AVENUE,Downtown - Heights - Park Slope,11215
Pathways College Preparatory School: A College Board School,77Q259,40.705989,-73.752885,109-89 204 STREET,Jamaica,11412
Pathways in Technology Early College High School (P-Tech),73K122,40.675905,-73.939282,150 ALBANY AVENUE,Bedford Stuyvesant - Crown Heights,11213
Pelham Lab High School,72X320,40.839775,-73.839583,3000 EAST TREMONT AVENUE,Pelham - Throgs Neck,10461
Pelham Preparatory Academy,72X542,40.860443,-73.860729,925 ASTOR AVENUE,Northeast Bronx,10469
Performing Arts and Technology High School,73K507,40.666868,-73.895122,400 PENNSYLVANIA AVENUE,East New York,11207
Port Richmond High School,76R445,40.635562,-74.141924,85 ST JOSEPHS AVENUE,Port Richmond,10302
Preparatory Academy for Writers: A College Board School,29Q283,40.66903,-73.757744,143-10 SPRINGFIELD BOULEVARD,Southeast Queens,11413
Professional Pathways High School,73K630,40.593157,-73.936635,3000 AVENUE X,Coney Island - Sheepshead Bay ,11235
Professional Performing Arts High School,71M408,40.761327,-73.988665,328 WEST 48 STREET,Chelsea - Clinton,10036
PROGRESS High School for Professional Careers,76K474,40.711134,-73.938921,850 GRAND STREET,Greenpoint,11211
Queens Collegiate: A College Board School,77Q310,40.714551,-73.798658,167-01 GOTHIC DRIVE,Jamaica,11432
"Queens High School for Information, Research, and Technology",77Q302,40.601537,-73.763995,8-21 BAY 25 STREET,Rockaway,11691
Queens High School for Language Studies,77Q241,40.764892,-73.826811,35-01 UNION STREET,Flushing - Clearview,11354
"Queens High School of Teaching, Liberal Arts and the Sciences",77Q566,40.744197,-73.728834,74-20 COMMONWEALTH BOULEVARD,Southeast Queens,11426
Queens Metropolitan High School,77Q686,40.708431,-73.855543,91-30 METROPOLITAN AVENUE,Jamaica,11375
Queens Preparatory Academy,77Q248,40.66903,-73.757744,143-10 SPRINGFIELD BOULEVARD,Southeast Queens,11413
Queens Satellite High School for Opportunity,77Q338,40.708204,-73.799532,162-02 HILLSIDE AVENUE,Jamaica,11432
The Queens School of Inquiry,25Q252,40.724195,-73.80938,158-40 76 ROAD,Fresh Meadows,11367
Queens Technical High School,77Q600,40.741658,-73.927995,37-02 47 AVENUE,Long Island City - Astoria,11101
Quest to Learn,02M422,40.743407,-74.00254,351 WEST 18 STREET,Chelsea - Clinton,10011
Rachel Carson High School for Coastal Studies,76K344,40.582518,-73.972009,521 WEST AVENUE,Coney Island - Sheepshead Bay ,11224
Ralph R. McKee Career and Technical Education High School,76R600,40.64282,-74.079263,101 BELMONT PLACE,Stapleton - St. George,10301
Renaissance High School for Musical Theater and the Arts,72X293,40.839775,-73.839583,3000 EAST TREMONT AVENUE,Pelham - Throgs Neck,10461
Research and Service High School,76K669,40.678478,-73.931604,1700 FULTON STREET,Bedford Stuyvesant - Crown Heights,11213
Richard R. Green High School of Teaching,71M580,40.705688,-74.013303,7 BEAVER STREET,Lower Manhattan,10004
Richmond Hill High School,77Q475,40.695171,-73.833815,89-30 114 STREET,Southwest Queens,11418
Robert F. Kennedy Community High School,77Q670,40.72528,-73.811408,75-40 PARSONS BOULEVARD,Fresh Meadows,11366
Robert H. Goddard High School of Communication Arts and Technology,77Q308,40.670905,-73.845992,138-30 LAFAYETTE STREET,Southwest Queens,11417
Rockaway Collegiate High School,77Q351,40.586012,-73.825317,100-00 BEACH CHANNEL DRIVE,Rockaway,11694
Rockaway Park High School for Environmental Sustainability,77Q324,40.586012,-73.825317,100-00 BEACH CHANNEL DRIVE,Rockaway,11694
Scholars' Academy,27Q323,40.584543,-73.825162,320 BEACH 104 STREET,Rockaway,11694
School for Classics High School,73K683,40.67002,-73.874537,370 FOUNTAIN AVENUE,East New York,11208
School for Excellence,72X404,40.827455,-73.90392,1110 BOSTON ROAD,High Bridge - Morrisania,10456
The School for Human Rights,73K531,40.658671,-73.943839,600 KINGSTON AVENUE,East Flatbush - Flatbush,11203
Schuylerville Preparatory High School,72X348,40.839775,-73.839583,3000 EAST TREMONT AVENUE,Pelham - Throgs Neck,10461
South Bronx Preparatory: A College Board School,72X221,40.813612,-73.920851,360 EAST 145 STREET,Hunts Point - Mott Haven,10454
South Brooklyn Community High School,76K698,40.677968,-74.014363,173 CONOVER STREET,Downtown - Heights - Park Slope,11231
Spring Creek Community School,19K422,40.657266,-73.874064,1065 ELTON STREET,Canarsie - Flatlands,11239
Staten Island Technical High School,76R605,40.568299,-74.117086,485 CLAWSON STREET,South Beach - Tottenville ,10306
Stephen T. Mather Building Arts & Craftsmanship High School,71M139,40.763655,-73.990318,439 WEST 49 STREET,Chelsea - Clinton,10019
Stuyvesant High School,71M475,40.718025,-74.013921,345 CHAMBERS STREET,Lower Manhattan,10282
Sunset Park High School,73K667,40.655583,-74.004342,153 35 STREET,Sunset Park,11232
Susan E. Wagner High School,76R460,40.588985,-74.130819,1200 MANOR ROAD,Willowbrook,10314
Talent Unlimited High School,71M519,40.765638,-73.959777,317 EAST 67 STREET,Upper East Side,10065
Teachers Preparatory High School,73K697,40.665568,-73.912102,226 BRISTOL STREET,Bedford Stuyvesant - Crown Heights,11212
The Academy of Urban Planning and Engineering,73K552,40.696457,-73.911751,400 IRVING AVENUE,Williamsburg - Bushwick,11237
The Boerum Hill School for International Studies,76K497,40.685006,-73.993293,284 BALTIC STREET,Downtown - Heights - Park Slope,11201
The Bronxwood Preparatory Academy,72X514,40.888242,-73.852714,921 EAST 228 STREET,Northeast Bronx,10466
The Brooklyn Academy of Global Finance,76K688,40.691467,-73.932254,125 STUYVESANT AVENUE,Williamsburg - Bushwick,11221
The Brooklyn School for Social Justice,73K549,40.696457,-73.911751,400 IRVING AVENUE,Williamsburg - Bushwick,11237
The Cinema School,72X478,40.832508,-73.878191,1551 EAST 172 STREET,Pelham - Throgs Neck,10472
The Eagle Academy for Young Men of Staten Island,31R028,40.620443,-74.080695,101 WARREN STREET,Stapleton - St. George,10304
The Global Learning Collaborative,71M403,40.786134,-73.974483,145 WEST 84 STREET,Upper West Side,10024
The High School for Climate Justice,71M655,40.78358769,-73.9458592,320 E 96 STREET,Upper East Side,10128
"The High School of Enterprise, Business, and Technology",76K478,40.711134,-73.938921,850 GRAND STREET,Greenpoint,11211
The High School for Global Citizenship,73K528,40.669805,-73.960689,883 CLASSON AVENUE,East Flatbush - Flatbush,11225
The High School For Language And Diplomacy,71M399,40.735361,-73.987064,40 IRVING PLACE,Union Square - Lower East Side,10003
The High School of Fashion Industries,71M600,40.745677,-73.996354,225 WEST 24 STREET,Chelsea - Clinton,10011
The Laboratory School of Finance and Technology,07X223,40.813612,-73.920851,360 EAST 145 STREET,Hunts Point - Mott Haven,10454
The Maxine Greene HS for Imaginative Inquiry,71M299,40.774891,-73.985608,122 AMSTERDAM AVENUE,Upper West Side,10023
The Metropolitan Soundview High School,72X521,40.832508,-73.878191,1300 BOYNTON AVENUE,Pelham - Throgs Neck,10472
The Urban Assembly Bronx Academy of Letters,72X551,40.813681,-73.925995,339 MORRIS AVENUE,High Bridge - Morrisania,10451
The Urban Assembly School for Collaborative Health,73K764,40.693002,-73.869305,999 JAMAICA AVENUE,East New York,11208
The Urban Assembly School for Emergency Management,71M135,40.711441,-74.000851,411 PEARL STREET,Lower Manhattam,10038
The Urban Assembly School for Global Commerce,71M157,40.807019,-73.938714,2005 MADISON AVENUE,East Harlem,10035
The Urban Assembly School for Green Careers,71M402,40.786134,-73.974483,145 WEST 84 STREET,Upper West Side,10024
The Urban Assembly School for Law and Justice,76K483,40.694629,-73.988323,283 ADAMS STREET,Downtown - Heights - Park Slope,11201
The Williamsburg High School of Art and Technology,76K454,40.709765,-73.944463,223 GRAHAM AVENUE,Williamsburg - Bushwick,11206
Theatre Arts Production Company School,10X225,40.854257,-73.897404,2225 WEBSTER AVENUE,Crotona - Tremont,10457
Thomas A. Edison Career and Technical Education High School,77Q620,40.716071,-73.799692,165-65 84 AVENUE,Jamaica,11432
Thurgood Marshall Academy for Learning and Social Change,71M670,40.815237,-73.944299,200-214 WEST 135 STREET,Central Harlem - Morningside Heights,10030
Tottenville High School,76R455,40.528152,-74.193431,100 LUTEN AVENUE,South Beach - Tottenville ,10312
Townsend Harris High School,77Q525,40.737038,-73.821532,149-11 MELBOURNE AVENUE,Fresh Meadows,11367
Union Square Academy for Health Sciences,71M533,40.735361,-73.987064,40 IRVING PLACE,Union Square - Lower East Side,10003
University Neighborhood High School,71M448,40.712269,-73.984128,200 MONROE STREET,Union Square - Lower East Side,10002
Urban Academy Laboratory High School,71M565,40.765638,-73.959777,320 EAST 67 STREET,Upper East Side,10065
Urban Action Academy,73K642,40.640543,-73.898601,1600 ROCKAWAY PARKWAY,Canarsie - Flatlands,11236
The Urban Assembly Academy of Government and Law,71M305,40.717329,-73.989329,350 GRAND STREET,Union Square - Lower East Side,10002
Urban Assembly Gateway School for Technology,71M507,40.763655,-73.990318,439 WEST 49 STREET,Chelsea - Clinton,10019
Urban Assembly Maker Academy,71M282,40.711441,-74.000851,411 PEARL STREET,Lower Manhattam,10038
Urban Assembly New York Harbor School,71M551,40.689493,-74.018941,550 SHORT AVENUE,Lower Manhattan,10004
Urban Assembly School for Applied Math and Science,72X241,40.839508,-73.901774,1595 BATHGATE AVENUE,Crotona - Tremont,10457
Urban Assembly School for Leadership and Empowerment,76K609,40.63497525,-73.98180529,4200 16 AVENUE,Borough Park,11219
The Urban Assembly School for Media Studies (UAM),71M307,40.774891,-73.985608,122 AMSTERDAM AVENUE,Upper West Side,10023
Urban Assembly School for the Performing Arts,71M369,40.815747,-73.95552,509 WEST 129 STREET,Central Harlem - Morningside Heights,10027
Urban Assembly School of Business for Young Women,71M316,40.705688,-74.013303,26 BROADWAY,Lower Manhattan,10004
Urban Assembly School of Design and Construction,71M300,40.765474,-73.9927,525 WEST 50 STREET,Chelsea - Clinton,10019
Urban Assembly School of Music and Art,73K350,40.69733,-73.984528,49 FLATBUSH AVENUE EXTENSION,Downtown - Heights - Park Slope,11201
Validus Preparatory Academy,72X263,40.839508,-73.901774,1595 BATHGATE AVENUE,Crotona - Tremont,10457
Veritas Academy,77Q240,40.764892,-73.826811,35-01 UNION STREET,Flushing - Clearview,11354
Victory Collegiate High School,73K576,40.634451,-73.916927,6565 FLATLANDS AVENUE,Canarsie - Flatlands,11236
W. H. Maxwell Career and Technical Education High School,73K660,40.673766,-73.895976,145 PENNSYLVANIA AVENUE,East New York,11207
West Bronx Academy for the Future,72X243,40.859466,-73.888625,500 EAST FORDHAM ROAD,Fordham - Bronx Park,10458
Westchester Square Academy,72X558,40.839775,-73.839583,3000 EAST TREMONT AVENUE,Pelham - Throgs Neck,10461
William Cullen Bryant High School,77Q445,40.757072,-73.911165,48-10 31 AVENUE,Long Island City - Astoria,11103
William E. Grady Career and Technical Education High School,76K620,40.583263,-73.963764,25 BRIGHTON 4 ROAD,Coney Island - Sheepshead Bay ,11235
Williamsburg High School for Architecture and Design,76K558,40.715561,-73.954815,257 N 6 STREET,Greenpoint,11211
Williamsburg Preparatory School,76K561,40.715561,-73.954815,257 N 6 STREET,Greenpoint,11211
Wings Academy,72X684,40.841376,-73.875262,1122 EAST 180 STREET,Crotona - Tremont,10460
Women's Academy of Excellence,72X282,40.815043,-73.85607,456 WHITE PLAINS ROAD,Pelham - Throgs Neck,10473
World Journalism Preparatory: A College Board School,25Q285,40.764884,-73.789365,34-65 192 STREET,Flushing - Clearview,11358
World View High School,72X353,40.879958,-73.889011,100 WEST MOSHOLU PARKWAY SOUTH,Fordham - Bronx Park,10468
York Early College Academy,77Q284,40.69691,-73.786403,108-35 167 STREET,Jamaica,11433
Young Women's Leadership School,71M610,40.792932,-73.947171,105 EAST 106 STREET,East Harlem,10029
Young Women's Leadership School of Brooklyn,73K614,40.705005,-73.93879,325 BUSHWICK AVENUE,Williamsburg - Bushwick,11206
Young Women's Leadership School of the Bronx,09X568,40.848552,-73.909022,1865 MORRIS AVENUE,Crotona - Tremont,10453
The Young Women's Leadership School Astoria,30Q286,40.770769,-73.92383,23-15 NEWTOWN AVENUE,Long Island City - Astoria,11102
The Young Women's Leadership School of Queens,77Q896,40.708409,-73.804166,150-91 87 ROAD,Jamaica,11432
