School Name,DBN,latitude,longitude,formatted_address,Neighborhood,ZIP Code
Bronx Health Sciences High School,72X249,40.874035,-73.831669,750 BAYCHESTER AVENUE,Northeast Bronx,10475
Bronx High School for Law and Community Service,72X439,40.859466,-73.888625,500 EAST FORDHAM ROAD,Fordham - Bronx Park,10458
Bronx High School for the Visual Arts,72X418,40.851577,-73.864438,2040 ANTIN PL,Pelham - Throgs Neck,10462
Bronx High School for Writing and Communication Arts,72X253,40.875172,-73.861649,800 EAST GUN HILL ROAD,Fordham - Bronx Park,10467
Bronx High School of Business,72X412,40.839307,-73.911366,240 EAST 172 STREET,Crotona - Tremont,10457
Bronx International High School,72X377,40.827455,-73.90392,1110 BOSTON ROAD,High Bridge - Morrisania,10456
Bronx Latin,72X267,40.826933,-73.900593,800 HOME STREET,High Bridge - Morrisania,10456
Bronx Leadership Academy High School,72X525,40.84325,-73.902969,1710 WEBSTER AVENUE,Crotona - Tremont,10457
Bronx Leadership Academy II High School,72X527,40.821828,-73.922366,730 CONCOURSE VILLAGE WEST,High Bridge - Morrisania,10451
Bronx Regional High School,72X480,40.823124,-73.898265,1010 REV. J. A. POLITE AVENUE,Hunts Point - Mott Haven,10459
Bronx River High School,72X349,40.839775,-73.839583,3000 EAST TREMONT AVENUE,Pelham - Throgs Neck,10461
"Bronx School for Law, Government and Justice",72X505,40.827461,-73.919024,244 EAST 163 STREET,High Bridge - Morrisania,10451
Bronx School of Law and Finance,72X284,40.877379,-73.912686,99 TERRACE VIEW AVENUE,Kingsbridge - Riverdale,10463
Bronx Studio School for Writers and Artists,72X269,40.820388,-73.892961,928 SIMPSON STREET,Hunts Point - Mott Haven,10459
Bronx Theatre High School,72X546,40.877379,-73.912686,99 TERRACE VIEW AVENUE,Kingsbridge - Riverdale,10463
Bronxdale High School,72X508,40.860443,-73.860729,925 ASTOR AVENUE,Northeast Bronx,10469
Brooklyn Academy of Science and the Environment,73K547,40.669805,-73.960689,883 CLASSON AVENUE,East Flatbush - Flatbush,11225
Brooklyn Collaborative Studies,73K448,40.679462,-74.002022,610 HENRY STREET,Downtown - Heights - Park Slope,11231
Brooklyn Collegiate: A College Board School,73K493,40.674456,-73.912685,2021 BERGEN STREET,Bedford Stuyvesant - Crown Heights,11233
Brooklyn Community Arts & Media High School (BCAM),73K412,40.692015,-73.95818,300 WILLOUGHBY AVENUE,Downtown - Heights - Park Slope,11205
Brooklyn Democracy Academy,73K643,40.655644,-73.906662,985 ROCKAWAY AVENUE,Bedford Stuyvesant - Crown Heights,11212
Brooklyn Frontiers High School,76K423,40.690007,-73.989369,112 SCHERMERHORN STREET,Downtown - Heights - Park Slope,11201
Brooklyn High School for Law and Technology,76K498,40.688399,-73.920603,1396 BROADWAY,Williamsburg - Bushwick,11221
Brooklyn High School for Leadership and Community,73K616,40.692015,-73.95818,300 WILLOUGHBY AVENUE,Downtown - Heights - Park Slope,11205
Brooklyn High School of the Arts,76K656,40.683951,-73.980266,345 DEAN STREET,Downtown - Heights - Park Slope,11217
Brooklyn Institute for Liberal Arts,73K745,40.658671,-73.943839,600 KINGSTON AVENUE,East Flatbush - Flatbush,11203
Brooklyn Lab School,73K639,40.693002,-73.869305,999 JAMAICA AVENUE,East New York,11208
The Brooklyn Latin School,76K449,40.709765,-73.944463,223 GRAHAM AVENUE,Williamsburg - Bushwick,11206
Brooklyn Preparatory High School,73K439,40.715561,-73.954815,257 N 6 STREET,Greenpoint,11211
Brooklyn School for Music & Theatre,73K548,40.669805,-73.960689,883 CLASSON AVENUE,East Flatbush - Flatbush,11225
Brooklyn Technical High School,76K430,40.688896,-73.976435,29 FT GREENE PLACE,Downtown - Heights - Park Slope,11217
Brooklyn Theatre Arts High School,73K567,40.634451,-73.916927,6565 FLATLANDS AVENUE,Canarsie - Flatlands,11236
Brownsville Academy High School,76K568,40.666251,-73.923881,1150 EAST NEW YORK AVENUE,Bedford Stuyvesant - Crown Heights,11212
Bushwick Community High School,73K564,40.695875,-73.915217,231 PALMETTO STREET,Williamsburg - Bushwick,11221
Bushwick Leaders High School for Academic Excellen,73K556,40.695436,-73.927349,797 BUSHWICK AVENUE,Williamsburg - Bushwick,11221
Business Of Sports School,71M393,40.763655,-73.990318,439 WEST 49 STREET,Chelsea - Clinton,10019
Business Technology Early College High School,77Q315,40.733888,-73.739726,230-17 HILLSIDE AVENUE,Southeast Queens,11427
Cambria Heights Academy,77Q326,40.711857,-73.771196,188-04 91 AVENUE,Jamaica,11432
Careers in Sports High School,72X548,40.821828,-73.922366,730 CONCOURSE VILLAGE WEST,High Bridge - Morrisania,10451
Cascades High School,71M650,40.722415,-73.990468,198 FORSYTH STREET,Union Square - Lower East Side,10002
The Celia Cruz Bronx High School of Music,72X442,40.869061,-73.897066,2780 RESERVOIR AVENUE,Fordham - Bronx Park,10468
Central Park East High School,71M555,40.793649,-73.948488,1573 MADISON AVENUE,East Harlem,10029
Channel View School for Research,77Q262,40.586012,-73.825317,100-00 BEACH CHANNEL DRIVE,Rockaway,11694
Chelsea Career and Technical Education High School,71M615,40.72463,-74.005058,131 AVENUE OF THE AMERICAS,Greenwich Village - SoHo,10013
City College Academy of the Arts,06M293,40.860951,-73.930082,4600 BROADWAY,Washington Heights - Inwood,10040
"City Polytechnic High School of Engineering, Architecture, and Technology",76K674,40.695444,-73.986105,105 TECH PLACE,Downtown - Heights - Park Slope,11201
Civic Leadership Academy,77Q293,40.743228,-73.871505,45-10 94 STREET,West Queens,11373
