year,school_name_x,school_name_y,ptr,neighborhood,zip_code
2020,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,Academy for Scholarship and Entrepreneurship: A College Board School,14,Northeast Bronx,10466
2022,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,Academy for Scholarship and Entrepreneurship: A College Board School,13,Northeast Bronx,10466
2019,ACADEMY FOR SOFTWARE ENGINEERING,Academy for Software Engineering,12.9,Union Square - Lower East Side,10003
2020,ACADEMY FOR SOFTWARE ENGINEERING,Academy for Software Engineering,11.9,Union Square - Lower East Side,10003
2022,ACADEMY FOR SOFTWARE ENGINEERING,Academy for Software Engineering,12,Union Square - Lower East Side,10003
2019,ACADEMY FOR YOUNG WRITERS,Academy for Young Writers,11.7,Canarsie - Flatlands,11239
2020,ACADEMY FOR YOUNG WRITERS,Academy for Young Writers,10.9,Canarsie - Flatlands,11239
2022,ACADEMY FOR YOUNG WRITERS,Academy for Young Writers,11.1,Canarsie - Flatlands,11239
2019,ACADEMY OF AMERICAN STUDIES,Academy of American Studies,21.6,Long Island City - Astoria,11101
2020,ACADEMY OF AMERICAN STUDIES,Academy of American Studies,22,Long Island City - Astoria,11101
2022,ACADEMY OF AMERICAN STUDIES,Academy of American Studies,22.6,Long Island City - Astoria,11101
2019,ACADEMY OF FINANCE AND ENTERPRISE,Academy of Finance and Enterprise,19.2,Long Island City - Astoria,11101
2020,ACADEMY OF FINANCE AND ENTERPRISE,Academy of Finance and Enterprise,19,Long Island City - Astoria,11101
2022,ACADEMY OF FINANCE AND ENTERPRISE,Academy of Finance and Enterprise,19,Long Island City - Astoria,11101
2019,ACADEMY OF HOSPITALITY AND TOURISM,Academy of Hospitality and Tourism,11.9,East Flatbush - Flatbush,11226
2020,ACADEMY OF HOSPITALITY AND TOURISM,Academy of Hospitality and Tourism,13.1,East Flatbush - Flatbush,11226
2022,ACADEMY OF HOSPITALITY AND TOURISM,Academy of Hospitality and Tourism,12.6,East Flatbush - Flatbush,11226
2019,ACADEMY OF INNOVATIVE TECHNOLOGY,Academy of Innovative Technology,12.7,East New York,11208
2020,ACADEMY OF INNOVATIVE TECHNOLOGY,Academy of Innovative Technology,13.1,East New York,11208
2022,ACADEMY OF INNOVATIVE TECHNOLOGY,Academy of Innovative Technology,13,East New York,11208
