Year,School Name,DBN,School Code,School Level,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School
2022,HIGH SCHOOL FOR CIVIL RIGHTS,73K504,K504,HIGH SCHOOL,3,21,4,9,14.3,6.6,12,12.4,5.6
2022,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,73K505,K505,HIGH SCHOOL,11,214,61,96,13.1,10.4,118,9.9,7.6
2022,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,73K507,K507,HIGH SCHOOL,3,30,5,13,7.5,5.1,17,8.3,5.8
2022,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHO,73K510,K510,HIGH SCHOOL,2,15,4,5,16.6,7.7,10,9.2,5.3
2022,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,73K514,K514,HIGH SCHOOL,2,15,7,7,11.2,6,8,10.1,5.2
2022,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,73K524,K524,HIGH SCHOOL,3,25,6,9,10.9,8.6,16,10.4,6.9
2022,EDWARD R. MURROW HIGH SCHOOL,73K525,K525,HIGH SCHOOL,14,219,56,90,13.8,10.3,129,13.9,10.2
2022,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,73K528,K528,HIGH SCHOOL,1,14,6,6,10,7.4,8,7.1,3.5
2022,SCHOOL FOR HUMAN RIGHTS  THE,73K531,K531,HIGH SCHOOL,2,20,11,8,9.6,2.7,12,12.8,3.9
2022,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,73K535,K535,HIGH SCHOOL,3,60,24,31,15.2,9,29,12.5,7.8
2022,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT,73K537,K537,HIGH SCHOOL,4,22,15,14,9.5,5.3,8,12.2,5.7
2022,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,73K539,K539,HIGH SCHOOL,3,17,5,9,11.4,6.3,8,6.8,6.4
2022,JOHN DEWEY HIGH SCHOOL,73K540,K540,HIGH SCHOOL,12,148,32,90,11.1,6.9,58,10.3,7.7
2022,EBC HIGH SCHOOL FOR PUBLIC SERVICE - BUSHWICK,73K545,K545,HIGH SCHOOL,3,37,13,19,10.2,9.4,18,8.3,7.3
2022,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,73K546,K546,HIGH SCHOOL,3,33,9,15,15.5,7.5,18,9.8,5.7
2022,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,73K547,K547,HIGH SCHOOL,2,19,8,8,14.3,11.2,11,13.9,9.1
2022,BROOKLYN SCHOOL FOR MUSIC & THEATRE,73K548,K548,HIGH SCHOOL,3,18,8,8,8.3,6.6,10,11.7,3.5
2022,THE BROOKLYN SCHOOL FOR SOCIAL JUSTICE,73K549,K549,HIGH SCHOOL,2,30,10,13,9.5,6.1,17,7.9,5.9
2022,THE ACADEMY OF URBAN PLANNING AND ENGINEERING,73K552,K552,HIGH SCHOOL,3,34,8,11,10.3,6.8,23,7.9,4.8
2022,BROOKLYN ACADEMY HIGH SCHOOL,73K553,K553,HIGH SCHOOL,2,11,4,*,,,*,,
2022,BROOKLYN COLLEGE ACADEMY,73K555,K555,HIGH SCHOOL,4,33,7,13,10.5,6.8,20,10.1,8.3
2022,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLEN,73K556,K556,HIGH SCHOOL,3,34,16,23,7.1,4.2,11,6.6,3.4
2022,IT TAKES A VILLAGE ACADEMY,73K563,K563,HIGH SCHOOL,3,32,15,13,11.3,8.3,19,15.6,7.2
2022,BUSHWICK COMMUNITY HIGH SCHOOL,73K564,K564,HIGH SCHOOL,3,13,5,5,5.1,2.9,8,5,3.2
2022,BROOKLYN COMMUNITY HIGH SCHOOL FOR EXCELLENCE AND,73K566,K566,HIGH SCHOOL,2,15,12,6,13.2,7.1,9,10.3,8.2
2022,BROOKLYN THEATRE ARTS HIGH SCHOOL,73K567,K567,HIGH SCHOOL,3,23,8,8,15,6.8,15,14,5.6
2022,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,73K569,K569,HIGH SCHOOL,3,20,9,7,7.7,3.2,13,8.9,3.2
2022,VICTORY COLLEGIATE HIGH SCHOOL,73K576,K576,HIGH SCHOOL,2,20,7,6,12.1,5.4,14,12,5.3
2022,BROOKLYN BRIDGE ACADEMY,73K578,K578,HIGH SCHOOL,2,14,4,*,,,*,,
2022,MULTICULTURAL HIGH SCHOOL,73K583,K583,HIGH SCHOOL,3,24,6,11,8.8,6.2,13,3.6,3.7
