Year,School Name,DBN,School Code,School Level,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Average Years in Title,B/AA Average Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple Count,Multiple Average Years in Title,Multiple Average Years at School,Unknown/Other (U/O) Count,U/O Average Years in Title,U/O Average Years at School
2020,,23K392,,,2,21,9,*,,,*,,,*,*,*,*,,,16,9.8,7.0,*,*,*,*,,,*,,,*,*,*,*,,
2020,,23K401,,,2,28,22,*,,,*,,,*,*,*,*,,,16,10.4,5.1,*,*,*,*,,,6,8.0,4.6,*,*,*,*,,
2020,,23K446,,,2,32,15,*,,,*,,,*,*,*,*,,,14,8.0,3.8,*,*,*,5,5.0,4.2,11,6.6,4.8,*,*,*,*,,
2020,,23K518,,,2,16,11,6,11.9,5.3,10,12.6,6.3,*,*,*,*,,,13,12.3,5.3,*,*,*,*,,,*,,,*,*,*,*,,
2020,,23K522,,,2,15,4,8,7.9,5.2,7,10.6,1.4,*,*,*,*,,,9,10.3,2.7,*,*,*,*,,,*,,,*,*,*,*,,
2020,,23K599,,,2,31,16,*,,,*,,,*,*,*,5,6.9,3.5,16,5.4,3.3,*,*,*,5,1.6,1.6,*,,,*,*,*,*,,
2020,,23K664,,,1,19,4,*,,,*,,,*,*,*,*,,,7,6.5,2.5,*,*,*,*,,,6,8.8,4.6,*,*,*,*,,
2020,,23K668,,,1,16,3,6,4.3,1.5,10,5.5,1.7,*,*,*,*,,,6,5.5,1.8,*,*,*,*,,,*,,,*,*,*,*,,
2020,,23K671,,,2,17,7,5,8.9,4.8,12,9.9,4.1,*,*,*,*,,,13,10.8,4.3,*,*,*,*,,,*,,,*,*,*,*,,
2020,,24Q005,,,5,131,29,35,11.3,10.1,96,11.1,8.5,*,*,*,15,9.9,5.1,*,,,*,*,*,19,11.6,10.2,92,11.1,9.1,*,*,*,*,,
2020,,24Q007,,,5,98,31,7,12.3,5.3,91,12.6,9.4,*,*,*,9,7.2,3.0,*,,,*,*,*,15,7.8,6.9,70,14.4,10.3,*,*,*,*,,
2020,,24Q012,,,4,76,23,*,,,*,,,*,*,*,*,,,*,,,*,*,*,6,10.9,10.7,66,15.4,14.4,*,*,*,*,,
2020,,24Q013,,,5,97,30,7,14.0,13.8,90,12.6,11.0,*,*,*,11,11.8,9.8,*,,,*,*,*,20,12.1,9.6,61,12.6,11.7,*,*,*,*,,
2020,,24Q014,,,5,109,35,9,16.4,12.8,100,13.7,12.4,*,*,*,8,10.9,11.0,*,,,*,*,*,31,12.0,11.3,65,15.2,13.1,*,*,*,*,,
2020,,24Q016,,,5,107,32,7,16.0,13.9,100,10.7,9.0,*,*,*,7,7.2,6.4,*,,,*,*,*,24,13.3,11.3,73,10.3,8.7,*,*,*,*,,
2020,,24Q019,,,6,145,43,14,9.0,6.5,131,12.8,11.8,*,*,*,6,13.6,10.0,*,,,*,*,*,41,9.3,7.7,93,13.7,13.1,*,*,*,*,,
2020,,24Q028,,,2,38,21,*,,,*,,,*,*,*,*,,,*,,,*,*,*,10,12.0,10.3,21,13.8,12.3,*,*,*,*,,
2020,,24Q049,,,4,74,20,10,9.7,7.4,64,9.8,7.6,*,*,*,*,,,*,,,*,*,*,5,9.2,1.6,62,9.3,7.4,*,*,*,*,,
2020,,24Q058,,,4,60,27,5,16.5,12.1,55,11.7,9.9,*,*,*,*,,,*,,,*,*,*,*,,,56,11.9,10.0,*,*,*,*,,
2020,,24Q061,,,8,190,44,33,8.6,7.9,157,9.3,7.9,*,*,*,5,6.1,5.9,17,11.3,9.3,*,*,*,46,8.7,7.5,115,9.4,8.1,*,*,*,*,,
2020,,24Q068,,,3,44,27,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,39,15.3,14.9,*,*,*,*,,
2020,,24Q071,,,3,55,28,5,7.7,4.7,50,13.7,12.4,*,*,*,*,,,*,,,*,*,*,7,7.0,6.4,45,14.7,13.0,*,*,*,*,,
2020,,24Q073,,,6,149,33,32,10.8,9.5,117,8.9,7.6,*,*,*,9,11.9,9.0,*,,,*,*,*,23,7.3,5.4,110,9.9,8.8,*,*,*,*,,
2020,,24Q077,,,4,71,26,24,9.9,8.4,47,14.4,12.9,*,*,*,5,14.4,13.4,*,,,*,*,*,8,11.1,8.2,55,12.8,11.9,*,*,*,*,,
2020,,24Q081,,,3,52,29,*,,,*,,,*,*,*,*,,,*,,,*,*,*,5,18.2,16.8,43,17.3,17.0,*,*,*,*,,
2020,,24Q087,,,3,53,26,11,7.6,5.4,42,12.7,10.8,*,*,*,*,,,5,12.4,9.3,*,*,*,6,9.0,5.7,38,11.4,10.1,*,*,*,*,,
2020,,24Q088,,,3,60,42,6,20.3,20.2,54,17.3,16.1,*,*,*,*,,,*,,,*,*,*,6,18.9,16.2,52,17.4,16.5,*,*,*,*,,
2020,,24Q089,,,7,140,41,12,7.7,4.1,128,8.2,7.0,*,*,*,17,8.2,7.5,*,,,*,*,*,24,5.9,3.4,96,8.5,7.3,*,*,*,*,,
2020,,24Q091,,,2,64,29,8,12.5,9.5,56,14.1,12.8,*,*,*,*,,,*,,,*,*,*,6,10.5,7.0,53,14.6,13.3,*,*,*,*,,
2020,,24Q093,,,5,86,25,31,11.7,11.2,55,10.7,9.7,*,*,*,*,,,5,14.6,12.3,*,*,*,13,8.2,7.2,61,11.7,11.3,*,*,*,*,,
2020,,24Q102,,,4,96,20,12,9.2,5.8,84,10.2,7.6,*,*,*,12,11.6,8.8,*,,,*,*,*,6,6.8,4.7,72,9.8,7.1,*,*,*,*,,
2020,,24Q110,,,3,77,23,5,3.7,2.6,72,5.5,2.1,*,*,*,10,5.5,1.2,*,,,*,*,*,20,5.8,1.7,46,5.3,2.6,*,*,*,*,,
2020,,24Q113,,,4,52,21,8,17.4,15.1,44,12.5,10.5,*,*,*,*,,,*,,,*,*,*,5,14.0,9.5,45,12.7,11.0,*,*,*,*,,
2020,,24Q119,,,3,80,18,13,16.7,13.4,67,10.4,6.6,*,*,*,*,,,*,,,*,*,*,*,,,67,12.3,8.5,*,*,*,*,,
2020,,24Q125,,,4,104,20,28,13.8,12.2,76,9.9,8.5,*,*,*,*,,,*,,,*,*,*,9,18.6,16.8,90,10.2,8.8,*,*,*,*,,
2020,,24Q128,,,3,63,16,5,12.4,6.1,58,10.5,9.2,*,*,*,5,7.0,6.1,*,,,*,*,*,7,14.0,10.2,48,10.3,9.2,*,*,*,*,,
2020,,24Q143,,,6,111,42,12,15.5,11.0,99,11.2,10.0,*,*,*,5,10.8,10.5,*,,,*,*,*,34,9.8,8.6,70,12.6,10.7,*,*,*,*,,
2020,,24Q153,,,4,78,29,7,12.8,12.7,71,11.9,10.7,*,*,*,*,,,*,,,*,*,*,9,10.0,8.8,63,13.0,11.7,*,*,*,*,,
2020,,24Q199,,,3,54,21,5,14.5,14.5,49,14.7,13.9,*,*,*,*,,,*,,,*,*,*,5,20.4,14.9,42,14.5,14.2,*,*,*,*,,
2020,,24Q211,,,2,53,9,7,3.7,1.6,46,5.4,2.1,*,*,*,*,,,*,,,*,*,*,23,3.4,2.2,25,6.5,2.0,*,*,*,*,,
2020,,24Q229,,,4,90,44,7,8.1,7.5,83,15.4,13.9,*,*,*,6,11.5,11.5,*,,,*,*,*,12,10.5,8.4,68,15.3,13.9,*,*,*,*,,
2020,,24Q239,,,3,42,15,*,,,*,,,*,*,*,*,,,*,,,*,*,*,5,9.3,5.5,34,12.5,9.7,*,*,*,*,,
2020,,24Q290,,,2,37,15,*,,,*,,,*,*,*,*,,,5,9.5,5.5,*,*,*,7,9.3,4.8,24,9.2,3.9,*,*,*,*,,
2020,,24Q305,,,3,48,28,*,,,*,,,*,*,*,*,,,*,,,*,*,*,11,8.7,5.3,32,7.2,4.4,*,*,*,*,,
2020,,24Q307,,,3,73,21,13,6.7,5.1,60,9.3,4.2,*,*,*,5,10.3,4.8,13,11.2,4.8,*,*,*,16,8.4,3.8,35,8.1,4.5,*,*,*,*,,
2020,,24Q311,,,3,66,15,14,7.1,2.4,52,4.0,2.5,*,*,*,*,,,*,,,*,*,*,23,4.5,2.7,35,5.1,2.5,*,*,*,*,,
2020,,24Q330,,,3,46,14,5,6.4,4.4,41,8.4,4.5,*,*,*,*,,,8,9.6,5.3,*,*,*,13,8.0,4.9,21,8.0,3.9,*,*,*,*,,
2020,,24Q343,,,2,38,14,*,,,*,,,*,*,*,*,,,*,,,*,*,*,5,6.4,3.2,25,5.5,2.9,*,*,*,*,,
2020,,25Q020,,,5,83,25,9,13.9,12.4,74,13.1,11.0,*,*,*,17,10.5,7.1,*,,,*,*,*,6,17.2,16.3,58,13.9,12.0,*,*,*,*,,
2020,,25Q021,,,3,86,41,*,,,*,,,*,*,*,15,8.3,6.3,*,,,*,*,*,*,,,65,16.0,12.5,*,*,*,*,,
2020,,25Q022,,,3,64,34,5,10.2,8.6,59,12.5,11.2,*,*,*,12,9.8,9.1,*,,,*,*,*,*,,,45,12.8,11.8,*,*,*,*,,
2020,,25Q024,,,5,70,32,*,,,*,,,*,*,*,21,5.8,3.9,*,,,*,*,*,*,,,42,9.4,8.6,*,*,*,*,,
2020,,25Q025,,,4,64,23,25,10.5,9.2,39,11.6,8.0,*,*,*,13,7.3,6.7,*,,,*,*,*,5,9.4,7.2,43,12.2,8.9,*,*,*,*,,
2020,,25Q029,,,3,54,18,6,5.2,2.8,48,10.6,8.4,*,*,*,*,,,*,,,*,*,*,7,9.3,9.0,45,10.1,7.7,*,*,*,*,,
2020,,25Q032,,,2,69,28,5,13.9,8.4,64,10.5,8.1,*,*,*,10,7.7,6.5,*,,,*,*,*,*,,,52,11.8,8.8,*,*,*,*,,
2020,,25Q079,,,3,62,19,8,9.0,5.8,54,11.6,9.4,*,*,*,*,,,*,,,*,*,*,*,,,55,11.5,9.2,*,*,*,*,,
2020,,25Q107,,,3,71,51,5,9.7,6.7,66,12.4,10.9,*,*,*,9,6.1,3.7,*,,,*,*,*,6,10.0,6.8,50,13.9,12.8,*,*,*,*,,
2020,,25Q120,,,4,61,22,6,11.3,6.4,55,13.5,8.4,*,*,*,8,6.5,4.7,*,,,*,*,*,*,,,50,14.4,8.7,*,*,*,*,,
2020,,25Q129,,,3,79,38,8,15.1,14.7,71,12.1,9.6,*,*,*,6,8.3,7.0,*,,,*,*,*,8,8.4,7.0,62,13.4,10.9,*,*,*,*,,
2020,,25Q130,,,2,30,18,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,29,12.8,10.3,*,*,*,*,,
2020,,25Q154,,,2,47,27,7,11.1,6.5,40,14.2,10.7,*,*,*,*,,,*,,,*,*,*,*,,,38,14.2,10.9,*,*,*,*,,
2020,,25Q163,,,3,55,15,*,,,*,,,*,*,*,19,7.1,5.9,*,,,*,*,*,*,,,31,10.5,6.7,*,*,*,*,,
2020,,25Q164,,,3,52,18,11,15.0,12.3,41,10.0,8.8,*,*,*,5,3.4,2.2,*,,,*,*,*,9,8.1,9.0,33,11.6,9.3,*,*,*,*,,
2020,,25Q165,,,3,90,28,6,8.6,8.3,84,12.2,9.5,*,*,*,8,8.8,6.0,*,,,*,*,*,*,,,75,12.5,9.7,*,*,*,*,,
2020,,25Q169,,,2,29,15,5,15.1,8.3,24,10.3,6.9,*,*,*,5,10.3,8.5,*,,,*,*,*,*,,,18,11.1,7.4,*,*,*,*,,
2020,,25Q184,,,2,33,15,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,29,12.6,9.8,*,*,*,*,,
2020,,25Q185,,,4,93,23,22,9.0,8.0,71,9.8,8.4,*,*,*,14,6.6,6.6,*,,,*,*,*,7,12.5,10.1,70,9.9,8.4,*,*,*,*,,
2020,,25Q189,,,3,55,19,14,10.7,9.5,41,9.8,9.6,*,*,*,10,8.8,7.2,*,,,*,*,*,5,5.8,7.4,35,11.4,11.2,*,*,*,*,,
2020,,25Q193,,,2,40,16,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,37,10.5,8.0,*,*,*,*,,
2020,,25Q194,,,4,80,20,21,10.9,6.8,59,10.3,7.8,*,*,*,6,12.9,8.8,*,,,*,*,*,5,9.5,8.6,67,10.4,7.4,*,*,*,*,,
2020,,25Q200,,,2,44,16,6,11.6,9.4,38,13.7,11.3,*,*,*,*,,,*,,,*,*,*,*,,,37,14.0,11.8,*,*,*,*,,
2020,,25Q201,,,2,45,20,6,9.3,3.4,39,12.6,7.8,*,*,*,*,,,*,,,*,*,*,*,,,38,13.0,7.8,*,*,*,*,,
2020,,25Q209,,,2,37,15,5,12.9,10.9,32,16.8,14.1,*,*,*,*,,,*,,,*,*,*,*,,,31,15.9,13.6,*,*,*,*,,
2020,,25Q214,,,2,32,14,*,,,*,,,*,*,*,6,11.3,10.3,*,,,*,*,*,*,,,23,13.6,10.9,*,*,*,*,,
2020,,25Q219,,,4,77,28,14,11.9,7.9,63,11.7,9.3,*,*,*,8,8.8,6.5,*,,,*,*,*,5,8.1,7.3,58,13.0,9.8,*,*,*,*,,
2020,,25Q237,,,4,87,27,35,10.9,8.9,52,10.5,8.2,*,*,*,14,9.6,7.7,*,,,*,*,*,14,10.8,7.2,50,11.8,9.7,*,*,*,5,6.8,6.5
2020,,25Q242,,,2,32,8,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,30,15.2,13.5,*,*,*,*,,
2020,,25Q244,,,2,31,6,*,,,*,,,*,*,*,10,7.2,4.8,*,,,*,*,*,*,,,19,11.3,8.0,*,*,*,*,,
2020,,25Q250,,,2,31,5,11,12.1,7.4,20,8.3,6.1,*,*,*,*,,,*,,,*,*,*,*,,,27,8.8,6.2,*,*,*,*,,
2020,QUEENS SCHOOL OF INQUIRY  THE,25Q252,,,3,46,7,16,10.7,6.2,30,8.7,5.2,*,*,*,*,,,*,,,*,*,*,5,8.9,7.7,37,10.0,5.4,*,*,*,*,,
2020,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHO,25Q285,,,3,42,14,18,10.4,7.5,24,10.4,6.2,*,*,*,5,7.5,6.4,*,,,*,*,*,5,5.7,2.6,29,11.5,7.4,*,*,*,*,,
2020,,25Q294,,,2,25,10,8,11.4,6.2,17,8.7,5.3,*,*,*,*,,,*,,,*,*,*,*,,,23,9.5,5.7,*,*,*,*,,
2020,,25Q379,,,2,23,7,7,2.4,0.4,16,2.9,0.7,*,*,*,6,3.9,0.7,*,,,*,*,*,*,,,14,2.7,0.7,*,*,*,*,,
2020,,25Q499,,,2,29,8,*,,,*,,,*,*,*,7,11.6,10.8,*,,,*,*,*,*,,,18,14.0,11.6,*,*,*,*,,
2020,,26Q018,,,2,36,7,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,34,11.7,8.5,*,*,*,*,,
2020,,26Q026,,,2,48,18,5,8.6,7.2,43,11.8,8.5,*,*,*,6,6.9,3.2,*,,,*,*,*,*,,,37,12.1,9.5,*,*,*,*,,
2020,,26Q031,,,2,40,13,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,34,11.2,10.0,*,*,*,*,,
2020,,26Q041,,,2,33,23,*,,,*,,,*,*,*,5,12.2,9.8,*,,,*,*,*,*,,,26,11.1,8.3,*,*,*,*,,
2020,,26Q046,,,2,49,34,5,5.9,5.8,44,11.6,10.4,*,*,*,*,,,*,,,*,*,*,*,,,37,11.5,10.1,*,*,*,*,,
2020,,26Q067,,,4,63,11,22,7.9,5.9,41,9.8,7.7,*,*,*,7,6.1,5.4,*,,,*,*,*,*,,,50,8.9,6.8,*,*,*,*,,
2020,,26Q074,,,5,74,26,25,10.1,6.9,49,12.2,10.9,*,*,*,6,13.1,7.8,*,,,*,*,*,6,15.4,7.7,60,10.7,9.6,*,*,*,*,,
2020,,26Q094,,,1,25,8,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,20,14.3,10.0,*,*,*,*,,
2020,,26Q098,,,1,22,10,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,18,12.3,8.2,*,*,*,*,,
2020,,26Q115,,,2,43,18,*,,,*,,,*,*,*,*,,,*,,,*,*,*,6,9.1,6.6,35,13.6,10.9,*,*,*,*,,
2020,,26Q133,,,2,41,18,5,9.2,3.5,36,11.7,8.6,*,*,*,*,,,*,,,*,*,*,*,,,37,11.8,8.1,*,*,*,*,,
2020,,26Q158,,,4,68,16,15,9.3,6.6,53,11.2,9.0,*,*,*,8,3.6,0.8,*,,,*,*,*,*,,,54,11.9,9.9,*,*,*,*,,
2020,,26Q159,,,2,45,19,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,38,12.9,7.9,*,*,*,*,,
2020,,26Q162,,,2,41,18,*,,,*,,,*,*,*,8,10.9,5.8,*,,,*,*,*,*,,,30,13.5,12.7,*,*,*,*,,
2020,,26Q172,,,4,65,14,15,12.8,9.8,50,10.6,8.9,*,*,*,5,7.3,4.4,*,,,*,*,*,8,11.5,11.5,49,11.2,8.9,*,*,*,*,,
2020,,26Q173,,,3,62,17,*,,,*,,,*,*,*,15,7.9,6.2,*,,,*,*,*,*,,,38,12.5,10.0,*,*,*,5,6.9,4.1
2020,,26Q178,,,2,38,15,*,,,*,,,*,*,*,6,13.9,9.3,*,,,*,*,*,*,,,27,7.0,5.2,*,*,*,*,,
2020,,26Q186,,,2,62,18,*,,,*,,,*,*,*,*,,,*,,,*,*,*,5,11.0,9.0,51,11.3,8.8,*,*,*,*,,
2020,,26Q188,,,1,41,11,*,,,*,,,*,*,*,5,12.5,12.2,*,,,*,*,*,*,,,33,13.2,10.1,*,*,*,*,,
2020,,26Q191,,,2,25,10,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,23,14.9,13.0,*,*,*,*,,
2020,,26Q203,,,2,56,25,7,10.5,4.4,49,12.8,11.8,*,*,*,7,9.7,8.4,*,,,*,*,*,*,,,44,13.0,11.4,*,*,*,*,,
2020,,26Q205,,,1,23,12,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,18,12.2,7.8,*,*,*,*,,
2020,,26Q213,,,2,33,18,*,,,*,,,*,*,*,5,11.0,10.0,*,,,*,*,*,*,,,25,15.7,13.0,*,*,*,*,,
2020,,26Q216,,,5,89,16,19,12.5,9.1,70,10.7,6.7,*,*,*,11,14.8,10.8,17,12.0,6.5,*,*,*,6,12.8,8.1,50,10.2,6.9,*,*,*,5,6.6,4.3
2020,,26Q221,,,2,40,16,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,35,11.4,9.7,*,*,*,*,,
2020,,26Q266,,,2,48,16,7,11.4,4.9,41,13.7,9.6,*,*,*,*,,,*,,,*,*,*,7,9.1,7.1,37,14.7,9.7,*,*,*,*,,
2020,,26Q376,,,1,18,8,*,,,*,,,*,*,*,5,3.0,1.4,*,,,*,*,*,*,,,8,3.6,1.4,*,*,*,*,,
2020,,27Q042,,,3,54,27,5,14.5,11.5,49,11.6,9.3,*,*,*,5,15.0,10.0,18,11.6,10.3,*,*,*,6,12.3,8.5,24,11.5,9.1,*,*,*,*,,
2020,,27Q043,,,5,70,37,11,12.2,12.1,59,11.1,8.8,*,*,*,*,,,12,15.2,10.5,*,*,*,8,8.0,4.2,46,11.2,9.8,*,*,*,*,,
2020,,27Q045,,,2,30,16,5,12.8,9.6,25,12.6,10.6,*,*,*,*,,,5,9.5,8.3,*,*,*,*,,,20,12.2,10.2,*,*,*,*,,
2020,,27Q047,,,2,27,13,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,23,11.6,6.1,*,*,*,*,,
2020,,27Q051,,,1,19,6,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,14,11.9,9.2,*,*,*,*,,
2020,,27Q053,,,3,19,13,5,3.6,1.9,14,7.9,3.0,*,*,*,*,,,*,,,*,*,*,*,,,9,7.7,2.6,*,*,*,*,,
2020,,27Q056,,,2,26,9,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,22,10.5,8.6,*,*,*,*,,
2020,,27Q060,,,4,81,18,*,,,*,,,*,*,*,*,,,*,,,*,*,*,14,11.6,10.2,61,13.5,13.0,*,*,*,*,,
2020,,27Q062,,,4,61,21,5,10.7,10.5,56,11.2,9.2,*,*,*,*,,,*,,,*,*,*,5,11.0,8.6,48,11.4,9.9,*,*,*,*,,
2020,,27Q063,,,4,81,35,6,10.7,10.2,75,14.6,13.0,*,*,*,*,,,*,,,*,*,*,*,,,71,14.3,12.8,*,*,*,*,,
2020,,27Q064,,,1,35,14,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,29,16.1,13.1,*,*,*,*,,
2020,,27Q065,,,2,37,11,*,,,*,,,*,*,*,*,,,*,,,*,*,*,6,13.1,13.0,28,13.0,11.8,*,*,*,*,,
2020,,27Q066,,,3,37,19,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,33,12.5,10.9,*,*,*,*,,
2020,,27Q090,,,3,53,32,*,,,*,,,*,*,*,*,,,*,,,*,*,*,10,15.8,15.8,38,14.7,14.1,*,*,*,*,,
2020,,27Q096,,,2,21,3,*,,,*,,,*,*,*,*,,,8,10.2,4.8,*,*,*,*,,,7,10.4,6.5,*,*,*,*,,
2020,,27Q097,,,3,49,19,*,,,*,,,*,*,*,*,,,*,,,*,*,*,9,12.7,9.4,36,14.6,12.3,*,*,*,*,,
2020,,27Q100,,,3,65,29,*,,,*,,,*,*,*,*,,,6,23.7,19.5,*,*,*,6,14.8,11.6,50,14.2,11.8,*,*,*,*,,
2020,,27Q104,,,3,49,25,*,,,*,,,*,*,*,*,,,9,13.1,11.9,*,*,*,*,,,34,14.5,12.1,*,*,*,*,,
2020,,27Q105,,,3,70,32,12,13.2,10.6,58,13.3,10.2,*,*,*,*,,,6,21.6,11.7,*,*,*,6,9.8,7.5,57,12.8,10.6,*,*,*,*,,
2020,,27Q106,,,2,18,7,*,,,*,,,*,*,*,*,,,8,3.5,2.5,*,*,*,*,,,5,9.8,8.4,*,*,*,*,,
2020,,27Q108,,,5,91,26,7,8.3,6.4,84,10.0,8.3,*,*,*,*,,,*,,,*,*,*,6,11.8,9.9,79,9.8,8.1,*,*,*,*,,
2020,,27Q114,,,2,50,24,6,16.3,10.6,44,12.7,9.1,*,*,*,*,,,*,,,*,*,*,*,,,50,13.1,9.2,*,*,*,*,,
2020,,27Q123,,,3,45,29,*,,,*,,,*,*,*,*,,,12,11.9,10.9,*,*,*,*,,,24,18.6,17.4,*,*,*,*,,
2020,,27Q124,,,3,67,14,8,13.3,11.7,59,13.2,11.2,*,*,*,*,,,17,14.5,11.5,*,*,*,*,,,42,13.2,11.7,*,*,*,*,,
2020,,27Q137,,,6,128,31,28,12.7,10.4,100,11.2,9.6,*,*,*,11,10.2,9.1,8,14.8,12.4,*,*,*,22,9.2,8.5,81,12.6,10.5,*,*,*,5,5.1,3.5
2020,,27Q146,,,3,43,16,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,40,16.6,12.9,*,*,*,*,,
2020,,27Q155,,,3,34,12,*,,,*,,,*,*,*,*,,,14,14.3,13.5,*,*,*,*,,,15,16.3,15.3,*,*,*,*,,
2020,,27Q183,,,3,52,19,5,9.3,4.5,47,10.9,8.4,*,*,*,*,,,10,15.1,12.5,*,*,*,5,8.6,8.0,35,10.2,7.0,*,*,*,*,,
2020,,27Q197,,,3,44,24,5,9.9,4.3,39,10.9,6.0,*,*,*,5,3.0,3.0,10,14.1,3.4,*,*,*,16,9.3,4.2,13,13.2,10.8,*,*,*,*,,
2020,,27Q202,,,4,72,19,15,11.8,8.7,57,12.9,9.9,*,*,*,6,9.8,7.1,5,11.7,6.4,*,*,*,7,14.6,8.9,53,13.1,10.5,*,*,*,*,,
2020,,27Q207,,,2,63,24,6,15.9,11.0,57,14.6,13.0,*,*,*,*,,,*,,,*,*,*,*,,,55,14.7,13.1,*,*,*,*,,
2020,,27Q210,,,5,132,24,35,10.5,7.7,97,11.2,8.9,*,*,*,12,8.4,6.1,19,12.7,10.0,*,*,*,18,11.4,9.2,77,11.3,8.8,*,*,*,6,6.6,4.1
2020,,27Q223,,,3,45,21,*,,,*,,,*,*,*,*,,,13,21.7,16.4,*,*,*,*,,,24,17.6,14.6,*,*,*,*,,
2020,,27Q226,,,5,68,17,11,14.0,12.4,57,9.5,6.8,*,*,*,6,9.1,7.2,32,11.2,7.8,*,*,*,9,13.0,10.3,17,9.4,7.8,*,*,*,*,,
2020,,27Q232,,,3,64,16,10,12.5,5.4,54,14.8,10.2,*,*,*,*,,,*,,,*,*,*,*,,,56,14.7,9.9,*,*,*,*,,
2020,,27Q253,,,3,46,19,*,,,*,,,*,*,*,*,,,14,11.5,9.5,*,*,*,8,7.4,5.9,22,11.0,7.8,*,*,*,*,,
2020,,27Q254,,,3,42,17,7,16.1,12.4,35,14.2,11.6,*,*,*,*,,,8,21.8,13.5,*,*,*,*,,,25,12.3,11.6,*,*,*,*,,
2020,,27Q273,,,2,27,12,5,9.4,5.6,22,10.0,4.7,*,*,*,*,,,6,9.8,4.3,*,*,*,6,6.0,3.8,10,13.9,6.5,*,*,*,*,,
2020,,27Q282,,,3,17,2,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,13,8.0,2.7,*,*,*,*,,
2020,,27Q297,,,2,29,8,5,2.4,2.2,24,7.2,3.1,*,*,*,*,,,*,,,*,*,*,*,,,22,7.5,3.1,*,*,*,*,,
2020,,27Q306,,,2,31,15,*,,,*,,,*,*,*,*,,,*,,,*,*,*,7,7.4,6.5,21,7.4,4.5,*,*,*,*,,
2020,,27Q316,,,2,33,16,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,28,5.8,3.1,*,*,*,*,,
2020,,27Q317,,,2,43,14,6,9.2,5.9,37,10.1,6.3,*,*,*,*,,,*,,,*,*,*,*,,,39,9.7,6.0,*,*,*,*,,
2020,,27Q318,,,1,22,5,*,,,*,,,*,*,*,*,,,6,14.4,3.5,*,*,*,*,,,14,7.5,3.5,*,*,*,*,,
2020,,27Q319,,,3,38,4,10,7.4,3.0,28,6.0,3.1,*,*,*,*,,,23,6.4,3.1,*,*,*,6,3.4,2.1,6,11.4,5.0,*,*,*,*,,
2020,SCHOLARS' ACADEMY,27Q323,,,5,74,14,13,9.2,7.2,61,8.1,5.9,*,*,*,*,,,*,,,*,*,*,8,7.5,6.0,56,8.7,6.5,*,*,*,*,,
2020,,27Q333,,,1,27,8,*,,,*,,,*,*,*,*,,,8,15.2,8.8,*,*,*,*,,,15,7.7,4.0,*,*,*,*,,
2020,,27Q362,,,3,35,21,*,,,*,,,*,*,*,*,,,*,,,*,*,*,5,7.6,4.4,25,5.8,3.6,*,*,*,*,,
2020,,27Q377,,,2,28,16,*,,,*,,,*,*,*,*,,,*,,,*,*,*,5,2.8,0.8,23,4.8,1.5,*,*,*,*,,
2020,,28Q008,,,2,33,9,7,14.9,10.7,26,11.3,8.0,*,*,*,*,,,14,14.2,8.1,*,*,*,*,,,14,10.6,8.9,*,*,*,*,,
2020,,28Q040,,,2,30,19,*,,,*,,,*,*,*,*,,,15,11.4,9.3,*,*,*,*,,,12,10.7,8.5,*,*,*,*,,
2020,,28Q048,,,2,40,19,5,8.8,7.2,35,11.9,6.1,*,*,*,5,9.8,5.3,17,11.7,5.6,*,*,*,*,,,12,12.9,8.1,*,*,*,*,,
