Year,School Name,DBN,School Code,School Level,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Average Years in Title,B/AA Average Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple Count,Multiple Average Years in Title,Multiple Average Years at School,Unknown/Other (U/O) Count,U/O Average Years in Title,U/O Average Years at School
2020,,02M124,,,2,47,14,*,,,*,,,*,*,*,25,17.9,16.0,*,,,*,*,*,*,,,19,10.0,9.0,*,*,*,*,,
2020,,02M126,,,3,61,16,13,11.8,10.5,48,11.7,10.0,*,*,*,10,13.0,12.3,*,,,*,*,*,8,11.0,7.8,39,11.5,10.1,*,*,*,*,,
2020,,02M130,,,2,53,14,*,,,*,,,*,*,*,32,11.8,11.1,*,,,*,*,*,5,11.9,11.9,15,14.1,12.0,*,*,*,*,,
2020,,02M131,,,2,29,12,9,9.4,6.5,20,12.9,11.3,*,*,*,13,10.2,8.2,*,,,*,*,*,*,,,14,13.8,11.5,*,*,*,*,,
2020,,02M150,,,1,8,5,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,5,16.2,12.0,*,*,*,*,,
2020,,02M151,,,2,36,19,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,32,7.0,4.9,*,*,*,*,,
2020,,02M158,,,2,53,21,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,49,5.3,4.8,*,*,*,*,,
2020,,02M167,,,4,90,19,28,9.7,7.5,62,8.6,5.2,*,*,*,6,8.6,7.7,5,15.8,9.0,*,*,*,6,6.8,4.1,72,8.8,5.8,*,*,*,*,,
2020,,02M177,,,2,20,6,7,3.7,2.1,13,7.2,3.2,*,*,*,*,,,*,,,*,*,*,*,,,16,6.6,3.2,*,*,*,*,,
2020,,02M183,,,2,38,17,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,32,10.9,8.4,*,*,*,*,,
2020,,02M198,,,2,40,17,*,,,*,,,*,*,*,5,7.9,7.3,*,,,*,*,*,*,,,28,7.1,5.7,*,*,*,*,,
2020,,02M212,,,1,20,7,6,12.2,9.0,14,8.0,6.5,*,*,*,*,,,*,,,*,*,*,*,,,15,8.3,7.0,*,*,*,*,,
2020,,02M217,,,2,42,15,*,,,*,,,*,*,*,*,,,*,,,*,*,*,6,7.2,3.8,32,7.1,6.3,*,*,*,*,,
2020,,02M225,,,2,27,10,*,,,*,,,*,*,*,*,,,*,,,*,*,*,5,11.1,8.9,19,8.8,6.3,*,*,*,*,,
2020,,02M234,,,2,48,14,5,3.2,2.2,43,6.7,5.4,*,*,*,*,,,*,,,*,*,*,*,,,41,6.6,5.2,*,*,*,*,,
2020,,02M255,,,2,25,5,8,12.0,9.7,17,9.0,6.7,*,*,*,*,,,*,,,*,*,*,*,,,21,9.7,7.5,*,*,*,*,,
2020,THE CLINTON SCHOOL,02M260,,,3,51,8,15,6.3,3.2,36,6.6,2.4,*,*,*,6,5.5,3.3,*,,,*,*,*,*,,,34,7.1,2.9,*,*,*,*,,
2020,,02M267,,,2,30,10,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,23,6.5,3.2,*,*,*,*,,
2020,,02M276,,,2,62,27,6,9.8,6.6,56,9.3,5.1,*,*,*,8,11.0,5.7,*,,,*,*,*,*,,,48,8.5,5.3,*,*,*,*,,
