Year,School Name,DBN,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Average Years in Title,B/AA Average Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple/Other (M/O) Count,M/O Average Years in Title,M/O Average Years at School
2020,"""47"" The American Sign Language and English Secondary School",71M047,3,25,4,9,3.8,2,16,6.5,5.3,*,*,*,*,,,5,6.5,8.9,*,*,*,*,,,18,5.9,3.3,*,*,*
2021,"""47"" The American Sign Language and English Secondary School",71M047,3,25,3,8,7.2,3,17,8.1,6,*,,,*,,,5,7.4,9.9,*,,,*,,,17,8.1,4.3,*,*,*
2022,"""47"" The American Sign Language and English Secondary School",71M047,3,34,5,14,5.6,2,20,7.8,4.7,*,,,*,,,5,10.8,10.1,*,,,*,,,24,6.6,2.8,*,*,*
2023,"""47"" The American Sign Language and English Secondary School",71M047,3,35,5,15,6.2,2.9,20,5.5,4.1,*,,,*,,,5,11.2,10.5,*,,,*,,,26,4.7,2.5,*,*,*
2020,A. Philip Randolph Campus High School,71M540,9,91,24,45,11,5.2,46,11.7,5.4,*,*,*,6,9.8,5.8,14,13.2,6.5,*,*,*,32,11.5,4.9,32,12.1,5.6,5,5.7,3.9
2021,A. Philip Randolph Campus High School,71M540,9,85,22,44,11.2,5.7,41,11.5,6.3,*,,,6,10.8,6.8,14,11.9,5.2,*,,,29,11.3,6,29,12.6,6.6,5,6.7,4.9
2022,A. Philip Randolph Campus High School,71M540,7,93,23,50,11.3,5.5,43,11,6.1,*,,,8,11.8,5.2,14,12.7,5.9,*,,,36,9.7,5.2,30,12.5,6.7,*,*,*
2023,A. Philip Randolph Campus High School,71M540,8,83,26,45,12.8,7,38,11.2,6.9,*,,,7,12.3,6.3,14,12.9,6.2,*,,,31,11.1,6.4,26,12.9,8.3,*,*,*
2020,Abraham Lincoln High School,76K410,9,123,33,45,10.1,6.9,78,11,8.9,*,*,*,8,3.4,3.4,19,9.1,5.5,*,*,*,15,9.1,6.9,73,13,10.3,6,3.8,2.9
2021,Abraham Lincoln High School,76K410,9,122,34,45,10.7,7.5,77,11.5,9.3,*,,,9,3.9,3.6,19,9.3,5.7,*,,,16,9.6,7.5,70,13.9,11,6,4.8,3.9
2022,Abraham Lincoln High School,76K410,9,128,33,48,10.4,7.5,80,11.2,9.2,*,,,12,3.7,3.4,21,9.2,5.8,*,,,19,7.6,6.4,69,14.1,11.3,*,*,*
2023,Abraham Lincoln High School,76K410,9,121,41,46,11.3,8.5,75,11.5,9.1,*,,,13,4.4,4.1,21,9.4,6.1,*,,,18,8.1,7.3,64,14.8,11.4,*,*,*
2020,Academy for Careers in Television and Film,77Q301,3,39,9,19,6.9,5.3,20,5.3,4.4,*,*,*,*,,,*,,,*,*,*,6,3.6,3.5,28,7,5.2,*,*,*
2021,Academy for Careers in Television and Film,77Q301,3,41,10,20,7.5,6,21,6.1,5.2,*,,,*,,,*,,,*,,,7,4,4,28,8,6.2,*,*,*
2022,Academy for Careers in Television and Film,77Q301,3,44,10,23,7.7,6.2,21,6.3,5.6,*,,,*,,,*,,,*,,,8,3.7,4.8,28,8.4,6.8,*,*,*
2023,Academy for Careers in Television and Film,77Q301,3,47,10,21,9,6.9,26,6.4,5.1,*,,,*,,,*,,,*,,,9,4.3,5.3,30,8.9,7,*,*,*
2020,Academy for Conservation and the Environment,73K637,2,26,9,11,5.2,3.9,15,4.5,2.1,*,*,*,*,,,10,5.1,2.9,*,*,*,*,,,9,3.7,2.4,*,*,*
2021,Academy for Conservation and the Environment,73K637,3,26,9,10,6.4,5,16,5.2,3,*,,,*,,,11,5.6,3.6,*,,,*,,,8,4.8,3.4,*,*,*
2022,Academy for Conservation and the Environment,73K637,3,29,10,12,6.6,4.7,17,5.4,3.5,*,,,*,,,14,5.5,3.5,*,,,*,,,8,5.4,4,*,*,*
2023,Academy for Conservation and the Environment,73K637,3,30,10,14,9.3,4.7,16,6.9,4,*,,,*,,,12,6.3,4.5,*,,,*,,,11,8.5,3.6,*,*,*
2020,Academy for Excellence in Leadership,73K403,3,22,14,9,4.6,3.6,13,7.3,5.3,*,*,*,*,,,7,7.1,5.3,*,*,*,*,,,8,6.4,5.3,*,*,*
2021,Academy for Excellence in Leadership,73K403,3,23,14,9,4.7,3.8,14,7.3,5,*,,,*,,,7,7.2,4.6,*,,,*,,,10,6.1,5.1,*,*,*
2022,Academy for Excellence in Leadership,73K403,2,24,13,10,4.3,4.4,14,7,4.7,*,,,*,,,7,6.5,3.8,*,,,5,4.1,4,9,7.1,6.1,*,*,*
2023,Academy for Excellence in Leadership,73K403,3,24,12,8,6.4,6.9,16,6.2,4,*,,,*,,,*,,,*,,,6,4.4,3.7,9,8.5,6.6,*,*,*
2020,Academy for Health Careers,71M468,4,33,5,17,13.7,8.7,16,11.6,5.4,*,*,*,*,,,*,,,*,*,*,14,13,7.1,14,15.8,8.9,*,*,*
2021,Academy for Health Careers,71M468,4,32,7,14,10.9,7.2,18,11.5,5.8,*,,,*,,,5,3.7,1.9,*,,,13,11.9,7.3,13,14.3,7.7,*,*,*
2022,Academy for Health Careers,71M468,4,31,10,14,12.4,8.6,17,10.8,5.3,*,,,*,,,*,,,*,,,11,12.1,7.6,13,14.3,9.2,*,*,*
2023,Academy for Health Careers,71M468,4,29,10,13,13.3,8.5,16,11.5,6.8,*,,,*,,,6,6.8,1.8,*,,,11,11.7,8.8,11,16.9,10,*,*,*
2020,Academy for Language and Technology,72X365,2,25,4,12,4.2,2.1,13,4.2,2.9,*,*,*,*,,,*,,,*,*,*,15,5.2,2.3,9,3,3,*,*,*
2021,Academy for Language and Technology,72X365,2,25,4,12,5.2,3.1,13,5.9,4.5,*,,,*,,,*,,,*,,,14,6.6,3.4,10,4.5,4.5,*,*,*
2022,Academy for Language and Technology,72X365,2,24,5,10,4.6,3.8,14,6.3,5.1,*,,,*,,,*,,,*,,,14,5.9,4.1,9,5.7,5.7,*,*,*
2023,Academy for Language and Technology,72X365,2,23,5,9,5.5,4.6,14,3.6,3.6,*,,,*,,,*,,,*,,,12,4.1,3.4,9,5.6,5.6,*,*,*
2020,Academy for Scholarship and Entrepreneurship: A College Board School,72X270,3,26,6,11,13.3,5.4,15,11.5,6.7,*,*,*,*,,,13,10.7,6.5,*,*,*,5,13.7,7.1,6,14.9,4.4,*,*,*
2021,Academy for Scholarship and Entrepreneurship: A College Board School,72X270,3,28,8,11,14.3,6.4,17,11.6,6.3,*,,,*,,,13,11.5,7.3,*,,,*,,,8,14.6,4.2,*,*,*
2022,Academy for Scholarship and Entrepreneurship: A College Board School,72X270,3,28,10,11,13.6,7.2,17,12.3,6.9,*,,,*,,,14,11.3,7.5,*,,,*,,,7,15.2,5.6,*,*,*
2023,Academy for Scholarship and Entrepreneurship: A College Board School,72X270,3,28,9,11,14.1,7.6,17,13.3,8,*,,,*,,,14,12.4,8.6,*,,,*,,,7,16.3,6.6,*,*,*
2020,Academy for Software Engineering,02M546,3,37,12,19,7,3.1,18,5.5,3.8,*,*,*,*,,,*,,,*,*,*,*,,,25,6,4,*,*,*
2021,Academy for Software Engineering,02M546,3,35,15,18,8.3,4,16,6.3,4.4,*,,,*,,,5,7.7,2.7,*,,,*,,,22,7.1,5,*,*,*
2022,Academy for Software Engineering,02M546,2,33,13,16,8.4,4.1,17,6.1,3.7,*,,,*,,,*,,,*,,,6,4.8,2.9,17,7.4,5.3,*,*,*
2023,Academy for Software Engineering,02M546,3,32,13,15,8,4.1,17,6,4.3,*,,,5,8,1.4,*,,,*,,,5,3.5,2.1,16,7.4,5.9,*,*,*
2020,Academy for Young Writers,73K404,3,49,15,14,8.6,4,35,6.1,3.2,*,*,*,*,,,20,5.7,1.6,*,*,*,6,8.4,3.4,17,8.5,5.9,*,*,*
2021,Academy for Young Writers,73K404,3,50,14,13,11.7,4.9,37,6.9,4.3,*,,,*,,,20,6.4,2.6,*,,,6,9.4,4.4,17,11.1,7.1,*,*,*
2022,Academy for Young Writers,73K404,3,51,13,13,13.5,4.9,38,6.3,3.9,*,,,5,3.5,1.9,21,7.4,3.1,*,,,7,9.4,4.6,15,10.1,5.7,*,*,*
2023,Academy for Young Writers,73K404,2,51,11,14,12.7,4.3,37,7.3,5,*,,,6,5.1,3.4,17,7.3,3.5,*,,,11,8.5,3.7,13,12.7,7.9,*,*,*
2020,Academy of American Studies,77Q575,6,47,9,14,16.9,11.9,33,11.7,8.2,*,*,*,5,11.5,8.9,*,,,*,*,*,7,15.1,9.2,34,13,9.6,*,*,*
2021,Academy of American Studies,77Q575,6,53,9,15,16.1,11.3,38,11.7,7.1,*,,,6,10.6,8.3,*,,,*,,,9,12.4,6.6,35,12.9,9.4,*,*,*
2022,Academy of American Studies,77Q575,6,66,15,16,14.2,10.4,50,10,5.9,*,,,10,7,5.7,*,,,*,,,11,9.2,4.7,38,12.4,9.2,*,*,*
2023,Academy of American Studies,77Q575,7,74,17,21,13.5,8.7,53,10.5,5.9,*,,,15,7.7,3.9,*,,,*,,,9,11.1,5.7,43,12.3,8.7,*,*,*
2020,Academy of Finance and Enterprise,77Q264,4,36,6,15,10,6.1,21,10.7,5.9,*,*,*,8,11.2,7.1,*,,,*,*,*,10,9.5,5.4,17,11.1,6,*,*,*
2021,Academy of Finance and Enterprise,77Q264,4,37,6,15,11,7.1,22,11.1,6.6,*,,,8,12.2,8.1,*,,,*,,,10,10.5,6.4,18,11.4,6.6,*,*,*
2022,Academy of Finance and Enterprise,77Q264,4,43,6,17,10.6,7.1,26,10.4,6,*,,,9,9.7,7.7,*,,,*,,,10,10.4,6.8,22,11.6,6.1,*,*,*
2023,Academy of Finance and Enterprise,77Q264,4,50,10,19,11.2,7.3,31,10,5.4,*,,,11,8.7,5.7,*,,,*,,,12,10.8,6.5,24,12.2,6.5,*,*,*
2020,Academy of Hospitality and Tourism,73K408,2,18,5,5,6.4,3.1,13,7.2,1.9,*,*,*,*,,,12,6.8,1.6,*,*,*,*,,,*,,,*,*,*
2021,Academy of Hospitality and Tourism,73K408,2,18,5,5,6.8,3.7,13,8.1,2.8,*,,,*,,,11,8.4,2.7,*,,,*,,,*,,,*,*,*
2022,Academy of Hospitality and Tourism,73K408,2,20,4,6,6.4,3.9,14,7.3,2.3,*,,,*,,,12,6.3,2.4,*,,,*,,,*,,,*,*,*
2023,Academy of Hospitality and Tourism,73K408,4,24,8,7,4,2.4,17,5.6,2.3,*,,,*,,,12,7.1,3.2,*,,,*,,,*,,,*,*,*
2020,Academy of Innovative Technology,73K618,3,33,9,17,7,6.1,16,5.6,4.4,*,*,*,*,,,10,6.4,4.9,*,*,*,*,,,13,6.6,5.5,*,*,*
2021,Academy of Innovative Technology,73K618,3,33,9,18,7.5,7.2,15,6.6,4.9,*,,,*,,,10,7.3,6,*,,,5,4.1,5.6,12,8.3,6.6,*,*,*
2022,Academy of Innovative Technology,73K618,3,36,10,19,7.3,6.8,17,7.3,4.7,*,,,*,,,13,8,5.5,*,,,*,,,12,8.2,5.8,*,*,*
2023,Academy of Innovative Technology,73K618,3,35,9,20,7.8,7.6,15,8.4,4.6,*,,,*,,,13,8.6,6.1,*,,,*,,,10,10.4,6.4,*,*,*
2020,Academy of Medical Technology: A College Board Sch,77Q309,3,47,4,18,8.1,5.9,29,8.7,5.8,*,*,*,5,6,5.1,*,,,*,*,*,8,8.1,5.1,29,8.9,6.1,*,*,*
2021,Academy of Medical Technology: A College Board Sch,77Q309,3,49,4,16,9.2,7,33,9.7,6.4,*,,,5,4.9,5,*,,,*,,,8,9.1,6.1,31,10.3,6.8,*,*,*
2022,Academy of Medical Technology: A College Board Sch,77Q309,4,53,7,16,10.1,8,37,10.4,6.5,*,,,5,5.8,6,5,9.1,7.7,*,,,10,8.9,5.6,31,11.6,7.7,*,*,*
2023,Academy of Medical Technology: A College Board Sch,77Q309,4,50,8,17,10.5,8.5,33,12.2,7.4,*,,,5,6.9,7,6,12.9,8.1,*,,,12,10.7,5.9,26,12.4,8.9,*,*,*
2020,Alfred E. Smith Career and Technical Education Hig,72X600,5,39,11,18,17.1,14.6,21,9.8,7.2,*,*,*,*,,,9,20.6,19.1,*,*,*,14,12.6,8.9,11,9,5.7,*,*,*
2021,Alfred E. Smith Career and Technical Education Hig,72X600,5,38,11,20,18.9,15.9,18,11.6,9.2,*,,,5,13.8,12.5,9,21.6,20.1,*,,,14,14.6,12,10,11.9,7.2,*,*,*
2022,Alfred E. Smith Career and Technical Education Hig,72X600,4,39,10,20,17.5,15.1,19,11.5,9.3,*,,,6,12.3,11.2,7,22.3,22.1,*,,,17,12.9,10.7,9,13.3,8.2,*,*,*
2023,Alfred E. Smith Career and Technical Education Hig,72X600,4,37,10,21,16.9,13.1,16,14.1,11.3,*,,,5,15.8,14.5,7,19.7,17.6,*,,,14,15.4,12.6,11,13.6,7.6,*,*,*
2020,Antonia Pantoja Preparatory Academy: A College Boa,72X376,2,35,11,14,11.9,5.8,21,12.1,6,*,*,*,*,,,8,16.1,5.9,*,*,*,14,14.3,6.4,8,7.4,6,*,*,*
2021,Antonia Pantoja Preparatory Academy: A College Boa,72X376,2,36,13,14,12.9,6.8,22,13.1,6.8,*,,,*,,,9,16.7,6.4,*,,,14,15.3,7.4,8,8.4,7,*,*,*
2022,Antonia Pantoja Preparatory Academy: A College Boa,72X376,2,34,11,11,12.6,8.6,23,13.3,6.5,*,,,*,,,9,16.8,6,*,,,13,15,8.2,7,8.3,7.2,*,*,*
2023,Antonia Pantoja Preparatory Academy: A College Boa,72X376,3,36,12,15,10.7,7.6,21,16.2,7.4,*,,,*,,,10,18.2,6.3,*,,,14,15.7,8.8,9,7.3,6.5,*,*,*
2020,"Archimedes Academy for Math, Science and Technolog",08X367,4,48,19,18,10,4.9,30,8.9,5,*,*,*,*,,,*,,,*,*,*,9,12.1,5.6,30,8,4.8,*,*,*
2021,"Archimedes Academy for Math, Science and Technolog",08X367,4,46,21,17,10.4,5.6,29,9.1,6.1,*,,,*,,,*,,,*,,,9,11,6,29,8.7,5.7,*,*,*
2022,"Archimedes Academy for Math, Science and Technolog",08X367,4,52,21,20,10.6,5.7,32,9.2,6.1,*,,,5,9.2,6.3,6,11,4.2,*,,,9,11.2,6.1,31,9.3,6.3,*,*,*
2023,"Archimedes Academy for Math, Science and Technolog",08X367,4,52,21,18,11.1,6.9,34,7.8,5.7,*,,,6,8.5,6.1,7,10.4,4.5,*,,,10,6.1,4.1,28,9.7,7.3,*,*,*
2020,Art and Design High School,71M630,7,94,20,46,9.9,7.3,48,7.6,6.1,*,*,*,12,7.2,4,15,7.9,4.4,*,*,*,11,5.6,4.1,54,9.6,8.1,*,*,*
2021,Art and Design High School,71M630,7,95,21,48,10.8,7.8,47,7.5,6.2,*,,,13,8.6,5.6,16,9.7,5,*,,,13,6.2,4,50,9.8,8.5,*,*,*
2022,Art and Design High School,71M630,8,99,21,43,10.7,8.5,56,7.3,5.2,*,,,11,7.9,5.5,14,9.9,6.5,*,,,10,7.2,4.9,62,8.7,6.9,*,*,*
2023,Art and Design High School,71M630,8,97,21,42,11.2,8.6,55,8.4,6,*,,,12,7.7,5.2,13,11,7.5,*,,,11,7.9,5.3,58,9.9,7.6,*,*,*
2020,Arturo A. Schomburg Satellite Academy Bronx,72X446,2,14,5,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,*,,,*,*,*
2021,Arturo A. Schomburg Satellite Academy Bronx,72X446,2,16,4,*,,,*,,,*,,,*,,,6,2.5,2.5,*,,,*,,,*,,,*,*,*
2022,Arturo A. Schomburg Satellite Academy Bronx,72X446,2,16,4,*,,,*,,,*,,,*,,,5,3.7,3.7,*,,,*,,,5,6.2,4.6,*,*,*
2023,Arturo A. Schomburg Satellite Academy Bronx,72X446,2,14,4,*,,,*,,,*,,,*,,,6,4,4,*,,,*,,,*,,,*,*,*
2020,Aspirations Diploma Plus High School,73K646,4,20,3,10,9.9,4.2,10,17.4,4,*,*,*,*,,,10,16.3,4.5,*,*,*,*,,,6,14.7,2.7,*,*,*
2021,Aspirations Diploma Plus High School,73K646,4,19,3,9,9.5,5.6,10,18.4,5,*,,,*,,,9,16.5,5.8,*,,,*,,,6,15.7,3.7,*,*,*
2022,Aspirations Diploma Plus High School,73K646,4,17,6,8,10.8,6.7,9,20.7,5.8,*,,,*,,,8,18.8,7,*,,,*,,,6,16.7,4.6,*,*,*
2023,Aspirations Diploma Plus High School,73K646,3,14,5,6,8,7.1,8,20.6,7.2,*,,,*,,,7,19.1,7,*,,,*,,,*,,,*,*,*
2020,Astor Collegiate Academy,72X299,3,33,6,15,10.4,6.3,18,8.9,5.9,*,*,*,*,,,9,7.5,3.4,*,*,*,*,,,19,10.7,7,*,*,*
2021,Astor Collegiate Academy,72X299,3,32,6,13,12.1,7.5,19,10.6,6.4,*,,,*,,,10,9.3,3,*,,,*,,,17,12.7,8.6,*,*,*
2022,Astor Collegiate Academy,72X299,3,33,9,15,12.8,7.4,18,11.7,7.3,*,,,*,,,11,11.3,3.7,*,,,*,,,17,13.2,9.1,*,*,*
2023,Astor Collegiate Academy,72X299,3,32,10,16,14.6,9.5,16,9,6.7,*,,,*,,,10,7.9,3.7,*,,,*,,,16,15,10.6,*,*,*
2020,August Martin High School,77Q400,3,29,7,11,11,3.4,18,8.5,2.9,*,*,*,*,,,8,8.4,3.6,*,*,*,7,11.8,2.4,10,7.6,3.4,*,*,*
2021,August Martin High School,77Q400,3,32,8,11,9.5,4,20,9.4,3.6,*,,,*,,,9,10.4,4.1,*,,,6,10.2,3.2,13,6.8,3.4,*,*,*
2022,August Martin High School,77Q400,4,37,7,13,8.4,4,24,8.2,3,*,,,*,,,12,8.7,3.4,*,,,6,10.9,2.5,15,5.5,3.4,*,*,*
2023,August Martin High School,77Q400,3,41,8,11,8.9,5.2,30,8.5,2.8,*,,,*,,,14,11.1,3.6,*,,,*,,,17,5.8,3.7,*,*,*
2020,Aviation Career & Technical Education High School,77Q610,8,133,25,75,13.3,13.1,58,13,11.1,*,*,*,12,11.4,11.3,18,12.7,12.2,*,*,*,36,11.7,10.1,61,15,14.2,5,8.1,6.5
2021,Aviation Career & Technical Education High School,77Q610,9,130,23,75,14,13.7,55,14,11.9,*,,,12,12.4,12.3,17,13.7,13.2,*,,,39,12.3,10.7,57,16,15.1,5,9.1,7.5
2022,Aviation Career & Technical Education High School,77Q610,8,128,22,71,14.2,13.9,57,13.8,11.8,*,,,11,10.8,11.1,16,14.2,13.6,*,,,41,13.2,11.8,55,15.3,14.2,5,12.7,11.1
2023,Aviation Career & Technical Education High School,77Q610,8,129,25,70,14.3,14,59,13.6,11.7,*,,,11,11.8,12,15,15,14.7,*,,,43,12.9,11.4,54,15.3,14.2,5,13.8,12.2
2020,Baruch College Campus High School,71M411,3,27,5,8,8.6,6.7,19,7.1,5.2,*,*,*,*,,,*,,,*,*,*,*,,,22,7,5.8,*,*,*
2021,Baruch College Campus High School,71M411,3,28,5,7,8.7,5.9,21,7.2,5.3,*,,,*,,,*,,,*,,,*,,,21,7.2,5.9,*,*,*
2022,Baruch College Campus High School,71M411,2,29,7,8,10.2,7.6,21,8.2,5,*,,,*,,,*,,,*,,,5,10.1,1.1,21,8.3,7,*,*,*
2023,Baruch College Campus High School,71M411,3,30,6,8,10.7,7.5,22,7.7,3.9,*,,,*,,,*,,,*,,,*,,,21,8.2,6.1,*,*,*
2020,Bayside High School,77Q495,12,161,44,64,15.7,11.7,97,12.1,9.4,*,*,*,29,13.8,9.2,8,18.3,6.8,*,*,*,13,12.8,10.6,108,13.4,11,*,*,*
2021,Bayside High School,77Q495,11,158,42,61,16.3,12.5,97,13,10.4,*,,,30,14.5,10.1,8,19.3,7.8,*,,,13,13.5,11.6,104,14.2,11.9,*,*,*
2022,Bayside High School,77Q495,13,162,52,64,15.8,12.2,98,13,10.4,*,,,32,13.9,9.8,8,20.3,8.7,*,,,13,11.2,9.2,106,14.3,12.1,*,*,*
2023,Bayside High School,77Q495,13,170,51,66,15.1,12,104,12.9,10,*,,,34,14.4,9.7,9,18.1,7.7,*,,,14,9.3,7.8,110,14,11.9,*,*,*
2020,Bedford Academy High School,73K595,2,22,5,8,13.3,9.2,14,14.2,5.9,*,*,*,*,,,15,15.2,7.3,*,*,*,*,,,*,,,*,*,*
2021,Bedford Academy High School,73K595,2,22,7,7,12.1,10,15,13.6,5.8,*,,,*,,,13,15.7,8,*,,,*,,,*,,,*,*,*
2022,Bedford Academy High School,73K595,2,24,8,9,14.1,6.8,15,15.4,6.7,*,,,*,,,14,16.2,7.2,*,,,*,,,*,,,*,*,*
2023,Bedford Academy High School,73K595,1,23,7,7,17.8,9.5,16,13.5,5.9,*,,,5,7.8,5.7,14,15.8,7.2,*,,,*,,,*,,,*,*,*
2020,Belmont Preparatory High School,72X434,2,29,10,15,13.7,7.5,14,13.7,8.9,*,*,*,*,,,8,13.6,7.4,*,*,*,8,14.6,5.1,11,12.9,9.8,*,*,*
2021,Belmont Preparatory High School,72X434,2,29,10,15,14.7,8.5,14,14.7,9.9,*,,,*,,,8,14.6,8.4,*,,,8,15.6,6.1,11,13.9,10.8,*,*,*
2022,Belmont Preparatory High School,72X434,2,27,10,13,14.5,9.2,14,15.9,9.5,*,,,*,,,8,15.5,9.3,*,,,8,16,6.3,9,13.9,10.4,*,*,*
2023,Belmont Preparatory High School,72X434,3,25,11,11,15.2,10.4,14,15.1,8.8,*,,,*,,,5,17.8,8.9,*,,,8,17,7.4,9,13,10.8,*,*,*
2020,Benjamin Banneker Academy,73K670,4,48,12,20,11,6.7,28,14.2,7.6,*,*,*,*,,,27,14.9,8.6,*,*,*,*,,,13,11.6,6,*,*,*
2021,Benjamin Banneker Academy,73K670,4,48,11,17,11.1,7,30,14.6,8,*,,,*,,,27,14.2,8.4,*,,,*,,,14,12.5,6.5,*,*,*
2022,Benjamin Banneker Academy,73K670,5,51,16,16,10.5,7.4,35,13.7,7.6,*,,,*,,,29,14.1,8.6,*,,,*,,,17,11.6,6.3,*,*,*
2023,Benjamin Banneker Academy,73K670,5,48,17,16,10.3,7.9,32,13,7.4,*,,,*,,,27,13,8.4,*,,,*,,,16,11.5,6.5,*,*,*
2020,Benjamin Franklin High School for Finance & Inform,77Q313,2,29,1,11,12.1,3.3,18,10,3,*,*,*,*,,,6,9.6,2.2,*,*,*,*,,,16,12.5,3.2,*,*,*
2021,Benjamin Franklin High School for Finance & Inform,77Q313,2,30,2,9,10.6,3.7,21,9.6,3.2,*,,,*,,,8,8.8,2.4,*,,,*,,,14,12.1,3.9,*,*,*
2022,Benjamin Franklin High School for Finance & Inform,77Q313,3,33,3,13,11.8,3.3,20,9.8,4,*,,,5,7.1,3.7,8,8.7,3.1,*,,,*,,,16,13.4,3.9,*,*,*
2023,Benjamin Franklin High School for Finance & Inform,77Q313,3,28,4,14,10.3,3.1,14,9.7,4.3,*,,,6,7.1,3.6,7,9.9,2.5,*,,,*,,,12,12.6,4.3,*,*,*
2020,Benjamin N. Cardozo High School,77Q415,7,197,33,78,14.3,11.5,119,13.4,9.4,*,*,*,32,13.7,10.4,11,17.6,10,*,*,*,21,12.8,9,129,13.5,10.4,*,*,*
2021,Benjamin N. Cardozo High School,77Q415,9,190,36,77,14,11.8,113,13.9,10.3,*,,,31,14.2,11.1,10,19.1,12,*,,,21,14.1,10.8,124,13.5,10.9,*,*,*
2022,Benjamin N. Cardozo High School,77Q415,10,192,37,76,14.6,12.7,116,13.8,10.2,*,,,34,13.8,10.5,11,16.8,10.7,*,,,24,12.7,10.1,119,14.2,11.5,*,*,*
2023,Benjamin N. Cardozo High School,77Q415,10,193,37,78,14.3,12.2,115,14.1,10.4,*,,,35,14.9,11.6,11,14.9,9.9,*,,,26,11.8,9,116,14.5,11.7,*,*,*
2020,Boys and Girls High School,76K455,4,36,16,14,12.7,7,22,10.7,8.1,*,*,*,*,,,21,15.3,10.3,*,*,*,6,10.5,8.6,7,2.5,1,*,*,*
2021,Boys and Girls High School,76K455,4,40,17,13,12.5,6.3,27,9.2,6.3,*,,,*,,,23,12.7,7.5,*,,,6,11.5,9.6,9,4.2,1.8,*,*,*
2022,Boys and Girls High School,76K455,3,43,16,16,14.6,5.9,27,9.8,7.1,*,,,*,,,28,12.7,7.2,*,,,6,12.4,10.6,8,7.1,2.6,*,*,*
2023,Boys and Girls High School,76K455,4,42,19,13,18.4,7.9,29,9.8,6.8,*,,,*,,,30,13.5,7.6,*,,,6,10,8.3,5,9,3.9,*,*,*
2020,Bronx Academy for Software Engineering (BASE),72X264,2,37,10,15,7.8,3.8,22,5.9,3.9,*,*,*,*,,,10,7,2.9,*,*,*,7,7.6,5.1,15,6.9,4,*,*,*
2021,Bronx Academy for Software Engineering (BASE),72X264,2,36,11,12,9.8,5.1,24,7.7,4.2,*,,,*,,,9,8.7,4.3,*,,,8,10.8,4.1,14,8,5,*,*,*
2022,Bronx Academy for Software Engineering (BASE),72X264,3,40,10,17,7.6,4.1,23,9.4,4.7,*,,,*,,,8,11.4,4.3,*,,,11,9.6,3.7,17,7.4,4.9,*,*,*
2023,Bronx Academy for Software Engineering (BASE),72X264,3,39,10,16,8.1,4.3,23,10.6,4.3,*,,,*,,,7,14.1,4.3,*,,,12,10.8,3,17,7.7,5.2,*,*,*
2020,Bronx Academy of Health Careers,72X290,3,25,3,7,18.8,11.7,18,9.6,6.1,*,*,*,*,,,13,14.1,9.9,*,*,*,*,,,7,13.5,6.2,*,*,*
2021,Bronx Academy of Health Careers,72X290,3,24,3,7,17.6,10.6,17,9.3,6.5,*,,,*,,,14,13.2,9.1,*,,,*,,,5,12.7,6.4,*,*,*
2022,Bronx Academy of Health Careers,72X290,3,26,7,9,11.1,7.3,17,9.2,6.4,*,,,*,,,15,12.6,8.9,*,,,5,5.4,1.4,*,,,*,*,*
2023,Bronx Academy of Health Careers,72X290,3,26,7,9,9.3,6.5,17,8.6,5.3,*,,,*,,,12,11.6,8.5,*,,,9,5.8,0.9,*,,,*,*,*
2020,Bronx Aerospace High School,72X545,2,23,10,11,8.8,4.6,12,14.4,5.9,*,*,*,*,,,7,14.4,7.2,*,*,*,*,,,11,11.9,3.7,*,*,*
2021,Bronx Aerospace High School,72X545,2,19,8,9,10,6.1,10,16.2,6.5,*,,,*,,,7,15.4,8.2,*,,,*,,,9,13.8,5,*,*,*
2022,Bronx Aerospace High School,72X545,2,18,10,7,13.6,8.9,11,17.9,7.9,*,,,*,,,6,18.3,9.9,*,,,*,,,8,17.1,6.6,*,*,*
2023,Bronx Aerospace High School,72X545,2,18,7,7,15.3,9.2,11,18.3,7.8,*,,,*,,,6,19.4,11,*,,,*,,,8,17.2,6.1,*,*,*
2020,Bronx Arena High School,08X537,2,16,1,8,5.7,3.5,8,9.3,6.1,*,*,*,*,,,*,,,*,*,*,*,,,9,6.6,4.6,*,*,*
2021,Bronx Arena High School,08X537,2,16,1,8,6.7,4.5,8,10.3,7.1,*,,,*,,,*,,,*,,,*,,,9,7.6,5.6,*,*,*
2022,Bronx Arena High School,08X537,2,15,2,8,7.6,5.4,7,12.1,7,*,,,*,,,*,,,*,,,*,,,8,8.9,6.7,*,*,*
2023,Bronx Arena High School,08X537,2,14,2,7,12.8,6.1,7,13.1,8,*,,,*,,,*,,,*,,,*,,,7,10.5,8.1,*,*,*
