Year,School Name,DBN,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Average Years in Title,B/AA Average Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple/Other (M/O) Count,M/O Average Years in Title,M/O Average Years at School
2022,Herbert H. Lehman High School,72X405,6,74,28,30,11.7,10.8,44,9.4,7.4,*,,,*,,,*,,,*,,,17,11.6,9.8,47,11.2,9.8,*,*,*
2023,Herbert H. Lehman High School,72X405,7,80,28,32,11.7,10.6,48,8.7,6.6,*,,,5,7.4,6.4,*,,,*,,,20,10.9,9.4,49,10,8.5,*,*,*
2020,High School for Arts and Business,77Q550,5,48,11,26,12.8,9.3,22,12.1,8.8,*,*,*,*,,,*,,,*,*,*,10,14.1,12.3,31,12.6,9.1,*,*,*
2021,High School for Arts and Business,77Q550,5,47,10,26,13.8,10.3,21,13.4,9.8,*,,,*,,,*,,,*,,,8,17.3,15.5,32,13.4,9.8,*,*,*
2022,High School for Arts and Business,77Q550,5,46,12,28,13.1,9.8,18,14.7,10.7,*,,,*,,,*,,,*,,,8,17.5,16,31,13.2,9.5,*,*,*
2023,High School for Arts and Business,77Q550,5,49,15,28,14.5,10.8,21,14.3,10.4,*,,,*,,,*,,,*,,,9,16.6,15.2,33,14.2,10.1,*,*,*
2020,High School for Civil Rights,73K504,3,15,5,6,16.6,7.3,9,14.1,8.1,*,*,*,*,,,11,17.1,8.9,*,*,*,*,,,*,,,*,*,*
2021,High School for Civil Rights,73K504,3,21,5,9,13.3,5.6,12,11,5.8,*,,,*,,,11,16.8,8.8,*,,,*,,,7,6,2.7,*,*,*
2022,High School for Civil Rights,73K504,3,21,4,9,14.3,6.6,12,12.4,5.6,*,,,*,,,11,17.7,9.7,*,,,*,,,6,5.8,1.9,*,*,*
2023,High School for Civil Rights,73K504,3,16,5,7,15.8,7.2,9,15,8,*,,,*,,,10,18.2,10.2,*,,,*,,,*,,,*,*,*
2020,High School for Community Leadership,77Q328,1,30,5,8,7.8,5.5,22,6.6,4.8,*,*,*,*,,,*,,,*,*,*,7,9.5,4.2,15,5.9,5,*,*,*
2021,High School for Community Leadership,77Q328,3,26,6,9,7.9,4.9,17,7.9,5.5,*,,,*,,,*,,,*,,,6,10.9,4.7,13,6.9,5.3,*,*,*
2022,High School for Community Leadership,77Q328,3,28,7,11,7.4,5.1,17,10.1,6.3,*,,,*,,,*,,,*,,,6,11.8,5.7,13,7.9,6.2,*,*,*
2023,High School for Community Leadership,77Q328,3,29,7,12,7.2,5,17,11.1,7.3,*,,,*,,,*,,,*,,,6,12.2,6.1,13,8.7,6.9,*,*,*
2020,High School for Contemporary Arts,72X544,3,27,8,12,18.4,9.1,15,15.6,6.2,*,*,*,*,,,7,20.8,9.4,*,*,*,8,17.9,8.1,9,17.1,6.6,*,*,*
2021,High School for Contemporary Arts,72X544,3,29,9,13,21.3,9.2,16,17.1,6.8,*,,,*,,,7,21.8,10.4,*,,,9,19.6,8.1,10,20.7,6.8,*,*,*
2022,High School for Contemporary Arts,72X544,3,29,7,12,21.8,9.8,17,17.2,7.3,*,,,*,,,8,20.3,10.3,*,,,9,17.8,7.5,10,21.7,7.7,*,*,*
2023,High School for Contemporary Arts,72X544,3,24,8,12,15.5,6.8,12,12.9,6.5,*,,,*,,,9,14.6,9.4,*,,,5,12.6,3.3,8,16.1,5.2,*,*,*
2020,High School for Dual Language and Asian Studies,71M545,2,23,4,6,10.2,6.8,17,10.6,7.9,*,*,*,12,12.3,8.6,*,,,*,*,*,*,,,10,7.2,6.8,*,*,*
2021,High School for Dual Language and Asian Studies,71M545,2,19,4,6,11.2,7.8,13,9.3,8.1,*,,,7,10.3,8.5,*,,,*,,,*,,,10,8.2,7.8,*,*,*
2022,High School for Dual Language and Asian Studies,71M545,2,23,5,9,11.6,5.9,14,9.8,8.7,*,,,11,10.9,7.5,*,,,*,,,*,,,10,9.2,8.7,*,*,*
2023,High School for Dual Language and Asian Studies,71M545,2,23,5,10,10.4,5.4,13,8.8,8.2,*,,,13,7.8,5.5,*,,,*,,,*,,,7,12,11.7,*,*,*
2020,High School for Environmental Studies,71M400,6,70,10,25,10.1,7.1,45,8.8,5.3,*,*,*,9,11.9,10.7,7,11.3,4.7,*,*,*,6,12.1,7.8,44,8.1,5.4,*,*,*
2021,High School for Environmental Studies,71M400,6,73,12,26,10.1,6.3,47,8.7,5.2,*,,,10,11.5,10.2,6,12.2,5.6,*,,,8,10.8,6.9,46,8.2,4.6,*,*,*
2022,High School for Environmental Studies,71M400,7,74,13,25,11.2,7.1,49,9.4,5.7,*,,,11,12.6,10.4,7,10.7,5,*,,,8,11,7.5,44,9.5,5.5,*,*,*
2023,High School for Environmental Studies,71M400,7,72,13,27,11.1,7.4,45,10.1,5.6,*,,,10,13.4,10.7,7,10.9,4.8,*,,,13,8.1,5.3,39,10.6,6,*,*,*
