Year,School Name,School Type,Regents Exam,Total Tested,Mean Score,Percent Scoring Below 65,Percent Scoring 65 or Above,Percent Scoring 80 or Above,Asian%,Black%,Hispanic%,White%
2023,DeWitt Clinton High School,General Academic,Living Environment,270,64.06,45.21,54.79,15.91,9.26,28.15,59.63,2.96
2020,DeWitt Clinton High School,General Academic,Common Core Algebra,285,56.12,70.51,29.49,0.0,5.61,36.14,55.79,2.46
2022,DeWitt Clinton High School,General Academic,Common Core English,324,71.17,26.23,73.77,41.35,14.2,37.65,48.15,0.0
2020,DeWitt Clinton High School,General Academic,Common Core English,358,66.21,37.45,62.55,28.48,11.45,26.26,59.22,3.07
2023,DeWitt Clinton High School,General Academic,Common Core Algebra,359,66.13,33.97,66.03,9.2,8.36,24.79,63.51,3.34
2023,DeWitt Clinton High School,General Academic,Common Core English,420,69.48,27.19,72.81,27.86,7.86,29.29,60.24,2.62
2020,Digital Arts and Cinema Technology High School,General Academic,Living Environment,12,50.9,91.7,8.3,8.3,0.0,100.0,0.0,0.0
2020,Digital Arts and Cinema Technology High School,General Academic,Common Core English,15,63.6,53.3,46.7,20.0,0.0,100.0,0.0,0.0
2023,Digital Arts and Cinema Technology High School,General Academic,Living Environment,42,70.75,30.96,69.04,28.57,0.0,54.76,45.24,0.0
2022,Digital Arts and Cinema Technology High School,General Academic,Common Core Algebra,44,72.83,18.19,81.81,18.19,0.0,56.82,43.18,0.0
2022,Digital Arts and Cinema Technology High School,General Academic,Living Environment,50,73.17,14.01,85.99,24.02,0.0,58.0,42.0,0.0
2023,Digital Arts and Cinema Technology High School,General Academic,Common Core Algebra,50,73.4,7.97,92.03,15.98,0.0,54.0,46.0,0.0
2023,Digital Arts and Cinema Technology High School,General Academic,Common Core English,75,79.62,8.02,91.98,58.68,0.0,48.0,52.0,0.0
2022,Digital Arts and Cinema Technology High School,General Academic,Common Core English,89,78.68,8.99,91.01,52.79,0.0,29.21,60.67,10.11
2020,DreamYard Preparatory School,General Academic,Common Core English,40,64.0,37.5,62.5,22.5,0.0,0.0,100.0,0.0
2020,DreamYard Preparatory School,General Academic,Common Core Algebra,42,55.1,76.2,23.8,0.0,0.0,0.0,100.0,0.0
2022,DreamYard Preparatory School,General Academic,Living Environment,71,63.1,43.64,56.36,7.03,0.0,30.99,69.01,0.0
2023,DreamYard Preparatory School,General Academic,Living Environment,82,57.18,67.09,32.91,9.76,0.0,23.17,76.83,0.0
2022,DreamYard Preparatory School,General Academic,Common Core Algebra,93,57.73,58.09,41.91,3.19,0.0,31.18,68.82,0.0
2022,DreamYard Preparatory School,General Academic,Common Core English,110,73.24,19.08,80.92,38.16,0.0,28.18,71.82,0.0
2023,DreamYard Preparatory School,General Academic,Common Core English,151,69.38,31.13,68.87,36.46,0.0,28.48,71.52,0.0
2023,DreamYard Preparatory School,General Academic,Common Core Algebra,180,55.47,71.11,28.89,4.97,0.0,27.78,72.22,0.0
2021,Eagle Academy for Young Men,General Academic,Common Core Algebra,14,54.31,85.71,14.29,0.0,0.0,42.86,57.14,0.0
2021,Eagle Academy for Young Men,General Academic,Living Environment,15,63.33,33.31,66.69,0.0,0.0,46.67,53.33,0.0
2020,Eagle Academy for Young Men,General Academic,Living Environment,27,52.4,92.6,7.4,0.0,0.0,100.0,0.0,0.0
2020,Eagle Academy for Young Men,General Academic,Common Core English,30,79.75,6.69,93.31,59.96,0.0,43.33,56.67,0.0
2020,Eagle Academy for Young Men,General Academic,Common Core Algebra,45,56.6,77.8,22.2,0.0,0.0,100.0,0.0,0.0
2022,Eagle Academy for Young Men,General Academic,Living Environment,69,61.44,52.2,47.8,13.02,0.0,55.07,44.93,0.0
2023,Eagle Academy for Young Men,General Academic,Common Core Algebra,71,58.5,67.6,32.4,2.8,0.0,100.0,0.0,0.0
2022,Eagle Academy for Young Men,General Academic,Common Core Algebra,86,52.77,83.7,16.3,1.18,0.0,48.84,51.16,0.0
2023,Eagle Academy for Young Men,General Academic,Living Environment,87,65.6,42.51,57.49,18.38,0.0,57.47,42.53,0.0
2022,Eagle Academy for Young Men,General Academic,Common Core English,90,70.48,26.65,73.35,36.66,0.0,63.33,36.67,0.0
2023,Eagle Academy for Young Men,General Academic,Common Core English,103,68.32,31.99,68.01,25.23,0.0,60.19,39.81,0.0
2022,Eagle Academy for Young Men of Harlem,General Academic,Living Environment,11,55.9,63.6,36.4,0.0,0.0,100.0,0.0,0.0
2022,Eagle Academy for Young Men of Harlem,General Academic,Common Core Algebra,22,56.8,77.3,22.7,4.5,0.0,100.0,0.0,0.0
2020,Eagle Academy for Young Men of Harlem,General Academic,Common Core Algebra,27,48.87,85.18,14.82,3.73,0.0,70.37,29.63,0.0
2020,Eagle Academy for Young Men of Harlem,General Academic,Living Environment,29,49.1,86.2,13.8,0.0,0.0,72.41,27.59,0.0
2023,Eagle Academy for Young Men of Harlem,General Academic,Living Environment,35,47.66,88.61,11.39,0.0,0.0,65.71,34.29,0.0
2023,Eagle Academy for Young Men of Harlem,General Academic,Common Core English,35,66.5,40.0,60.0,14.3,0.0,100.0,0.0,0.0
2020,Eagle Academy for Young Men of Harlem,General Academic,Common Core English,38,50.97,73.68,26.32,5.28,0.0,73.68,26.32,0.0
2022,Eagle Academy for Young Men of Harlem,General Academic,Common Core English,45,60.13,46.67,53.33,26.67,0.0,55.56,44.44,0.0
2023,Eagle Academy for Young Men of Harlem,General Academic,Common Core Algebra,46,58.91,60.89,39.11,2.16,0.0,69.57,30.43,0.0
2020,East Bronx Academy for the Future,General Academic,Living Environment,80,57.66,64.97,35.03,3.7,0.0,27.5,72.5,0.0
2020,East Bronx Academy for the Future,General Academic,Common Core English,82,64.33,42.7,57.3,19.48,0.0,28.05,71.95,0.0
2022,East Bronx Academy for the Future,General Academic,Living Environment,85,54.3,71.8,28.2,0.0,0.0,22.35,77.65,0.0
2020,East Bronx Academy for the Future,General Academic,Common Core Algebra,93,55.33,65.63,34.37,0.0,0.0,33.33,66.67,0.0
2022,East Bronx Academy for the Future,General Academic,Common Core English,113,66.65,29.19,70.81,20.37,0.0,26.55,73.45,0.0
2023,East Bronx Academy for the Future,General Academic,Living Environment,136,56.99,63.95,36.05,5.18,8.09,20.59,71.32,0.0
2022,East Bronx Academy for the Future,General Academic,Common Core Algebra,171,56.58,74.26,25.74,0.0,0.0,26.32,73.68,0.0
2023,East Bronx Academy for the Future,General Academic,Common Core English,188,63.26,44.7,55.3,19.68,5.85,25.53,68.62,0.0
2023,East Bronx Academy for the Future,General Academic,Common Core Algebra,350,60.4,58.61,41.41,3.47,5.14,22.86,72.0,0.0
2021,East New York Family Academy,General Academic,Common Core English,15,53.5,66.7,33.3,6.7,0.0,100.0,0.0,0.0
2020,East New York Family Academy,General Academic,Living Environment,24,53.17,87.48,12.52,0.0,0.0,75.0,25.0,0.0
2020,East New York Family Academy,General Academic,Common Core Algebra,53,58.03,67.92,32.08,1.86,0.0,77.36,22.64,0.0
2022,East New York Family Academy,General Academic,Common Core English,74,68.94,24.31,75.69,9.47,0.0,79.73,20.27,0.0
2023,East New York Family Academy,General Academic,Common Core English,88,71.6,22.74,77.26,27.31,0.0,61.36,38.64,0.0
2022,East New York Family Academy,General Academic,Common Core Algebra,106,57.76,66.98,33.02,2.87,0.0,66.04,33.96,0.0
2022,East New York Family Academy,General Academic,Living Environment,108,58.69,62.03,37.97,4.61,0.0,67.59,32.41,0.0
2023,East New York Family Academy,General Academic,Living Environment,159,58.41,60.41,39.66,8.16,0.0,70.44,29.56,0.0
2023,East New York Family Academy,General Academic,Common Core Algebra,271,65.4,40.2,59.8,11.78,2.95,63.1,33.95,0.0
2020,East Side Community School,General Academic,Common Core English,11,82.5,9.1,90.9,72.7,0.0,0.0,100.0,0.0
2022,East Side Community School,General Academic,Common Core English,81,80.07,13.55,86.45,66.66,0.0,14.81,60.49,24.69
2023,East Side Community School,General Academic,Common Core English,97,80.26,9.3,90.7,56.74,0.0,18.56,63.92,17.53
2020,East Williamsburg Scholars Academy,General Academic,Living Environment,38,48.93,84.2,15.8,0.0,0.0,23.68,76.32,0.0
2020,East Williamsburg Scholars Academy,General Academic,Common Core English,66,57.84,46.96,53.04,22.74,0.0,39.39,60.61,0.0
2020,East Williamsburg Scholars Academy,General Academic,Common Core Algebra,67,56.1,73.1,26.9,0.0,0.0,0.0,100.0,0.0
2022,East Williamsburg Scholars Academy,General Academic,Common Core English,83,57.79,49.42,50.58,27.71,0.0,24.1,75.9,0.0
2022,East Williamsburg Scholars Academy,General Academic,Living Environment,93,60.36,54.87,45.13,5.4,0.0,15.05,84.95,0.0
2022,East Williamsburg Scholars Academy,General Academic,Common Core Algebra,125,54.89,73.62,26.38,0.81,0.0,9.6,90.4,0.0
2023,East Williamsburg Scholars Academy,General Academic,Living Environment,136,53.61,66.88,33.12,1.45,0.0,14.71,85.29,0.0
2023,East Williamsburg Scholars Academy,General Academic,Common Core English,155,58.47,40.64,59.36,32.26,0.0,13.55,80.65,5.81
2023,East Williamsburg Scholars Academy,General Academic,Common Core Algebra,156,57.02,63.46,36.54,0.0,0.0,15.38,84.62,0.0
2020,East-West School of International Studies,General Academic,Common Core English,13,62.9,38.5,61.5,30.8,100.0,0.0,0.0,0.0
2020,East-West School of International Studies,General Academic,Common Core Algebra,17,64.19,58.85,41.15,17.64,52.94,0.0,47.06,0.0
2022,East-West School of International Studies,General Academic,Common Core English,93,78.07,17.22,82.78,66.65,74.19,0.0,25.81,0.0
2022,East-West School of International Studies,General Academic,Living Environment,125,82.01,5.61,94.39,67.19,78.4,4.8,16.8,0.0
2022,East-West School of International Studies,General Academic,Common Core Algebra,130,75.12,16.92,83.08,41.51,78.46,4.62,16.92,0.0
2023,East-West School of International Studies,General Academic,Common Core English,131,72.62,25.97,74.03,48.87,70.23,0.0,25.19,4.58
2023,East-West School of International Studies,General Academic,Living Environment,133,79.96,14.29,85.71,57.89,73.68,5.26,21.05,0.0
2023,East-West School of International Studies,General Academic,Common Core Algebra,151,75.39,17.25,82.75,45.72,68.21,7.28,24.5,0.0
2022,EBC High School for Public Service - Bushwick,General Academic,Common Core English,17,59.3,52.9,47.1,5.9,0.0,0.0,100.0,0.0
2020,EBC High School for Public Service - Bushwick,General Academic,Living Environment,50,53.04,83.97,16.03,2.0,0.0,12.0,88.0,0.0
2022,EBC High School for Public Service - Bushwick,General Academic,Common Core Algebra,69,50.4,89.9,10.1,0.0,0.0,0.0,100.0,0.0
2020,EBC High School for Public Service - Bushwick,General Academic,Common Core Algebra,90,51.7,81.1,18.9,0.0,0.0,0.0,100.0,0.0
2022,EBC High School for Public Service - Bushwick,General Academic,Living Environment,91,59.2,64.81,35.19,11.03,0.0,13.19,86.81,0.0
2023,EBC High School for Public Service - Bushwick,General Academic,Common Core English,94,56.8,47.9,52.1,12.8,0.0,0.0,100.0,0.0
2020,EBC High School for Public Service - Bushwick,General Academic,Common Core English,102,67.1,31.4,68.6,21.6,0.0,0.0,100.0,0.0
2023,EBC High School for Public Service - Bushwick,General Academic,Living Environment,109,53.34,83.49,16.51,4.58,0.0,11.93,88.07,0.0
2023,EBC High School for Public Service - Bushwick,General Academic,Common Core Algebra,122,55.39,75.37,24.63,2.43,0.0,9.84,90.16,0.0
2023,Edward A. Reynolds West Side High School,Transfer School,Living Environment,18,64.47,44.43,55.57,16.7,0.0,33.33,66.67,0.0
2020,Edward A. Reynolds West Side High School,Transfer School,Living Environment,20,51.9,75.0,25.0,5.0,0.0,100.0,0.0,0.0
2022,Edward A. Reynolds West Side High School,Transfer School,Common Core English,23,54.2,60.9,39.1,13.0,0.0,0.0,100.0,0.0
2023,Edward A. Reynolds West Side High School,Transfer School,Common Core Algebra,29,54.74,68.98,31.02,0.0,0.0,34.48,65.52,0.0
2023,Edward A. Reynolds West Side High School,Transfer School,Common Core English,29,55.0,69.0,31.0,13.8,0.0,0.0,100.0,0.0
2020,Edward A. Reynolds West Side High School,Transfer School,Common Core Algebra,44,57.3,70.46,29.54,2.29,0.0,43.18,56.82,0.0
2020,Edward A. Reynolds West Side High School,Transfer School,Common Core English,82,54.6,65.85,34.15,7.3,0.0,41.46,58.54,0.0
2020,Edward R. Murrow High School,General Academic,Common Core English,87,64.44,35.67,64.33,22.97,48.28,0.0,31.03,20.69
2020,Edward R. Murrow High School,General Academic,Living Environment,134,56.1,78.36,21.64,1.48,33.58,26.12,15.67,24.63
2020,Edward R. Murrow High School,General Academic,Common Core Algebra,373,65.23,41.27,58.73,13.93,19.84,28.69,26.27,25.2
2022,Edward R. Murrow High School,General Academic,Common Core Algebra,413,63.81,44.57,55.43,10.88,30.02,18.89,25.67,25.42
2022,Edward R. Murrow High School,General Academic,Living Environment,443,72.9,26.2,73.8,37.91,28.67,18.28,25.96,27.09
2023,Edward R. Murrow High School,General Academic,Living Environment,557,66.8,40.58,59.42,26.57,21.36,26.39,26.57,25.67
2022,Edward R. Murrow High School,General Academic,Common Core English,772,75.19,18.14,81.86,51.42,33.29,16.84,20.21,29.66
2023,Edward R. Murrow High School,General Academic,Common Core Algebra,807,61.89,55.54,44.46,11.4,19.08,24.54,27.51,28.87
2023,Edward R. Murrow High School,General Academic,Common Core English,932,76.87,19.51,80.49,55.8,28.22,15.88,20.17,35.73
2020,Eleanor Roosevelt High School,General Academic,Common Core Algebra,12,84.2,0.0,100.0,75.0,0.0,0.0,0.0,100.0
2022,Eleanor Roosevelt High School,General Academic,Common Core Algebra,43,78.01,9.33,90.67,48.82,34.88,0.0,39.53,25.58
2023,Eleanor Roosevelt High School,General Academic,Common Core Algebra,50,79.11,3.99,96.01,47.98,14.0,0.0,42.0,44.0
2022,Eleanor Roosevelt High School,General Academic,Living Environment,86,83.77,0.0,100.0,70.96,26.74,12.79,32.56,27.91
2023,Eleanor Roosevelt High School,General Academic,Living Environment,87,82.04,6.87,93.13,63.25,18.39,9.2,33.33,39.08
2022,Eleanor Roosevelt High School,General Academic,Common Core English,103,89.8,0.0,100.0,96.08,20.39,0.0,0.0,79.61
2020,Eleanor Roosevelt High School,General Academic,Common Core English,121,94.57,0.0,100.0,99.17,13.22,0.0,11.57,75.21
2023,Eleanor Roosevelt High School,General Academic,Common Core English,134,90.73,0.75,99.26,94.01,25.37,0.0,11.94,62.69
2022,Emma Lazarus High School,Transfer School,Living Environment,14,82.8,7.1,92.9,78.6,100.0,0.0,0.0,0.0
2022,Emma Lazarus High School,Transfer School,Common Core English,22,71.7,27.3,72.7,36.4,50.0,50.0,0.0,0.0
2022,Emma Lazarus High School,Transfer School,Common Core Algebra,27,74.92,18.54,81.46,44.46,51.85,0.0,48.15,0.0
2020,Emma Lazarus High School,Transfer School,Common Core Algebra,31,78.14,6.46,93.54,38.72,64.52,0.0,35.48,0.0
2020,Emma Lazarus High School,Transfer School,Common Core English,31,79.93,9.65,90.35,61.27,74.19,0.0,25.81,0.0
2023,Emma Lazarus High School,Transfer School,Common Core English,56,65.43,44.62,55.38,16.06,41.07,17.86,41.07,0.0
2020,Emma Lazarus High School,Transfer School,Living Environment,56,69.34,39.3,60.7,26.8,41.07,25.0,33.93,0.0
2023,Emma Lazarus High School,Transfer School,Living Environment,92,72.05,22.81,77.19,33.7,34.78,6.52,50.0,8.7
2023,Emma Lazarus High School,Transfer School,Common Core Algebra,116,74.66,13.8,86.2,43.98,34.48,11.21,47.41,6.9
2021,Energy Tech High School,Career Technical,Living Environment,11,68.0,27.3,72.7,36.4,0.0,0.0,100.0,0.0
2020,Energy Tech High School,Career Technical,Common Core English,17,71.2,29.4,70.6,35.3,0.0,0.0,100.0,0.0
2021,Energy Tech High School,Career Technical,Common Core English,22,75.72,13.62,86.38,36.37,31.82,0.0,68.18,0.0
2020,Energy Tech High School,Career Technical,Common Core Algebra,29,55.1,75.9,24.1,6.9,0.0,0.0,100.0,0.0
2022,Energy Tech High School,Career Technical,Common Core Algebra,83,72.2,24.11,75.89,33.77,26.51,0.0,57.83,15.66
2022,Energy Tech High School,Career Technical,Living Environment,87,69.29,33.31,66.69,28.74,25.29,0.0,60.92,13.79
2023,Energy Tech High School,Career Technical,Living Environment,113,67.18,42.51,57.56,29.21,15.04,0.0,70.8,14.16
2023,Energy Tech High School,Career Technical,Common Core English,153,72.58,24.8,75.2,38.6,22.88,0.0,63.4,13.73
2022,Energy Tech High School,Career Technical,Common Core English,191,73.84,18.3,81.7,43.97,23.56,0.0,62.83,13.61
2023,Energy Tech High School,Career Technical,Common Core Algebra,231,64.65,44.2,55.8,11.27,15.15,0.0,70.56,14.29
2022,English Language Learners and International Support Preparatory Academy (ELLIS),Transfer School,Common Core Algebra,30,62.51,60.01,39.99,3.33,0.0,26.67,73.33,0.0
2023,English Language Learners and International Support Preparatory Academy (ELLIS),Transfer School,Common Core Algebra,83,64.4,40.96,59.04,8.44,0.0,20.48,79.52,0.0
2020,English Language Learners and International Support Preparatory Academy (ELLIS),Transfer School,Common Core Algebra,103,51.83,81.52,18.48,0.98,0.0,20.39,73.79,5.83
2020,English Language Learners and International Support Preparatory Academy (ELLIS),Transfer School,Common Core English,105,51.27,72.38,27.62,8.61,7.62,30.48,61.9,0.0
2022,Epic High School - North,General Academic,Common Core Algebra,44,57.24,61.37,38.63,2.27,22.73,20.45,56.82,0.0
2020,Epic High School - North,General Academic,Common Core English,60,71.8,23.34,76.66,33.35,33.33,18.33,48.33,0.0
2022,Epic High School - North,General Academic,Living Environment,75,59.36,60.0,40.0,10.67,34.67,12.0,53.33,0.0
2023,Epic High School - North,General Academic,Living Environment,85,59.25,65.9,34.14,5.93,37.65,0.0,62.35,0.0
2020,Epic High School - North,General Academic,Living Environment,98,51.21,85.7,14.3,0.0,29.59,17.35,45.92,7.14
2022,Epic High School - North,General Academic,Common Core English,109,69.78,25.69,74.31,35.79,42.2,11.93,40.37,5.5
2023,Epic High School - North,General Academic,Common Core Algebra,122,64.9,42.59,57.41,13.1,31.97,18.03,50.0,0.0
2020,Epic High School - North,General Academic,Common Core Algebra,149,57.57,68.49,31.51,0.66,26.17,22.82,46.31,4.7
2023,Epic High School - North,General Academic,Common Core English,185,70.85,28.12,71.88,38.41,29.73,15.68,51.35,3.24
2020,Epic High School - South,General Academic,Common Core English,11,61.6,45.5,54.5,9.1,100.0,0.0,0.0,0.0
2020,Epic High School - South,General Academic,Living Environment,47,50.98,93.61,6.39,2.13,36.17,36.17,27.66,0.0
2020,Epic High School - South,General Academic,Common Core Algebra,49,52.55,89.82,10.18,0.0,0.0,55.1,44.9,0.0
2022,Epic High School - South,General Academic,Common Core English,55,61.88,41.83,58.17,18.19,36.36,32.73,30.91,0.0
2022,Epic High School - South,General Academic,Living Environment,71,63.25,53.5,46.5,14.08,39.44,25.35,35.21,0.0
2022,Epic High School - South,General Academic,Common Core Algebra,83,54.18,75.89,24.11,0.0,31.33,36.14,32.53,0.0
2023,Epic High School - South,General Academic,Common Core English,88,64.06,39.78,60.22,14.78,36.36,29.55,34.09,0.0
2023,Epic High School - South,General Academic,Living Environment,96,54.47,70.83,29.17,3.12,31.25,27.08,41.67,0.0
2023,Epic High School - South,General Academic,Common Core Algebra,115,55.01,74.82,25.18,4.36,33.91,32.17,33.91,0.0
2020,Esperanza Preparatory Academy,General Academic,Common Core English,42,75.5,21.4,78.6,59.5,0.0,0.0,100.0,0.0
2023,Esperanza Preparatory Academy,General Academic,Common Core English,71,65.8,33.8,66.2,28.21,0.0,9.86,90.14,0.0
2023,Esperanza Preparatory Academy,General Academic,Living Environment,80,52.5,76.28,23.72,2.52,0.0,25.0,75.0,0.0
2022,Esperanza Preparatory Academy,General Academic,Living Environment,90,53.45,76.7,23.32,4.44,0.0,17.78,82.22,0.0
2022,Esperanza Preparatory Academy,General Academic,Common Core Algebra,94,51.18,83.0,17.0,0.0,0.0,20.21,79.79,0.0
2023,Esperanza Preparatory Academy,General Academic,Common Core Algebra,107,50.48,89.71,10.29,0.0,0.0,19.63,80.37,0.0
2020,Excelsior Preparatory High School,General Academic,Living Environment,34,64.4,38.2,61.8,8.8,0.0,100.0,0.0,0.0
2020,Excelsior Preparatory High School,General Academic,Common Core English,36,57.6,55.6,44.4,16.7,0.0,100.0,0.0,0.0
2020,Excelsior Preparatory High School,General Academic,Common Core Algebra,42,70.0,16.7,83.3,2.4,0.0,100.0,0.0,0.0
2022,Excelsior Preparatory High School,General Academic,Common Core Algebra,77,65.26,35.03,64.97,2.57,0.0,85.71,14.29,0.0
2022,Excelsior Preparatory High School,General Academic,Living Environment,85,65.74,38.8,61.2,22.35,0.0,84.71,15.29,0.0
2022,Excelsior Preparatory High School,General Academic,Common Core English,98,70.15,26.5,73.5,38.78,0.0,89.8,10.2,0.0
2023,Excelsior Preparatory High School,General Academic,Living Environment,131,69.89,25.21,74.79,29.02,0.0,83.97,16.03,0.0
2023,Excelsior Preparatory High School,General Academic,Common Core English,150,65.86,34.63,65.37,24.66,0.0,84.0,16.0,0.0
2023,Excelsior Preparatory High School,General Academic,Common Core Algebra,169,73.96,10.66,89.34,21.33,3.55,82.25,14.2,0.0
2020,Eximius College Preparatory Academy: A College Board School,General Academic,Common Core Algebra,26,61.2,46.2,53.8,3.8,0.0,0.0,100.0,0.0
2020,Eximius College Preparatory Academy: A College Board School,General Academic,Living Environment,42,54.59,90.48,9.52,0.0,0.0,35.71,64.29,0.0
2023,Eximius College Preparatory Academy: A College Board School,General Academic,Common Core Algebra,52,68.6,26.9,73.1,9.6,0.0,0.0,100.0,0.0
2023,Eximius College Preparatory Academy: A College Board School,General Academic,Living Environment,57,59.7,61.4,38.6,14.0,0.0,0.0,100.0,0.0
2022,Eximius College Preparatory Academy: A College Board School,General Academic,Common Core Algebra,60,60.1,63.3,36.7,1.7,0.0,0.0,100.0,0.0
2023,Eximius College Preparatory Academy: A College Board School,General Academic,Common Core English,81,74.83,18.52,81.48,33.31,0.0,32.1,67.9,0.0
2022,Eximius College Preparatory Academy: A College Board School,General Academic,Living Environment,83,61.95,59.01,40.99,12.07,0.0,28.92,71.08,0.0
2022,Eximius College Preparatory Academy: A College Board School,General Academic,Common Core English,98,71.86,20.37,79.63,38.79,0.0,42.86,57.14,0.0
2020,Eximius College Preparatory Academy: A College Board School,General Academic,Common Core English,106,74.85,23.57,76.43,48.12,0.0,32.08,67.92,0.0
2022,Explorations Academy High School,General Academic,Common Core English,29,49.7,69.0,31.0,13.8,0.0,0.0,100.0,0.0
2020,Explorations Academy High School,General Academic,Living Environment,41,49.65,87.8,12.2,0.0,0.0,36.59,63.41,0.0
2022,Explorations Academy High School,General Academic,Common Core Algebra,42,57.5,73.8,26.2,2.4,0.0,0.0,100.0,0.0
2020,Explorations Academy High School,General Academic,Common Core Algebra,45,51.2,84.4,15.6,0.0,0.0,0.0,100.0,0.0
2022,Explorations Academy High School,General Academic,Living Environment,46,58.2,67.4,32.6,6.5,0.0,0.0,100.0,0.0
2023,Explorations Academy High School,General Academic,Living Environment,68,56.89,66.15,33.85,4.42,0.0,30.88,69.12,0.0
2020,Explorations Academy High School,General Academic,Common Core English,75,62.97,45.37,54.63,29.34,0.0,32.0,68.0,0.0
2023,Explorations Academy High School,General Academic,Common Core Algebra,86,52.23,76.73,23.27,3.49,0.0,30.23,69.77,0.0
2023,Explorations Academy High School,General Academic,Common Core English,88,61.5,44.33,55.67,15.88,0.0,31.82,68.18,0.0
2020,The Facing History School,General Academic,Common Core English,33,57.51,48.47,51.53,12.12,0.0,36.36,63.64,0.0
2022,The Facing History School,General Academic,Common Core English,71,62.28,40.86,59.14,23.96,0.0,32.39,67.61,0.0
2023,The Facing History School,General Academic,Common Core English,93,65.23,40.87,59.13,13.97,0.0,24.73,75.27,0.0
2022,Fannie Lou Hamer Freedom High School,General Academic,Common Core English,47,60.83,51.08,48.92,12.75,0.0,25.53,74.47,0.0
2020,Fannie Lou Hamer Freedom High School,General Academic,Common Core English,96,59.79,55.24,44.76,10.4,0.0,29.17,70.83,0.0
2023,Fannie Lou Hamer Freedom High School,General Academic,Common Core English,99,67.92,37.39,62.61,32.29,6.06,24.24,69.7,0.0
2022,Flushing High School,General Academic,Common Core English,134,74.13,20.16,79.84,58.93,20.9,14.18,64.93,0.0
2020,Flushing High School,General Academic,Living Environment,254,56.78,70.07,29.93,0.39,10.63,18.5,70.87,0.0
2023,Flushing High School,General Academic,Living Environment,303,54.44,72.59,27.41,8.92,14.52,4.29,78.22,2.97
2020,Flushing High School,General Academic,Common Core Algebra,309,59.72,57.91,42.09,2.62,10.03,15.53,71.52,2.91
2022,Flushing High School,General Academic,Living Environment,311,60.45,57.23,42.77,9.68,17.36,7.72,71.38,3.54
2023,Flushing High School,General Academic,Common Core Algebra,332,60.26,59.03,40.97,12.32,13.86,6.02,76.81,3.31
2022,Flushing High School,General Academic,Common Core Algebra,335,62.03,52.52,47.48,9.84,17.01,6.87,72.84,3.28
2020,Flushing High School,General Academic,Common Core English,340,66.71,32.65,67.35,34.16,16.76,12.65,68.82,1.76
2023,Flushing High School,General Academic,Common Core English,556,66.17,40.3,59.7,31.62,18.53,9.53,69.42,2.52
2022,Food and Finance High School,Career Technical,Common Core English,12,65.7,50.0,50.0,33.3,0.0,0.0,100.0,0.0
2020,Food and Finance High School,Career Technical,Living Environment,26,58.83,69.21,30.79,0.0,0.0,30.77,69.23,0.0
2020,Food and Finance High School,Career Technical,Common Core Algebra,36,56.89,72.24,27.8,0.0,0.0,55.56,44.44,0.0
2020,Food and Finance High School,Career Technical,Common Core English,68,79.91,13.23,86.77,66.17,0.0,32.35,67.65,0.0
2022,Food and Finance High School,Career Technical,Living Environment,72,64.58,43.05,56.95,15.26,0.0,30.56,69.44,0.0
2022,Food and Finance High School,Career Technical,Common Core Algebra,76,57.93,60.56,39.44,0.0,0.0,31.58,68.42,0.0
2023,Food and Finance High School,Career Technical,Common Core Algebra,88,56.46,71.6,28.4,2.27,0.0,40.91,59.09,0.0
2023,Food and Finance High School,Career Technical,Living Environment,95,64.51,49.44,50.56,13.69,0.0,41.05,58.95,0.0
2023,Food and Finance High School,Career Technical,Common Core English,100,70.9,33.02,66.98,30.98,0.0,40.0,60.0,0.0
2021,Fordham High School for the Arts,General Academic,Living Environment,30,64.6,43.33,56.67,3.33,0.0,33.33,66.67,0.0
2021,Fordham High School for the Arts,General Academic,Common Core Algebra,34,61.7,58.83,41.17,2.94,0.0,32.35,67.65,0.0
2021,Fordham High School for the Arts,General Academic,Common Core English,59,76.82,13.54,86.46,42.36,0.0,37.29,62.71,0.0
2022,Fordham High School for the Arts,General Academic,Living Environment,96,65.53,43.78,56.22,15.6,0.0,31.25,68.75,0.0
2023,Fordham High School for the Arts,General Academic,Living Environment,103,66.74,34.97,65.03,6.77,0.0,27.18,72.82,0.0
2020,Fordham High School for the Arts,General Academic,Common Core English,157,73.21,26.73,73.27,46.52,0.0,31.21,68.79,0.0
2020,Fordham High School for the Arts,General Academic,Common Core Algebra,161,65.26,43.49,56.51,9.33,0.0,38.51,61.49,0.0
2023,Fordham High School for the Arts,General Academic,Common Core English,190,75.8,18.4,81.6,43.14,0.0,30.53,66.32,3.16
2022,Fordham High School for the Arts,General Academic,Common Core English,215,71.17,22.35,77.65,38.12,0.0,30.23,66.05,3.72
2022,Fordham High School for the Arts,General Academic,Common Core Algebra,242,62.1,50.81,49.19,2.89,3.72,33.47,62.81,0.0
2023,Fordham High School for the Arts,General Academic,Common Core Algebra,270,66.04,39.28,60.72,8.12,2.59,30.37,67.04,0.0
2021,Fordham Leadership Academy,General Academic,Common Core Algebra,25,51.0,88.0,12.0,0.0,0.0,0.0,100.0,0.0
2021,Fordham Leadership Academy,General Academic,Living Environment,41,54.26,70.74,29.26,0.0,0.0,17.07,82.93,0.0
2021,Fordham Leadership Academy,General Academic,Common Core English,68,63.33,36.76,63.24,24.99,0.0,26.47,73.53,0.0
