DBN,School Name,Grade Level,Program Type,Department,Subject,Number of Students,Number of Classes,Average Class Size,Minimum Class Size,Maximum Class Size
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,English,HS English 09,26,2,13.0,<15,<15
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,English,HS English 10,17,1,17.0,17.0,17.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,English,HS English 12,18,1,18.0,18.0,18.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,English,HS English Other,94,6,15.7,<15,20.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,Math,HS Algebra I,16,1,16.0,16.0,16.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,Math,HS Algebra II,29,2,14.5,<15,16.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,Math,HS Statistics,16,1,16.0,16.0,16.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,Math,HS Technology,54,3,18.0,15.0,20.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,Science,HS Earth Science,12,1,12.0,<15,<15
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,Science,HS Living Environment,28,2,14.0,<15,<15
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,Science,HS Other Science,23,1,23.0,23.0,23.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,Social Studies,HS Global History,70,4,17.5,<15,20.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,ICT,English,HS English 09,58,3,19.3,19.0,20.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,ICT,English,HS English 10,53,3,17.7,16.0,20.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,ICT,English,HS English 11,31,2,15.5,15.0,16.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,ICT,English,HS English 12,30,2,15.0,<15,17.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,ICT,Math,HS Algebra I,55,3,18.3,17.0,20.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,ICT,Math,HS Algebra II,80,5,16.0,<15,19.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,ICT,Math,HS Geometry,14,1,14.0,<15,<15
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,ICT,Science,HS Earth Science,55,3,18.3,15.0,20.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,ICT,Science,HS Living Environment,59,3,19.7,19.0,20.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,ICT,Science,HS Physics,37,2,18.5,18.0,19.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,ICT,Social Studies,HS Global History,104,6,17.3,15.0,20.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,ICT,Social Studies,HS Government & Econ,47,3,15.7,<15,19.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,ICT,Social Studies,HS US History,31,2,15.5,15.0,16.0
02M104,JHS 104 SIMON BARUCH,MS Core,Accelerated,Math,MS Integrated Algebra,228,7,32.6,31.0,33.0
02M104,JHS 104 SIMON BARUCH,MS Core,Accelerated,Science,MS Science Other,228,7,32.6,31.0,33.0
02M104,JHS 104 SIMON BARUCH,MS Core,Gen Ed,English,MS English Core,769,26,29.6,<15,33.0
02M104,JHS 104 SIMON BARUCH,MS Core,Gen Ed,English,MS English Other,38,2,19.0,<15,29.0
02M104,JHS 104 SIMON BARUCH,MS Core,Gen Ed,Math,MS Math Core,541,19,28.5,<15,33.0
02M104,JHS 104 SIMON BARUCH,MS Core,Gen Ed,Science,MS Science Core,560,19,29.5,<15,33.0
02M104,JHS 104 SIMON BARUCH,MS Core,Gen Ed,Social Studies,MS Social Studies Core,800,27,29.6,<15,33.0
02M104,JHS 104 SIMON BARUCH,MS Core,Gen Ed,Social Studies,MS Social Studies Other,31,1,31.0,31.0,31.0
02M104,JHS 104 SIMON BARUCH,MS Core,ICT,English,MS English Core,330,12,27.5,23.0,31.0
02M104,JHS 104 SIMON BARUCH,MS Core,ICT,Math,MS Math Core,299,11,27.2,23.0,31.0
02M104,JHS 104 SIMON BARUCH,MS Core,ICT,Science,MS Science Core,273,10,27.3,23.0,31.0
02M104,JHS 104 SIMON BARUCH,MS Core,ICT,Social Studies,MS Social Studies Core,299,11,27.2,23.0,31.0
02M104,JHS 104 SIMON BARUCH,MS Core,ICT & Acc,Math,MS Integrated Algebra,31,1,31.0,31.0,31.0
02M104,JHS 104 SIMON BARUCH,MS Core,ICT & Acc,Science,MS Science Other,31,1,31.0,31.0,31.0
02M114,EAST SIDE MIDDLE SCHOOL,MS Core,Accelerated,Math,MS Integrated Algebra,128,7,18.3,16.0,21.0
02M114,EAST SIDE MIDDLE SCHOOL,MS Core,Gen Ed,English,MS English Core,288,9,32.0,31.0,33.0
02M114,EAST SIDE MIDDLE SCHOOL,MS Core,Gen Ed,Math,MS Math Core,221,7,31.6,28.0,33.0
02M114,EAST SIDE MIDDLE SCHOOL,MS Core,Gen Ed,Science,MS Science Core,316,10,31.6,28.0,33.0
02M114,EAST SIDE MIDDLE SCHOOL,MS Core,Gen Ed,Social Studies,MS Social Studies Core,288,9,32.0,31.0,33.0
02M114,EAST SIDE MIDDLE SCHOOL,MS Core,ICT,English,MS English Core,169,6,28.2,28.0,29.0
02M114,EAST SIDE MIDDLE SCHOOL,MS Core,ICT,Math,MS Math Core,85,3,28.3,28.0,29.0
02M114,EAST SIDE MIDDLE SCHOOL,MS Core,ICT,Science,MS Science Core,141,5,28.2,28.0,29.0
02M114,EAST SIDE MIDDLE SCHOOL,MS Core,ICT,Social Studies,MS Social Studies Core,169,6,28.2,28.0,29.0
02M114,EAST SIDE MIDDLE SCHOOL,MS Core,ICT & Acc,Math,MS Integrated Algebra,23,2,11.5,<15,<15
02M126,PS 126 JACOB AUGUST RIIS,MS Core,Accelerated,Math,MS Integrated Algebra,84,3,28.0,26.0,30.0
02M126,PS 126 JACOB AUGUST RIIS,MS Core,Accelerated,Science,MS Science Other,84,3,28.0,26.0,30.0
02M126,PS 126 JACOB AUGUST RIIS,MS Core,Gen Ed,English,MS English Core,259,9,28.8,26.0,30.0
02M126,PS 126 JACOB AUGUST RIIS,MS Core,Gen Ed,English,MS English Other,118,4,29.5,29.0,30.0
02M126,PS 126 JACOB AUGUST RIIS,MS Core,Gen Ed,Math,MS Math Core,175,6,29.2,28.0,30.0
02M126,PS 126 JACOB AUGUST RIIS,MS Core,Gen Ed,Math,MS Math Other,224,8,28.0,26.0,30.0
02M126,PS 126 JACOB AUGUST RIIS,MS Core,Gen Ed,Science,MS Science Core,204,7,29.1,28.0,30.0
02M126,PS 126 JACOB AUGUST RIIS,MS Core,Gen Ed,Social Studies,MS Social Studies Core,259,9,28.8,26.0,30.0
02M126,PS 126 JACOB AUGUST RIIS,MS Core,ICT,English,MS English Core,83,3,27.7,27.0,29.0
02M126,PS 126 JACOB AUGUST RIIS,MS Core,ICT,Math,MS Math Core,56,2,28.0,27.0,29.0
02M126,PS 126 JACOB AUGUST RIIS,MS Core,ICT,Science,MS Science Core,27,1,27.0,27.0,27.0
02M126,PS 126 JACOB AUGUST RIIS,MS Core,ICT,Social Studies,MS Social Studies Core,83,3,27.7,27.0,29.0
02M126,PS 126 JACOB AUGUST RIIS,MS Core,ICT & Acc,Math,MS Integrated Algebra,27,1,27.0,27.0,27.0
02M126,PS 126 JACOB AUGUST RIIS,MS Core,ICT & Acc,Science,MS Science Other,27,1,27.0,27.0,27.0
02M131,MS 131,MS Core,Accelerated,Math,MS Integrated Algebra,65,2,32.5,32.0,33.0
02M131,MS 131,MS Core,Gen Ed,English,MS English Core,82,4,20.5,<15,33.0
02M131,MS 131,MS Core,Gen Ed,English,MS English Other,44,2,22.0,19.0,25.0
02M131,MS 131,MS Core,Gen Ed,Math,MS Math Core,66,3,22.0,19.0,27.0
02M131,MS 131,MS Core,Gen Ed,Science,MS Science Core,131,5,26.2,19.0,33.0
02M131,MS 131,MS Core,Gen Ed,Social Studies,MS Social Studies Core,131,5,26.2,19.0,33.0
02M131,MS 131,MS Core,ICT,English,MS English Core,153,6,25.5,16.0,32.0
02M131,MS 131,MS Core,ICT,Math,MS Math Core,91,4,22.8,16.0,29.0
02M131,MS 131,MS Core,ICT,Science,MS Science Core,160,6,26.7,16.0,32.0
02M131,MS 131,MS Core,ICT,Social Studies,MS Social Studies Core,160,6,26.7,16.0,32.0
02M131,MS 131,MS Core,ICT & Acc,Math,MS Integrated Algebra,61,2,30.5,30.0,31.0
02M131,MS 131,MS Core,SC,English,MS English Core,19,2,9.5,7.0,12.0
02M131,MS 131,MS Core,SC,Math,MS Integrated Algebra,12,1,12.0,12.0,12.0
02M131,MS 131,MS Core,SC,Math,MS Math Core,7,1,7.0,7.0,7.0
02M131,MS 131,MS Core,SC,Science,MS Science Core,12,1,12.0,12.0,12.0
02M131,MS 131,MS Core,SC,Social Studies,MS Social Studies Core,12,1,12.0,12.0,12.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,English,HS English 09,16,1,16.0,16.0,16.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,English,HS English 10,25,1,25.0,25.0,25.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,English,HS English 12,15,1,15.0,15.0,15.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,English,HS English Other,82,5,16.4,<15,22.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,Math,HS Algebra I,15,1,15.0,15.0,15.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,Math,HS Geometry,35,2,17.5,17.0,18.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,Math,HS Math Other,42,2,21.0,21.0,21.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,Math,HS Pre-calculus,18,1,18.0,18.0,18.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,Science,HS Earth Science,49,2,24.5,24.0,25.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,Science,HS Other Life Science,24,1,24.0,24.0,24.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,Social Studies,HS Global History,51,2,25.5,24.0,27.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,Social Studies,HS Social Studies Other,57,3,19.0,15.0,25.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,Social Studies,HS US History,22,1,22.0,22.0,22.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,English,HS English 09,54,2,27.0,24.0,30.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,English,HS English 10,52,2,26.0,26.0,26.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,English,HS English 11,37,2,18.5,16.0,21.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,English,HS English 12,29,1,29.0,29.0,29.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,Math,HS Algebra I,79,3,26.3,26.0,27.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,Math,HS Algebra II,29,1,29.0,29.0,29.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,Math,HS Geometry,28,1,28.0,28.0,28.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,Math,HS Technology,50,2,25.0,23.0,27.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,Science,HS Earth Science,60,2,30.0,30.0,30.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,Science,HS Living Environment,95,4,23.8,20.0,26.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,Science,HS Other Life Science,59,2,29.5,28.0,31.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,Social Studies,HS Global History,111,4,27.8,25.0,32.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,Social Studies,HS Government & Econ,61,2,30.5,30.0,31.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,Social Studies,HS US History,44,2,22.0,22.0,22.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,Gen Ed,English,HS English 09,60,2,30.0,29.0,31.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,Gen Ed,English,HS English 11,66,3,22.0,18.0,28.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,Gen Ed,English,HS English 12,37,2,18.5,<15,29.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,Gen Ed,Math,HS Algebra I,53,2,26.5,26.0,27.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,Gen Ed,Math,HS Algebra II,54,2,27.0,25.0,29.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,Gen Ed,Math,HS Geometry,30,1,30.0,30.0,30.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,Gen Ed,Math,HS Pre-calculus,24,1,24.0,24.0,24.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,Gen Ed,Math,HS Statistics,31,1,31.0,31.0,31.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,Gen Ed,Science,HS Chemistry,58,2,29.0,26.0,32.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,Gen Ed,Science,HS Earth Science,53,2,26.5,24.0,29.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,Gen Ed,Science,HS Living Environment,57,2,28.5,28.0,29.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,Gen Ed,Science,HS Other Life Science,21,1,21.0,21.0,21.0
