,,,,,,,,,,
DBN,School Name,Grade Level,Program Type,Department,Subject,Number of Students,Number of Classes,Average Class Size,Minimum Class Size,Maximum Class Size
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,MS Core,Gen Ed,Science,MS Science Core,90,3,30.0,29.0,31.0
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,MS Core,ICT,Math,MS Math Core,271,9,30.1,28.0,32.0
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,MS Core,ICT,Science,MS Science Core,271,9,30.1,28.0,32.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,English,HS English 09,42,3,14.0,<15,18.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,English,HS English 11,15,1,15.0,15.0,15.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,English,HS English 12,18,1,18.0,18.0,18.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,English,HS English Other,61,4,15.3,<15,18.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,Math,HS Algebra I,32,3,10.7,<15,<15
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,Math,HS Algebra II,28,2,14.0,<15,<15
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,Math,HS Geometry,19,1,19.0,19.0,19.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,Math,HS Math Other,10,1,10.0,<15,<15
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,Math,HS Technology,42,3,14.0,<15,17.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,Science,HS Living Environment,23,2,11.5,<15,<15
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,Science,HS Other Life Science,16,1,16.0,16.0,16.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,Science,HS Other Science,67,4,16.8,15.0,18.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,Social Studies,HS Global History,41,3,13.7,<15,18.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,Social Studies,HS Government & Econ,38,2,19.0,18.0,20.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,Gen Ed,Social Studies,HS US History,14,1,14.0,<15,<15
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,ICT,English,HS English 09,36,2,18.0,17.0,19.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,ICT,English,HS English 10,32,2,16.0,15.0,17.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,ICT,English,HS English 11,35,2,17.5,16.0,19.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,ICT,English,HS English 12,20,1,20.0,20.0,20.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,ICT,Math,HS Algebra I,33,2,16.5,16.0,17.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,ICT,Math,HS Algebra II,73,4,18.3,16.0,20.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,ICT,Science,HS Earth Science,48,3,16.0,<15,17.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,ICT,Science,HS Living Environment,37,2,18.5,18.0,19.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,ICT,Social Studies,HS Global History,69,4,17.3,16.0,19.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS Core,ICT,Social Studies,HS US History,35,2,17.5,15.0,20.0
02M104,JHS 104 SIMON BARUCH,MS Core,Accelerated,Math,MS Integrated Algebra,164,5,32.8,32.0,33.0
02M104,JHS 104 SIMON BARUCH,MS Core,Accelerated,Science,MS Science Other,164,5,32.8,32.0,33.0
02M104,JHS 104 SIMON BARUCH,MS Core,Gen Ed,English,MS English Core,749,24,31.2,28.0,33.0
02M104,JHS 104 SIMON BARUCH,MS Core,Gen Ed,English,MS English Other,126,5,25.2,<15,33.0
02M104,JHS 104 SIMON BARUCH,MS Core,Gen Ed,Math,MS Math Core,684,23,29.7,<15,33.0
02M104,JHS 104 SIMON BARUCH,MS Core,Gen Ed,Science,MS Science Core,643,21,30.6,27.0,33.0
02M104,JHS 104 SIMON BARUCH,MS Core,Gen Ed,Social Studies,MS Social Studies Core,749,24,31.2,28.0,33.0
02M104,JHS 104 SIMON BARUCH,MS Core,ICT,English,MS English Core,349,12,29.1,25.0,33.0
02M104,JHS 104 SIMON BARUCH,MS Core,ICT,Math,MS Math Core,258,9,28.7,25.0,32.0
