DBN,School Name,Regents Exam,Exam,Year,Mean Score,Total Tested,Black_Percent,Hispanic_Percent,Asian_Percent,White_Percent,Teacher_Count,School Type,CTE,Transfer,ELL_Percent,EconDisadvantaged_Pct,SpecialEd_Pct,Homeless_Pct,NeedsIndex,ATTENDANCE_RATE,ClassSize_Algebra,ClassSize_Biology,ClassSize,NYSED_School_Name,INSTITUTION_ID,latitude,longitude,ZIP Code,Neighborhood
71M296,High School of Hospitality Management,Common Core Algebra,Algebra_I,2022,64.7,23,0.0,100.0,0.0,0.0,20,General Academic,0.0,0.0,9.0,92.0,21.0,11.0,1.0,80.0,12.0,16.0,12.0,HIGH SCHOOL OF HOSPITALITY MGMNT,800000058029.0,40.765474,-73.9927,10019,Chelsea - Clinton
71M296,High School of Hospitality Management,Living Environment,Living_Env,2022,65.13,36,16.67,83.33,0.0,0.0,20,General Academic,0.0,0.0,9.0,92.0,21.0,11.0,1.0,80.0,12.0,16.0,16.0,HIGH SCHOOL OF HOSPITALITY MGMNT,800000058029.0,40.765474,-73.9927,10019,Chelsea - Clinton
71M298,Pace High School,Living Environment,Living_Env,2022,63.78,58,31.03,48.28,20.69,0.0,45,General Academic,0.0,0.0,7.0,79.0,24.0,6.0,1.0,80.0,26.0,25.0,25.0,PACE HIGH SCHOOL,800000058064.0,40.716231,-73.993607,10002,Union Square - Lower East Side
71M298,Pace High School,Common Core English,ELA,2022,67.37,81,39.51,51.85,8.64,0.0,45,General Academic,0.0,0.0,7.0,79.0,24.0,6.0,1.0,80.0,26.0,25.0,25.5,PACE HIGH SCHOOL,800000058064.0,40.716231,-73.993607,10002,Union Square - Lower East Side
71M298,Pace High School,Common Core Algebra,Algebra_I,2022,60.88,114,34.21,50.88,14.91,0.0,45,General Academic,0.0,0.0,7.0,79.0,24.0,6.0,1.0,80.0,26.0,25.0,26.0,PACE HIGH SCHOOL,800000058064.0,40.716231,-73.993607,10002,Union Square - Lower East Side
71M479,Pace High School,Living Environment,Living_Env,2022,63.78,58,31.03,48.28,20.69,0.0,84,General Academic,0.0,0.0,0.0,37.0,19.0,1.0,1.0,95.0,20.0,26.0,26.0,BEACON HIGH SCHOOL,800000046819.0,40.716231,-73.993607,10002,Union Square - Lower East Side
71M479,Pace High School,Common Core English,ELA,2022,67.37,81,39.51,51.85,8.64,0.0,84,General Academic,0.0,0.0,0.0,37.0,19.0,1.0,1.0,95.0,20.0,26.0,23.0,BEACON HIGH SCHOOL,800000046819.0,40.716231,-73.993607,10002,Union Square - Lower East Side
71M479,Pace High School,Common Core Algebra,Algebra_I,2022,60.88,114,34.21,50.88,14.91,0.0,84,General Academic,0.0,0.0,0.0,37.0,19.0,1.0,1.0,95.0,20.0,26.0,20.0,BEACON HIGH SCHOOL,800000046819.0,40.716231,-73.993607,10002,Union Square - Lower East Side
71M299,The Maxine Greene HS for Imaginative Inquiry,Common Core English,ELA,2022,67.6,26,30.77,69.23,0.0,0.0,14,General Academic,0.0,0.0,15.0,91.0,25.0,8.0,1.0,76.0,14.0,16.0,15.0,MAXINE GREENE HS-IMAGINATIVE INQUIRY,800000059116.0,40.774891,-73.985608,10023,Upper West Side
71M300,Urban Assembly School of Design and Construction,Common Core Algebra,Algebra_I,2022,54.0,25,0.0,100.0,0.0,0.0,26,General Academic,0.0,0.0,6.0,86.0,28.0,11.0,1.0,82.0,14.0,19.0,14.0,URBAN ASSMBLY SCH-DESIGN & CONST,800000058095.0,40.765474,-73.9927,10019,Chelsea - Clinton
71M300,Urban Assembly School of Design and Construction,Living Environment,Living_Env,2022,64.3,27,0.0,100.0,0.0,0.0,26,General Academic,0.0,0.0,6.0,86.0,28.0,11.0,1.0,82.0,14.0,19.0,19.0,URBAN ASSMBLY SCH-DESIGN & CONST,800000058095.0,40.765474,-73.9927,10019,Chelsea - Clinton
71M303,The Facing History School,Common Core English,ELA,2022,62.28,71,32.39,67.61,0.0,0.0,31,General Academic,0.0,0.0,12.0,83.0,29.0,14.0,1.0,79.0,24.0,24.0,24.0,FACING HISTORY SCHOOL (THE),800000059107.0,40.765474,-73.9927,10019,Chelsea - Clinton
