Year,School Name,DBN,Pupil Teacher Ratio
2019,PS 015 ROBERTO CLEMENTE,01M015,7.4
2019,PS 019 ASHER LEVY,01M019,6.6
2019,PS 020 ANNA SILVER,01M020,11.7
2019,PS 034 FRANKLIN D ROOSEVELT,01M034,9.1
2019,THE STAR ACADEMY - PS63,01M063,10.8
2019,PS 064 ROBERT SIMON,01M064,10.4
2019,PS 110 FLORENCE NIGHTINGALE,01M110,15
2019,PS 134 HENRIETTA SZOLD,01M134,10.9
2019,PS 140 NATHAN STRAUS,01M140,11.9
2019,PS 142 AMALIA CASTRO,01M142,9.6
2019,PS 184M SHUANG WEN,01M184,13.3
2019,PS 188 THE ISLAND SCHOOL,01M188,11.1
2019,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,01M292,9.1
2019,THE EAST VILLAGE COMMUNITY SCHOOL,01M315,13.9
2019,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,01M332,7.2
2019,THE CHILDREN'S WORKSHOP SCHOOL,01M361,12.4
2019,NEIGHBORHOOD SCHOOL,01M363,12.8
2019,EARTH SCHOOL,01M364,12.4
2019,SCHOOL FOR GLOBAL LEADERS,01M378,7.7
2019,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,01M448,16.3
2019,EAST SIDE COMMUNITY SCHOOL,01M450,13.8
2019,FORSYTH SATELLITE ACADEMY,01M458,10.8
2019,MARTA VALLE HIGH SCHOOL,01M509,8.8
2019,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,01M515,15.6
2019,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",01M539,17.3
2019,CASCADES HIGH SCHOOL,01M650,12.2
2019,BARD HIGH SCHOOL EARLY COLLEGE,01M696,16.6
2019,TOMPKINS SQUARE MIDDLE SCHOOL,01M839,12.4
2019,PS 001 ALFRED E SMITH,02M001,11.5
2019,PS 002 MEYER LONDON,02M002,10.8
2019,PS 003 CHARRETTE SCHOOL,02M003,15.5
2019,PS 006 LILLIE D BLAKE,02M006,17.3
2019,PS 011 WILLIAM T HARRIS,02M011,15.1
2019,PS 033 CHELSEA PREP,02M033,15.9
2019,PS 040 AUGUSTUS SAINT-GAUDENS,02M040,17.2
2019,PS 041 GREENWICH VILLAGE,02M041,16.3
2019,PS 042 BENJAMIN ALTMAN,02M042,12.3
2019,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,02M047,8.6
2019,PS 051 ELIAS HOWE,02M051,14
2019,PS 059 BEEKMAN HILL INTERNATIONAL,02M059,15.1
2019,PS 77 LOWER LAB SCHOOL,02M077,20.5
2019,PS 89,02M089,14
2019,JHS 104 SIMON BARUCH,02M104,16.3
2019,PS 111 ADOLPH S OCHS,02M111,12.1
2019,EAST SIDE MIDDLE SCHOOL,02M114,15.6
2019,PS 116 MARY LINDLEY MURRAY,02M116,14.2
