DBN,Location_Code,School_Name,latitude,longitude,formatted_address,ZIP Code,Neighborhood,Borough_Code_Derived,Borough_Derived,District_Derived
71M400,M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,40.767848,-73.98861,444 WEST 56 STREET,10019,Chelsea - Clinton,M,Manhattan,71
71M402,M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,40.786134,-73.974483,145 WEST 84 STREET,10024,Upper West Side,M,Manhattan,71
71M403,M403,THE GLOBAL LEARNING COLLABORATIVE,40.786134,-73.974483,145 WEST 84 STREET,10024,Upper West Side,M,Manhattan,71
71M404,M404,INNOVATION DIPLOMA PLUS,40.786134,-73.974483,145 WEST 84 STREET,10024,Upper West Side,M,Manhattan,71
71M411,M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,40.741888,-73.985723,55 EAST 25 STREET,10010,Gramercy Park - Murray Hill,M,Manhattan,71
71M414,M414,N.Y.C. MUSEUM SCHOOL,40.742512,-74.002222,333 WEST 17 STREET,10011,Chelsea - Clinton,M,Manhattan,71
71M416,M416,ELEANOR ROOSEVELT HIGH SCHOOL,40.770288,-73.953276,411 EAST 76 STREET,10021,Upper East Side,M,Manhattan,71
71M417,M417,FRANK MCCOURT HIGH SCHOOL,40.786134,-73.974483,145 WEST 84 STREET,10024,Upper West Side,M,Manhattan,71
71M419,M419,LANDMARK HIGH SCHOOL,40.743407,-74.00254,351 WEST 18 STREET,10011,Chelsea - Clinton,M,Manhattan,71
71M449,M449,VANGUARD HIGH SCHOOL,40.743407,-74.00254,351 WEST 18 STREET,10011,Chelsea - Clinton,M,Manhattan,71
76K572,K572,LEADERS HIGH SCHOOL,40.743407,-74.00254,351 WEST 18 STREET,10011,Chelsea - Clinton,K,Brooklyn,76
71M420,M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVI,40.732665,-73.98259,345 EAST 15 STREET,10003,Union Square - Lower East Side,M,Manhattan,71
71M423,M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,40.865556,-73.925464,650 ACADEMY STREET,10034,Washington Heights - Inwood,M,Manhattan,71
71M425,M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,40.708971,-74.012465,90 TRINITY PLACE,10006,Lower Manhattan,M,Manhattan,71
71M427,M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,40.74651,-73.98107,111 EAST 33 STREET,10016,Gramercy Park - Murray Hill,M,Manhattan,71
71M432,M432,MURRAY HILL ACADEMY,40.74651,-73.98107,111 EAST 33 STREET,10016,Gramercy Park - Murray Hill,M,Manhattan,71
71M435,M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,40.794184,-73.932868,260 PLEASANT AVENUE,10029,East Harlem,M,Manhattan,71
71M437,M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,40.743407,-74.00254,351 WEST 18 STREET,10011,Chelsea - Clinton,M,Manhattan,71
71M448,M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,40.712269,-73.984128,200 MONROE STREET,10002,Union Square - Lower East Side,M,Manhattan,71
71M459,M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,40.765638,-73.959777,327 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M459,M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,40.765638,-73.959777,330 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M459,M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,40.765638,-73.959777,336 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M459,M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,40.765638,-73.959777,339 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
