DBN,Location_Code,School_Name,latitude,longitude,formatted_address,ZIP Code,Neighborhood,Borough_Code_Derived,Borough_Derived,District_Derived
72X377,X377,BRONX COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11243,Downtown - Heights - Park Slope,X,Bronx,72
72X377,X377,BRONX COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11244,Downtown - Heights - Park Slope,X,Bronx,72
72X377,X377,BRONX COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11245,Downtown - Heights - Park Slope,X,Bronx,72
72X377,X377,BRONX COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11246,Downtown - Heights - Park Slope,X,Bronx,72
76K529,K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11231,Downtown - Heights - Park Slope,K,Brooklyn,76
76K529,K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11232,Downtown - Heights - Park Slope,K,Brooklyn,76
76K529,K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11233,Downtown - Heights - Park Slope,K,Brooklyn,76
76K529,K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11234,Downtown - Heights - Park Slope,K,Brooklyn,76
76K529,K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11235,Downtown - Heights - Park Slope,K,Brooklyn,76
76K529,K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11236,Downtown - Heights - Park Slope,K,Brooklyn,76
76K529,K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11237,Downtown - Heights - Park Slope,K,Brooklyn,76
76K529,K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11238,Downtown - Heights - Park Slope,K,Brooklyn,76
76K529,K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11239,Downtown - Heights - Park Slope,K,Brooklyn,76
76K529,K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11240,Downtown - Heights - Park Slope,K,Brooklyn,76
76K529,K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11241,Downtown - Heights - Park Slope,K,Brooklyn,76
76K529,K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11242,Downtown - Heights - Park Slope,K,Brooklyn,76
76K529,K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11243,Downtown - Heights - Park Slope,K,Brooklyn,76
76K529,K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11244,Downtown - Heights - Park Slope,K,Brooklyn,76
76K529,K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11245,Downtown - Heights - Park Slope,K,Brooklyn,76
76K529,K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11246,Downtown - Heights - Park Slope,K,Brooklyn,76
76K673,K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11231,Downtown - Heights - Park Slope,K,Brooklyn,76
76K673,K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11232,Downtown - Heights - Park Slope,K,Brooklyn,76
76K673,K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11233,Downtown - Heights - Park Slope,K,Brooklyn,76
76K673,K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11234,Downtown - Heights - Park Slope,K,Brooklyn,76
76K673,K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11235,Downtown - Heights - Park Slope,K,Brooklyn,76
76K673,K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11236,Downtown - Heights - Park Slope,K,Brooklyn,76
76K673,K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11237,Downtown - Heights - Park Slope,K,Brooklyn,76
76K673,K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11238,Downtown - Heights - Park Slope,K,Brooklyn,76
76K673,K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11239,Downtown - Heights - Park Slope,K,Brooklyn,76
76K673,K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11240,Downtown - Heights - Park Slope,K,Brooklyn,76
76K673,K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11241,Downtown - Heights - Park Slope,K,Brooklyn,76
76K673,K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11242,Downtown - Heights - Park Slope,K,Brooklyn,76
76K673,K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11243,Downtown - Heights - Park Slope,K,Brooklyn,76
76K673,K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11244,Downtown - Heights - Park Slope,K,Brooklyn,76
76K673,K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11245,Downtown - Heights - Park Slope,K,Brooklyn,76
76K673,K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11246,Downtown - Heights - Park Slope,K,Brooklyn,76
76K698,K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11231,Downtown - Heights - Park Slope,K,Brooklyn,76
76K698,K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11232,Downtown - Heights - Park Slope,K,Brooklyn,76
76K698,K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11233,Downtown - Heights - Park Slope,K,Brooklyn,76
76K698,K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11234,Downtown - Heights - Park Slope,K,Brooklyn,76
76K698,K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11235,Downtown - Heights - Park Slope,K,Brooklyn,76
76K698,K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11236,Downtown - Heights - Park Slope,K,Brooklyn,76
76K698,K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11237,Downtown - Heights - Park Slope,K,Brooklyn,76
76K698,K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11238,Downtown - Heights - Park Slope,K,Brooklyn,76
76K698,K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11239,Downtown - Heights - Park Slope,K,Brooklyn,76
76K698,K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11240,Downtown - Heights - Park Slope,K,Brooklyn,76
76K698,K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11241,Downtown - Heights - Park Slope,K,Brooklyn,76
76K698,K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11242,Downtown - Heights - Park Slope,K,Brooklyn,76
76K698,K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11243,Downtown - Heights - Park Slope,K,Brooklyn,76
76K698,K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11244,Downtown - Heights - Park Slope,K,Brooklyn,76
76K698,K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11245,Downtown - Heights - Park Slope,K,Brooklyn,76
76K698,K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11246,Downtown - Heights - Park Slope,K,Brooklyn,76
72X379,X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,40.818703,-73.905389,778 FOREST AVENUE,10456,High Bridge - Morrisania,X,Bronx,72
72X381,X381,BRONX HAVEN HIGH SCHOOL,40.818645,-73.919949,333 EAST 151 STREET,10451,High Bridge - Morrisania,X,Bronx,72
72X388,X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,40.743228,-73.871505,45-10 94 STREET,11373,West Queens,X,Bronx,72
77Q296,Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,40.743228,-73.871505,45-10 94 STREET,11373,West Queens,Q,Queens,77
72X403,X403,BRONX INTERNATIONAL HIGH SCHOOL,40.827455,-73.90392,1110 BOSTON ROAD,10456,High Bridge - Morrisania,X,Bronx,72
73K439,K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,40.827455,-73.90392,1110 BOSTON ROAD,10456,High Bridge - Morrisania,K,Brooklyn,73
72X404,X404,SCHOOL FOR EXCELLENCE,40.827455,-73.90392,1110 BOSTON ROAD,10456,High Bridge - Morrisania,X,Bronx,72
72X405,X405,HERBERT H. LEHMAN HIGH SCHOOL,40.839775,-73.839583,3000 EAST TREMONT AVENUE,10461,Pelham - Throgs Neck,X,Bronx,72
72X412,X412,BRONX HIGH SCHOOL OF BUSINESS,40.839307,-73.911366,240 EAST 172 STREET,10457,Crotona - Tremont,X,Bronx,72
72X418,X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,40.851577,-73.864438,2040 ANTIN PL,10462,Pelham - Throgs Neck,X,Bronx,72
72X427,X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,40.815712,-73.92996,350 GERARD AVENUE,10451,High Bridge - Morrisania,X,Bronx,72
72X432,X432,BRONX BRIDGES HIGH SCHOOL,40.821218,-73.85593,1980 LAFAYETTE AVENUE,10473,Pelham - Throgs Neck,X,Bronx,72
72X433,X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,40.869061,-73.897066,2780 RESERVOIR AVENUE,10468,Fordham - Bronx Park,X,Bronx,72
72X434,X434,BELMONT PREPARATORY HIGH SCHOOL,40.859466,-73.888625,500 EAST FORDHAM ROAD,10458,Fordham - Bronx Park,X,Bronx,72
72X437,X437,FORDHAM HIGH SCHOOL FOR THE ARTS,40.859466,-73.888625,500 EAST FORDHAM ROAD,10458,Fordham - Bronx Park,X,Bronx,72
72X438,X438,FORDHAM LEADERSHIP ACADEMY,40.859466,-73.888625,500 EAST FORDHAM ROAD,10458,Fordham - Bronx Park,X,Bronx,72
72X439,X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,40.859466,-73.888625,500 EAST FORDHAM ROAD,10458,Fordham - Bronx Park,X,Bronx,72
72X440,X440,DEWITT CLINTON HIGH SCHOOL,40.879958,-73.889011,100 WEST MOSHOLU PARKWAY SOUTH,10468,Fordham - Bronx Park,X,Bronx,72
72X442,X442,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC  THE,40.869061,-73.897066,2780 RESERVOIR AVENUE,10468,Fordham - Bronx Park,X,Bronx,72
72X445,X445,THE BRONX HIGH SCHOOL OF SCIENCE,40.879958,-73.889011,75 WEST 205 STREET,10468,Fordham - Bronx Park,X,Bronx,72
72X446,X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,40.823124,-73.898265,1010 REV. J. A. POLITE AVENUE,10459,Hunts Point - Mott Haven,X,Bronx,72
72X452,X452,GOTHAM COLLABORATIVE HIGH SCHOOL,40.821218,-73.85593,1980 LAFAYETTE AVENUE,10473,Pelham - Throgs Neck,X,Bronx,72
72X455,X455,HARRY S TRUMAN HIGH SCHOOL,40.874035,-73.831669,750 BAYCHESTER AVENUE,10475,Northeast Bronx,X,Bronx,72
72X473,X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,40.818041,-73.911633,701 ST. ANNS AVENUE,10455,Hunts Point - Mott Haven,X,Bronx,72
72X477,X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,40.877379,-73.912686,99 TERRACE VIEW AVENUE,10463,Kingsbridge - Riverdale,X,Bronx,72
72X478,X478,THE CINEMA SCHOOL,40.832508,-73.878191,1551 EAST 172 STREET,10472,Pelham - Throgs Neck,X,Bronx,72
02M260,M260,THE CLINTON SCHOOL,40.832508,-73.878191,1551 EAST 172 STREET,10472,Pelham - Throgs Neck,M,Manhattan,2
72X479,X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,40.826933,-73.900593,800 HOME STREET,10456,High Bridge - Morrisania,X,Bronx,72
72X480,X480,BRONX REGIONAL HIGH SCHOOL,40.823124,-73.898265,1010 REV. J. A. POLITE AVENUE,10459,Hunts Point - Mott Haven,X,Bronx,72
72X509,X509,HIGH SCHOOL OF LANGUAGE AND INNOVATION,40.860443,-73.860729,925 ASTOR AVENUE,10469,Northeast Bronx,X,Bronx,72
72X511,X511,BRONX ENVISION ACADEMY,40.836245,-73.890591,1619 BOSTON ROAD,10460,Crotona - Tremont,X,Bronx,72
72X513,X513,NEW WORLD HIGH SCHOOL,40.888242,-73.852714,921 EAST 228 STREET,10466,Northeast Bronx,X,Bronx,72
72X514,X514,THE BRONXWOOD PREPARATORY ACADEMY,40.888242,-73.852714,921 EAST 228 STREET,10466,Northeast Bronx,X,Bronx,72
72X517,X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,40.665568,-73.912102,226 BRISTOL STREET,11212,Bedford Stuyvesant - Crown Heights,X,Bronx,72
73K514,K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,40.665568,-73.912102,226 BRISTOL STREET,11212,Bedford Stuyvesant - Crown Heights,K,Brooklyn,73
03M860,M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,40.665568,-73.912102,226 BRISTOL STREET,11212,Bedford Stuyvesant - Crown Heights,M,Manhattan,3
72X521,X521,THE METROPOLITAN SOUNDVIEW HIGH SCHOOL,40.832508,-73.878191,1300 BOYNTON AVENUE,10472,Pelham - Throgs Neck,X,Bronx,72
72X522,X522,BRONX DESIGN AND CONSTRUCTION ACADEMY,40.818645,-73.919949,333 EAST 151 STREET,10451,High Bridge - Morrisania,X,Bronx,72
72X524,X524,CROTONA INTERNATIONAL HIGH SCHOOL,40.855392,-73.882487,2474 CROTONA AVENUE,10458,Fordham - Bronx Park,X,Bronx,72
72X525,X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,40.84325,-73.902969,1710 WEBSTER AVENUE,10457,Crotona - Tremont,X,Bronx,72
72X527,X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,40.821828,-73.922366,730 CONCOURSE VILLAGE WEST,10451,High Bridge - Morrisania,X,Bronx,72
72X530,X530,LONGWOOD PREPARATORY ACADEMY,40.817741,-73.897876,965 LONGWOOD AVENUE,10459,Hunts Point - Mott Haven,X,Bronx,72
72X542,X542,PELHAM PREPARATORY ACADEMY,40.860443,-73.860729,925 ASTOR AVENUE,10469,Northeast Bronx,X,Bronx,72
72X543,X543,HIGH SCHOOL FOR VIOLIN AND DANCE,40.827455,-73.90392,1110 BOSTON ROAD,10456,High Bridge - Morrisania,X,Bronx,72
72X544,X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,40.875172,-73.861649,800 EAST GUN HILL ROAD,10467,Fordham - Bronx Park,X,Bronx,72
72X545,X545,BRONX AEROSPACE HIGH SCHOOL,40.875172,-73.861649,800 EAST GUN HILL ROAD,10467,Fordham - Bronx Park,X,Bronx,72
72X546,X546,BRONX THEATRE HIGH SCHOOL,40.877379,-73.912686,99 TERRACE VIEW AVENUE,10463,Kingsbridge - Riverdale,X,Bronx,72
72X548,X548,CAREERS IN SPORTS HIGH SCHOOL,40.821828,-73.922366,730 CONCOURSE VILLAGE WEST,10451,High Bridge - Morrisania,X,Bronx,72
72X550,X550,HIGH SCHOOL OF WORLD CULTURES,40.832508,-73.878191,1300 BOYNTON AVENUE,10472,Pelham - Throgs Neck,X,Bronx,72
72X557,X557,MOTT HAVEN COMMUNITY HIGH SCHOOL,40.810671,-73.907528,455 SOUTHERN BLVD,10455,Hunts Point - Mott Haven,X,Bronx,72
77Q792,Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,40.810671,-73.907528,455 SOUTHERN BLVD,10455,Hunts Point - Mott Haven,Q,Queens,77
72X558,X558,WESTCHESTER SQUARE ACADEMY,40.839775,-73.839583,3000 EAST TREMONT AVENUE,10461,Pelham - Throgs Neck,X,Bronx,72
72X561,X561,BRONX COMPASS HIGH SCHOOL,40.821218,-73.85593,1980 LAFAYETTE AVENUE,10473,Pelham - Throgs Neck,X,Bronx,72
72X565,X565,HIGH SCHOOL FOR ENERGY AND TECHNOLOGY,40.855392,-73.882487,2474 CROTONA AVENUE,10458,Fordham - Bronx Park,X,Bronx,72
72X600,X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIG,40.818645,-73.919949,333 EAST 151 STREET,10451,High Bridge - Morrisania,X,Bronx,72
73K615,K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH S,40.818645,-73.919949,333 EAST 151 STREET,10451,High Bridge - Morrisania,K,Brooklyn,73
72X670,X670,HEALTH OPPORTUNITIES HIGH SCHOOL,40.815712,-73.92996,350 GERARD AVENUE,10451,High Bridge - Morrisania,X,Bronx,72
72X682,X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,40.831212,-73.885804,1021 JENNINGS STREET,10460,Crotona - Tremont,X,Bronx,72
72X684,X684,WINGS ACADEMY,40.841376,-73.875262,1122 EAST 180 STREET,10460,Crotona - Tremont,X,Bronx,72
72X696,X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,40.874725,-73.895543,2925 GOULDEN AVENUE,10458,Fordham - Bronx Park,X,Bronx,72
73K122,K122,PATHWAYS IN TECHNOLOGY EARLY COLLEGE HIGH SCHOOL (,40.675905,-73.939282,150 ALBANY AVENUE,11213,Bedford Stuyvesant - Crown Heights,K,Brooklyn,73
73K337,K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,40.593028,-73.986313,2630 BENSON AVENUE,11214,Bensonhurst - Bay Ridge,K,Brooklyn,73
73K348,K348,HIGH SCHOOL OF SPORTS MANAGEMENT,40.593028,-73.986313,2630 BENSON AVENUE,11214,Bensonhurst - Bay Ridge,K,Brooklyn,73
73K350,K350,URBAN ASSEMBLY SCHOOL OF MUSIC AND ART,40.69733,-73.984528,49 FLATBUSH AVENUE EXTENSION,11201,Downtown - Heights - Park Slope,K,Brooklyn,73
73K403,K403,ACADEMY FOR EXCELLENCE IN LEADERSHIP,40.696457,-73.911751,400 IRVING AVENUE,11237,Williamsburg - Bushwick,K,Brooklyn,73
73K405,K405,MIDWOOD HIGH SCHOOL,40.632829,-73.952356,2839 BEDFORD AVENUE,11210,East Flatbush - Flatbush,K,Brooklyn,73
73K408,K408,ACADEMY OF HOSPITALITY AND TOURISM,40.649602,-73.957173,911 FLATBUSH AVENUE,11226,East Flatbush - Flatbush,K,Brooklyn,73
73K412,K412,BROOKLYN COMMUNITY ARTS & MEDIA HIGH SCHOOL (BCAM),40.692015,-73.95818,300 WILLOUGHBY AVENUE,11205,Downtown - Heights - Park Slope,K,Brooklyn,73
73K425,K425,JAMES MADISON HIGH SCHOOL,40.610499,-73.947661,3787 BEDFORD AVENUE,11229,Coney Island - Sheepshead Bay ,K,Brooklyn,73
73K445,K445,NEW UTRECHT HIGH SCHOOL,40.613041,-74.002308,1601 80 STREET,11214,Bensonhurst - Bay Ridge,K,Brooklyn,73
02M413,M413,SCHOOL OF THE FUTURE HIGH SCHOOL,40.613041,-74.002308,1601 80 STREET,11214,Bensonhurst - Bay Ridge,M,Manhattan,2
73K488,K488,BROOKLYN PREPARATORY HIGH SCHOOL,40.715561,-73.954815,257 N 6 STREET,11211,Greenpoint,K,Brooklyn,73
73K493,K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,40.674456,-73.912685,2021 BERGEN STREET,11233,Bedford Stuyvesant - Crown Heights,K,Brooklyn,73
73K504,K504,HIGH SCHOOL FOR CIVIL RIGHTS,40.666868,-73.895122,400 PENNSYLVANIA AVENUE,11207,East New York,K,Brooklyn,73
73K505,K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,40.621299,-73.982583,5800 20 AVENUE,11204,Borough Park,K,Brooklyn,73
73K507,K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,40.666868,-73.895122,400 PENNSYLVANIA AVENUE,11207,East New York,K,Brooklyn,73
73K510,K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHO,40.666868,-73.895122,400 PENNSYLVANIA AVENUE,11207,East New York,K,Brooklyn,73
73K525,K525,EDWARD R. MURROW HIGH SCHOOL,40.619671,-73.959141,1600 AVENUE L,11230,Borough Park,K,Brooklyn,73
73K528,K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,40.669805,-73.960689,883 CLASSON AVENUE,11225,East Flatbush - Flatbush,K,Brooklyn,73
73K531,K531,SCHOOL FOR HUMAN RIGHTS  THE,40.658671,-73.943839,600 KINGSTON AVENUE,11203,East Flatbush - Flatbush,K,Brooklyn,73
73K535,K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,40.578356,-73.934449,1830 SHORE BOULEVARD,11235,Coney Island - Sheepshead Bay ,K,Brooklyn,73
73K537,K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT,40.649602,-73.957173,911 FLATBUSH AVENUE,11226,East Flatbush - Flatbush,K,Brooklyn,73
73K539,K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,40.649602,-73.957173,911 FLATBUSH AVENUE,11226,East Flatbush - Flatbush,K,Brooklyn,73
73K540,K540,JOHN DEWEY HIGH SCHOOL,40.58807,-73.981925,50 AVENUE X,11223,Coney Island - Sheepshead Bay ,K,Brooklyn,73
73K545,K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE - BUSHWICK,40.694723,-73.929315,1155 DEKALB AVENUE,11221,Williamsburg - Bushwick,K,Brooklyn,73
73K546,K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,40.658671,-73.943839,600 KINGSTON AVENUE,11203,East Flatbush - Flatbush,K,Brooklyn,73
73K547,K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,40.669805,-73.960689,883 CLASSON AVENUE,11225,East Flatbush - Flatbush,K,Brooklyn,73
73K548,K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,40.669805,-73.960689,883 CLASSON AVENUE,11225,East Flatbush - Flatbush,K,Brooklyn,73
73K549,K549,THE BROOKLYN SCHOOL FOR SOCIAL JUSTICE,40.696457,-73.911751,400 IRVING AVENUE,11237,Williamsburg - Bushwick,K,Brooklyn,73
73K552,K552,THE ACADEMY OF URBAN PLANNING AND ENGINEERING,40.696457,-73.911751,400 IRVING AVENUE,11237,Williamsburg - Bushwick,K,Brooklyn,73
73K556,K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLEN,40.695436,-73.927349,797 BUSHWICK AVENUE,11221,Williamsburg - Bushwick,K,Brooklyn,73
73K563,K563,IT TAKES A VILLAGE ACADEMY,40.647728,-73.922212,5800 TILDEN AVENUE,11203,East Flatbush - Flatbush,K,Brooklyn,73
73K564,K564,BUSHWICK COMMUNITY HIGH SCHOOL,40.695875,-73.915217,231 PALMETTO STREET,11221,Williamsburg - Bushwick,K,Brooklyn,73
73K566,K566,BROOKLYN COMMUNITY HIGH SCHOOL FOR EXCELLENCE AND,40.634451,-73.916927,6565 FLATLANDS AVENUE,11236,Canarsie - Flatlands,K,Brooklyn,73
73K567,K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,40.634451,-73.916927,6565 FLATLANDS AVENUE,11236,Canarsie - Flatlands,K,Brooklyn,73
73K569,K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,40.647728,-73.922212,5800 TILDEN AVENUE,11203,East Flatbush - Flatbush,K,Brooklyn,73
73K576,K576,VICTORY COLLEGIATE HIGH SCHOOL,40.634451,-73.916927,6565 FLATLANDS AVENUE,11236,Canarsie - Flatlands,K,Brooklyn,73
73K583,K583,MULTICULTURAL HIGH SCHOOL,40.693002,-73.869305,999 JAMAICA AVENUE,11208,East New York,K,Brooklyn,73
73K592,K592,KHALIL GIBRAN INTERNATIONAL ACADEMY,40.686147,-73.979829,362 SCHERMERHORN STREET,11217,Downtown - Heights - Park Slope,K,Brooklyn,73
73K595,K595,BEDFORD ACADEMY HIGH SCHOOL,40.685486,-73.953692,1119 BEDFORD AVENUE,11216,Bedford Stuyvesant - Crown Heights,K,Brooklyn,73
73K600,K600,CLARA BARTON HIGH SCHOOL,40.669805,-73.960689,901 CLASSON AVENUE,11225,East Flatbush - Flatbush,K,Brooklyn,73
73K611,K611,ORIGINS HIGH SCHOOL,40.593157,-73.936635,3000 AVENUE X,11235,Coney Island - Sheepshead Bay ,K,Brooklyn,73
73K616,K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY,40.692015,-73.95818,300 WILLOUGHBY AVENUE,11205,Downtown - Heights - Park Slope,K,Brooklyn,73
73K617,K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDI,40.640543,-73.898601,1600 ROCKAWAY PARKWAY,11236,Canarsie - Flatlands,K,Brooklyn,73
73K618,K618,ACADEMY OF INNOVATIVE TECHNOLOGY,40.693002,-73.869305,999 JAMAICA AVENUE,11208,East New York,K,Brooklyn,73
73K629,K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,40.647728,-73.922212,5800 TILDEN AVENUE,11203,East Flatbush - Flatbush,K,Brooklyn,73
73K630,K630,PROFESSIONAL PATHWAYS HIGH SCHOOL,40.593157,-73.936635,3000 AVENUE X,11235,Coney Island - Sheepshead Bay ,K,Brooklyn,73
73K633,K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,40.640543,-73.898601,1600 ROCKAWAY PARKWAY,11236,Canarsie - Flatlands,K,Brooklyn,73
73K635,K635,OLYMPUS ACADEMY,40.645965,-73.898607,755 EAST 100 STREET,11236,Canarsie - Flatlands,K,Brooklyn,73
73K637,K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,40.634451,-73.916927,6565 FLATLANDS AVENUE,11236,Canarsie - Flatlands,K,Brooklyn,73
73K642,K642,URBAN ACTION ACADEMY,40.640543,-73.898601,1600 ROCKAWAY PARKWAY,11236,Canarsie - Flatlands,K,Brooklyn,73
