Year,School Name,DBN,School Code,School Level,Leadership,Teachers,Other Staff,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Average Years in Title,B/AA Average Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple Count,Multiple Average Years in Title,Multiple Average Years at School,Unknown/Other (U/O) Count,U/O Average Years in Title,U/O Average Years at School
2023,ACADEMY FOR SOFTWARE ENGINEERING,02M546,M546,HIGH SCHOOL,3,32,13,*,,,5,8,1.4,*,,,*,,,5,3.5,2.1,16,7.4,5.9,*,,,*,,
2023,BRONX LEGACY HIGH SCHOOL,07X625,X625,HIGH SCHOOL,2,16,4,*,,,*,,,9,6.6,0.3,*,,,*,,,*,,,*,,,*,,
2023,BRONX ARENA HIGH SCHOOL,08X537,X537,HIGH SCHOOL,2,14,2,*,,,*,,,*,,,*,,,*,,,7,10.5,8.1,*,,,*,,
2023,THE EAST NEW YORK ARTS AND CIVICS HIGH SCHOOL,19K953,K953,HIGH SCHOOL,2,12,4,*,,,*,,,5,8.3,1.8,*,,,*,,,*,,,*,,,*,,
2023,GOTHAM TECH HIGH SCHOOL,30Q417,Q417,HIGH SCHOOL,1,7,2,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,
2023,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,71M047,M047,HIGH SCHOOL,3,35,5,*,,,*,,,5,11.2,10.5,*,,,*,,,26,4.7,2.5,*,,,*,,
2023,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,71M135,M135,HIGH SCHOOL,3,25,4,*,,,*,,,*,,,*,,,11,5.9,2.5,12,9.1,5,*,,,*,,
2023,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HI,71M139,M139,HIGH SCHOOL,3,35,11,*,,,*,,,7,11.1,2.7,*,,,5,7,3.5,20,5.5,3.5,*,,,*,,
2023,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,71M157,M157,HIGH SCHOOL,2,21,5,*,,,*,,,*,,,*,,,7,5.3,1.4,7,6.7,3.9,*,,,*,,
2023,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TE,71M211,M211,HIGH SCHOOL,3,37,9,*,,,*,,,8,13.5,3.2,*,,,10,5.9,3.1,17,9.8,4.9,*,,,*,,
