Year,DBN,Teachers,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Years in Title,B/AA Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple Count,Multiple Average Years in Title,Multiple Average Years at School,Unknown/Other Count,Unknown/Other Average Years in Title,Unknown/Other Average Years at School
2020,02M255,25,*,*,*,*,,,*,,,*,*,*,*,,,21,9.7,7.5,*,*,*,*,,
2020,02M260,51,*,*,*,6,5.5,3.3,*,,,*,*,*,*,,,34,7.1,2.9,*,*,*,*,,
2020,02M267,30,*,*,*,*,,,*,,,*,*,*,*,,,23,6.5,3.2,*,*,*,*,,
2020,02M276,62,*,*,*,8,11,5.7,*,,,*,*,*,*,,,48,8.5,5.3,*,*,*,*,,
2020,02M281,30,*,*,*,*,,,*,,,*,*,*,*,,,25,3.5,2,*,*,*,*,,
2020,02M289,18,*,*,*,*,,,*,,,*,*,*,*,,,13,11.1,7.9,*,*,*,*,,
2020,02M290,41,*,*,*,*,,,*,,,*,*,*,*,,,36,9.1,8.1,*,*,*,*,,
2020,02M297,60,*,*,*,*,,,7,5.3,0.6,*,*,*,6,8.9,0.5,43,7.5,0.9,*,*,*,*,,
2020,02M312,40,*,*,*,*,,,*,,,*,*,*,*,,,30,8.5,6.1,*,*,*,*,,
2020,02M340,31,*,*,*,*,,,*,,,*,*,*,*,,,26,5.7,1.8,*,*,*,*,,
2020,02M343,35,*,*,*,*,,,*,,,*,*,*,*,,,23,6.3,3,*,*,*,*,,
2020,02M347,43,*,*,*,*,,,5,19.3,12.8,*,*,*,*,,,35,10.6,5.6,*,*,*,*,,
2020,02M397,40,*,*,*,*,,,*,,,*,*,*,*,,,28,7.3,3.9,*,*,*,*,,
2020,02M413,50,*,*,*,*,,,7,6.8,4.3,*,*,*,*,,,37,9.4,6.5,*,*,*,*,,
2020,02M422,48,*,*,*,*,,,6,8.2,3.8,*,*,*,5,9,3.9,32,9.4,4.4,*,*,*,*,,
2020,02M442,10,*,*,*,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,
2020,02M527,33,*,*,*,*,,,*,,,*,*,*,*,,,26,5.3,3.3,*,*,*,*,,
2020,02M546,37,*,*,*,*,,,*,,,*,*,*,*,,,25,6,4,*,*,*,*,,
2020,02M896,31,*,*,*,6,8.7,5,*,,,*,*,*,*,,,17,9.5,5.3,*,*,*,*,,
2020,02M933,15,*,*,*,*,,,*,,,*,*,*,*,,,10,4.6,2.2,*,*,*,*,,
2020,03M009,43,*,*,*,*,,,*,,,*,*,*,*,,,33,9.5,6.2,*,*,*,*,,
2020,03M054,57,*,*,*,*,,,*,,,*,*,*,6,20.9,16.4,46,10.7,9.6,*,*,*,*,,
2020,03M075,76,*,*,*,*,,,8,14.6,11.7,*,*,*,24,8.2,6.1,35,8.6,6.5,*,*,*,5,6.6,4.2
2020,03M076,27,*,*,*,*,,,14,15.5,9.4,*,*,*,*,,,*,,,*,*,*,*,,
2020,03M084,52,*,*,*,6,9,8.4,*,,,*,*,*,14,8.1,5.9,27,10.4,7.1,*,*,*,*,,
2020,03M087,55,*,*,*,*,,,*,,,*,*,*,5,13,7.3,42,15.3,12.5,*,*,*,*,,
2020,03M145,38,*,*,*,*,,,*,,,*,*,*,8,18.5,15.1,22,6.4,3.9,*,*,*,*,,
