School Information,,,,Active Staff,,,Teachers,,,,,
DBN,Location Code,Location Name,Location Category,Leadership,Teachers,Other Staff,Male,,,Female,,
,,,,,,,Count,Average Years in Title,Average Years at School,Count,Average Years in Title,Average Years at School
02M260,M260,THE CLINTON SCHOOL,SECONDARY SCHOOL,3,60,12,15,8.3,5.0,45,8.3,3.7
02M267,M267,EAST SIDE ELEMENTARY SCHOOL  PS 267,ELEMENTARY,2,30,12,*,,,*,,
02M276,M276,BATTERY PARK CITY SCHOOL,K-8,3,61,26,6,7.9,6.6,55,10.4,6.5
02M281,M281,THE RIVER SCHOOL,ELEMENTARY,2,34,16,*,,,*,,
02M289,M289,I.S. 289,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,19,6,6,8.3,5.6,13,11.8,8.6
02M290,M290,P.S. 290 MANHATTAN NEW SCHOOL,ELEMENTARY,3,32,14,*,,,*,,
02M297,M297,M.S. 297,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,52,10,13,8.4,2.3,39,9.8,2.5
02M312,M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,46,8,13,9.7,6.8,33,8.5,5.9
02M340,M340,SIXTH AVENUE ELEMENTARY SCHOOL,ELEMENTARY,2,29,12,*,,,*,,
02M343,M343,THE PECK SLIP SCHOOL,ELEMENTARY,2,31,20,*,,,*,,
02M347,M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHO,K-8,2,43,11,9,16.4,12.0,34,10.5,6.6
02M397,M397,SPRUCE STREET SCHOOL,K-8,2,41,16,9,11.1,4.3,32,6.9,4.1
02M413,M413,SCHOOL OF THE FUTURE HIGH SCHOOL,SECONDARY SCHOOL,3,51,15,24,10.3,6.9,27,8.9,6.6
02M422,M422,QUEST TO LEARN,SECONDARY SCHOOL,3,53,13,19,9.6,5.1,34,7.4,3.4
02M442,M442,BALLET TECH  NYC PUBLIC SCHOOL FOR DANCE,K-8,1,11,2,*,,,*,,
02M527,M527,P.S. 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION,ELEMENTARY,1,34,12,*,,,*,,
02M546,M546,ACADEMY FOR SOFTWARE ENGINEERING,HIGH SCHOOL,2,33,13,16,8.4,4.1,17,6.1,3.7
02M896,M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,31,9,7,8.8,6.1,24,10.7,5.6
02M933,M933,CITY KNOLL MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,15,5,*,,,*,,
03M009,M009,P.S. 009 SARAH ANDERSON,ELEMENTARY,2,41,18,*,,,*,,
03M054,M054,J.H.S. 054 BOOKER T. WASHINGTON,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,60,17,23,7.2,6.8,37,12.4,10.7
03M075,M075,P.S. 075 EMILY DICKINSON,ELEMENTARY,3,78,21,7,13.7,6.3,71,10.0,7.7
03M076,M076,P.S. 076 A. PHILIP RANDOLPH,K-8,3,26,9,5,15.9,8.0,21,11.2,7.1
03M084,M084,P.S. 084 LILLIAN WEBER,ELEMENTARY,3,54,20,5,13.4,5.1,49,9.3,7.5
03M087,M087,P.S. 087 WILLIAM SHERMAN,ELEMENTARY,2,53,24,6,19.9,17.4,47,15.8,12.7
03M145,M145,P.S. 145  THE BLOOMINGDALE SCHOOL,ELEMENTARY,2,38,25,5,8.4,3.3,33,7.3,5.5
03M149,M149,P.S. 149 SOJOURNER TRUTH,K-8,2,22,10,*,,,*,,
03M163,M163,P.S. 163 ALFRED E. SMITH,ELEMENTARY,1,43,20,6,8.4,7.9,37,11.8,9.5
03M165,M165,P.S. 165 ROBERT E. SIMON,ELEMENTARY,2,34,14,*,,,*,,
03M166,M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AN,ELEMENTARY,2,37,10,5,15.4,11.1,32,7.6,7.1
03M180,M180,P.S. 180 HUGO NEWMAN,K-8,3,41,14,9,9.6,7.1,32,12.6,10.0
03M185,M185,THE LOCKE SCHOOL OF ARTS AND ENGINEERING,ELEMENTARY,2,32,14,5,12.7,3.4,27,9.4,4.6
03M191,M191,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS,K-8,3,49,24,6,12.0,3.9,43,9.4,6.4
03M199,M199,P.S. 199 JESSIE ISADOR STRAUS,ELEMENTARY,3,47,26,*,,,*,,
03M241,M241,STEM INSTITUTE OF MANHATTAN,ELEMENTARY,1,18,10,*,,,*,,
03M242,M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,ELEMENTARY,1,17,7,*,,,*,,
03M243,M243,M.S. 243 CENTER SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1,17,3,8,10.5,10.5,9,15.3,12.4
03M245,M245,M.S. M245 THE COMPUTER SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,28,5,5,12.7,11.1,23,12.2,8.3
03M247,M247,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,21,3,6,9.1,4.9,15,6.2,4.7
03M250,M250,M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1,13,4,*,,,*,,
03M256,M256,LAFAYETTE ACADEMY,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1,18,5,7,10.4,6.0,11,9.1,6.7
03M258,M258,COMMUNITY ACTION SCHOOL - MS 258,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,23,8,8,12.8,7.7,15,9.8,4.9
03M291,M291,WEST END SECONDARY SCHOOL,SECONDARY SCHOOL,3,50,8,13,7.3,2.5,37,6.5,2.3
03M333,M333,P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,K-8,2,49,34,11,7.5,4.3,38,8.7,7.0
03M334,M334,THE ANDERSON SCHOOL,K-8,2,29,4,5,15.3,9.3,24,8.3,5.3
03M421,M421,WEST PREP ACADEMY,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,25,5,9,3.7,2.2,16,9.5,4.5
03M452,M452,P.S. 452,ELEMENTARY,2,32,13,6,7.4,3.9,26,10.3,4.7
03M859,M859,SPECIAL MUSIC SCHOOL,K-12 ALL GRADES,2,22,4,8,6.1,3.7,14,9.3,4.2
03M860,M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,SECONDARY SCHOOL,3,33,8,13,5.6,1.9,20,5.3,3.2
03M862,M862,MOTT HALL II,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,30,9,9,5.4,4.5,21,8.3,6.8
04M007,M007,P.S. 007 SAMUEL STERN,K-8,1,32,15,8,8.8,7.2,24,13.5,9.7
04M012,M012,TAG YOUNG SCHOLARS,K-8,2,29,9,10,9.8,5.8,19,6.5,4.4
04M037,M037,RIVER EAST ELEMENTARY,ELEMENTARY,1,28,10,*,,,*,,
04M038,M038,P.S. 38 ROBERTO CLEMENTE,ELEMENTARY,2,22,16,*,,,*,,
04M057,M057,JAMES WELDON JOHNSON,K-8,3,58,18,10,5.9,2.8,48,13.1,9.6
04M072,M072,THE LEXINGTON ACADEMY,K-8,3,51,17,10,7.3,5.3,41,10.5,9.1
04M083,M083,P.S. 083 LUIS MUNOZ RIVERA,ELEMENTARY,2,32,10,*,,,*,,
04M096,M096,P.S. 096 JOSEPH LANZETTA,K-8,2,44,11,10,10.5,6.3,34,9.3,6.9
04M102,M102,P.S. 102 JACQUES CARTIER,ELEMENTARY,1,25,16,*,,,*,,
04M108,M108,P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL C,K-8,2,40,19,6,13.9,9.4,34,14.5,12.3
04M112,M112,P.S. 112 JOSE CELSO BARBOSA,EARLY CHILDHOOD,2,56,13,*,,,*,,
04M146,M146,P.S. 146 ANN M. SHORT,ELEMENTARY,2,41,30,6,13.9,7.1,35,11.5,7.8
04M155,M155,P.S. 155 WILLIAM PACA,ELEMENTARY,1,25,11,*,,,*,,
04M171,M171,P.S. 171 PATRICK HENRY,K-8,3,56,15,10,8.6,5.8,46,12.2,10.1
04M182,M182,THE BILINGUAL BICULTURAL SCHOOL,ELEMENTARY,2,30,8,*,,,*,,
04M206,M206,P.S. 206 JOSE CELSO BARBOSA,K-8,3,103,10,16,4.3,4.2,87,6.3,5.4
04M224,M224,M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMIC,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,17,7,9,14.3,6.9,8,10.3,4.6
04M372,M372,ESPERANZA PREPARATORY ACADEMY,SECONDARY SCHOOL,3,48,24,17,6.5,3.8,31,8.3,4.1
04M375,M375,MOSAIC PREPARATORY ACADEMY,ELEMENTARY,2,23,15,*,,,*,,
04M377,M377,RENAISSANCE SCHOOL OF THE ARTS,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1,19,4,9,10.1,3.3,10,8.6,3.0
04M497,M497,CENTRAL PARK EAST I,ELEMENTARY,1,15,9,*,,,*,,
04M825,M825,ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,26,5,6,10.8,7.1,20,9.6,5.4
04M964,M964,CENTRAL PARK EAST II,K-8,1,44,26,5,9.4,5.4,39,9.9,5.4
05M030,M030,P.S. 030 HERNANDEZ/HUGHES,ELEMENTARY,2,25,19,*,,,*,,
05M036,M036,P.S. 036 MARGARET DOUGLAS,ELEMENTARY,2,36,20,*,,,*,,
05M046,M046,P.S. 046 ARTHUR TAPPAN,K-8,3,50,27,8,10.4,8.4,42,11.5,9.7
05M092,M092,P.S. 092 MARY MCLEOD BETHUNE,ELEMENTARY,3,19,13,*,,,*,,
05M123,M123,P.S. 123 MAHALIA JACKSON,K-8,3,43,13,10,7.2,5.4,33,10.6,9.4
05M125,M125,P.S. 125 RALPH BUNCHE,ELEMENTARY,2,22,17,*,,,*,,
05M129,M129,P.S. 129 JOHN H. FINLEY,K-8,2,32,20,6,25.7,23.5,26,18.2,13.6
05M133,M133,P.S. 133 FRED R MOORE,ELEMENTARY,2,34,23,6,8.6,4.9,28,7.3,4.0
05M154,M154,P.S. 154 HARRIET TUBMAN,ELEMENTARY,2,26,13,*,,,*,,
05M161,M161,P.S. 161 PEDRO ALBIZU CAMPOS,K-8,4,60,22,12,13.0,8.9,48,11.3,9.7
05M175,M175,P.S. 175 HENRY H GARNET,ELEMENTARY,2,26,11,*,,,*,,
05M194,M194,P.S. 194 COUNTEE CULLEN,ELEMENTARY,2,15,8,*,,,*,,
05M197,M197,P.S. 197 JOHN B. RUSSWURM,ELEMENTARY,2,28,22,6,12.4,10.3,22,15.2,11.6
05M200,M200,P.S. 200- THE JAMES MCCUNE SMITH SCHOOL,ELEMENTARY,2,33,18,*,,,*,,
05M286,M286,URBAN ASSEMBLY ACADEMY FOR FUTURE LEADERS,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,14,8,6,15.8,5.4,8,15.8,5.1
05M318,M318,THURGOOD MARSHALL ACADEMY LOWER SCHOOL,ELEMENTARY,2,15,12,*,,,*,,
05M362,M362,COLUMBIA SECONDARY SCHOOL,SECONDARY SCHOOL,3,49,14,19,8.4,6.2,30,10.5,5.3
05M371,M371,SCHOOL OF EARTH EXPLORATION AND DISCOVERY HARLEM (,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,14,7,*,,,*,,
05M514,M514,NEW DESIGN MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1,20,10,7,4.9,2.5,13,9.9,1.5
05M517,M517,TEACHERS COLLEGE COMMUNITY SCHOOL,K-8,2,32,6,*,,,*,,
06M004,M004,P.S. 004 DUKE ELLINGTON,ELEMENTARY,3,42,17,12,15.9,12.0,30,13.6,10.1
06M005,M005,P.S. 005 ELLEN LURIE,ELEMENTARY,3,49,25,6,21.3,19.0,43,13.6,11.8
06M008,M008,P.S. 008 LUIS BELLIARD,ELEMENTARY,2,36,11,6,13.1,10.4,30,14.3,11.9
06M018,M018,P.S. 018 PARK TERRACE,K-8,2,29,12,7,13.3,8.7,22,12.0,10.2
06M028,M028,P.S. 028 WRIGHT BROTHERS,ELEMENTARY,3,49,22,7,15.4,13.4,42,15.2,12.0
06M048,M048,P.S. 048 P.O. MICHAEL J. BUCZEK,ELEMENTARY,2,38,28,10,12.8,11.2,28,9.2,8.0
06M052,M052,HAROLD O. LEVY SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,28,11,11,12.7,11.5,17,16.4,14.0
06M098,M098,P.S. 098 SHORAC KAPPOCK,ELEMENTARY,3,34,20,*,,,*,,
06M103,M103,DOS PUENTES ELEMENTARY SCHOOL,ELEMENTARY,2,33,14,5,6.7,2.5,28,10.2,4.9
06M115,M115,P.S. 115 ALEXANDER HUMBOLDT,ELEMENTARY,3,42,14,*,,,*,,
06M128,M128,P.S. 128 AUDUBON,ELEMENTARY,3,50,21,8,14.1,13.7,42,13.5,11.9
06M132,M132,P.S. 132 JUAN PABLO DUARTE,ELEMENTARY,1,19,11,*,,,*,,
06M143,M143,J.H.S. 143 ELEANOR ROOSEVELT,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,26,12,11,17.0,13.9,15,17.4,14.4
06M152,M152,P.S. 152 DYCKMAN VALLEY,ELEMENTARY,3,44,24,6,19.3,10.1,38,12.5,10.1
06M153,M153,P.S. 153 ADAM CLAYTON POWELL,ELEMENTARY,3,38,17,8,10.8,10.6,30,7.0,6.2
06M173,M173,P.S. 173,ELEMENTARY,3,41,20,6,18.0,11.6,35,10.5,8.3
06M178,M178,PROFESSOR JUAN BOSCH PUBLIC SCHOOL,ELEMENTARY,2,39,13,*,,,*,,
06M187,M187,P.S./I.S. 187 HUDSON CLIFFS,K-8,3,55,22,9,12.7,10.6,46,10.7,8.8
06M189,M189,P.S. 189,ELEMENTARY,3,55,29,6,18.7,12.8,49,14.0,12.5
06M192,M192,P.S. 192 JACOB H. SCHIFF,ELEMENTARY,2,29,16,*,,,*,,
06M209,M209,HAMILTON GRANGE MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,31,4,9,5.3,2.5,22,3.9,1.7
06M210,M210,P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR C,K-8,2,41,10,8,7.7,4.0,33,13.5,9.9
06M223,M223,THE MOTT HALL SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,21,6,10,8.4,5.7,11,11.0,9.1
06M278,M278,PAULA HEDBAVNY SCHOOL,K-8,2,39,15,9,11.3,8.3,30,13.0,8.0
06M293,M293,CITY COLLEGE ACADEMY OF THE ARTS,SECONDARY SCHOOL,4,43,8,15,10.2,6.9,28,9.7,7.0
06M311,M311,AMISTAD DUAL LANGUAGE SCHOOL,K-8,2,42,15,10,6.5,3.6,32,5.3,3.8
06M314,M314,MUSCOTA,ELEMENTARY,2,17,12,*,,,*,,
06M319,M319,M.S. 319 - MARIA TERESA,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,30,17,11,17.8,8.2,19,12.2,8.8
06M322,M322,MIDDLE SCHOOL 322,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,35,9,14,13.5,5.9,21,11.8,5.7
06M324,M324,M.S. 324 - PATRIA MIRABAL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1,31,12,11,12.1,9.0,20,13.1,10.0
06M328,M328,COMMUNITY MATH & SCIENCE PREP,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,18,9,5,12.2,6.4,13,12.3,6.0
06M346,M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,SECONDARY SCHOOL,3,50,11,17,12.6,8.5,33,8.4,7.2
06M348,M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,K-12 ALL GRADES,5,81,21,26,7.6,4.7,55,8.7,4.9
06M349,M349,HARBOR HEIGHTS,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,10,1,*,,,*,,
06M366,M366,WASHINGTON HEIGHTS ACADEMY,K-8,2,38,21,6,17.1,6.3,32,13.4,5.8
06M368,M368,THE WILLIAM LYNCH SCHOOL,ELEMENTARY,1,19,6,*,,,*,,
06M513,M513,CASTLE BRIDGE SCHOOL,ELEMENTARY,2,22,11,5,8.0,5.0,17,10.1,5.3
