School Information,,,,Active Staff,,,Teachers,,,,,
DBN,Location Code,Location Name,Location Category,Leadership,Teachers,Other Staff,Male,,,Female,,
,,,,,,,Count,Average Years in Title,Average Years at School,Count,Average Years in Title,Average Years at School
08X130,X130,P.S. 130 ABRAM STEVENS HEWITT,ELEMENTARY,3,34,12,*,,,*,,
08X131,X131,J.H.S. 131 ALBERT EINSTEIN,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,33,13,12,15.7,15.2,21,11.4,8.7
08X138,X138,P.S. 138 SAMUEL RANDALL,ELEMENTARY,3,45,16,*,,,*,,
08X140,X140,P.S. X140 THE EAGLE SCHOOL,ELEMENTARY,3,43,17,9,15.9,5.4,34,17.3,9.1
08X146,X146,P.S. 146 EDWARD COLLINS,ELEMENTARY,2,31,13,*,,,*,,
08X152,X152,P.S. 152 EVERGREEN,ELEMENTARY,3,58,23,10,16.5,13.2,48,12.3,8.9
08X182,X182,P.S. 182,ELEMENTARY,3,41,20,*,,,*,,
08X301,X301,M.S. 301 PAUL L. DUNBAR,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,22,5,8,7.5,6.0,14,8.6,6.2
08X302,X302,M.S. 302 LUISA DESSUS CRUZ,JUNIOR HIGH-INTERMEDIATE-MIDDLE,4,43,14,10,4.0,3.5,33,6.6,3.7
08X304,X304,P.S. 304 EARLY CHILDHOOD SCHOOL,ELEMENTARY,2,39,21,6,12.3,7.2,33,15.5,11.3
08X333,X333,THE LONGWOOD ACADEMY OF DISCOVERY,ELEMENTARY,3,41,19,5,10.5,4.6,36,12.7,7.1
08X337,X337,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,40,10,18,7.6,5.9,22,6.7,5.0
08X367,X367,ARCHIMEDES ACADEMY FOR MATH  SCIENCE AND TECHNOLOG,SECONDARY SCHOOL,4,52,21,20,10.6,5.7,32,9.2,6.1
08X371,X371,URBAN INSTITUTE OF MATHEMATICS,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,32,12,10,8.7,6.2,22,7.9,4.6
08X375,X375,THE BRONX MATHEMATICS PREPARATORY SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,18,9,5,13.2,8.1,13,6.1,4.3
08X392,X392,BRONX DELTA SCHOOL,ELEMENTARY,3,46,18,*,,,*,,
08X424,X424,BRONX ACADEMY FOR MULTI-MEDIA,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,29,16,10,5.7,3.0,19,5.2,2.1
08X448,X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,34,11,13,5.3,2.8,21,7.3,4.5
08X467,X467,MOTT HALL COMMUNITY SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,26,9,12,9.5,5.3,14,10.7,4.9
08X537,X537,BRONX ARENA HIGH SCHOOL,HIGH SCHOOL,2,15,2,8,7.6,5.4,7,12.1,7.0
08X562,X562,BLUEPRINT MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,4,54,12,12,11.4,3.7,42,9.4,3.2
08X583,X583,P.S. 583,ELEMENTARY,2,30,18,*,,,*,,
09X004,X004,P.S./M.S. 004 CROTONA PARK WEST,K-8,3,47,12,10,3.1,2.9,37,4.6,4.6
09X011,X011,P.S. 011 HIGHBRIDGE,ELEMENTARY,3,47,21,5,7.9,7.5,42,13.2,10.6
09X022,X022,J.H.S. 022 JORDAN L. MOTT,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,43,13,17,5.9,5.7,26,10.2,7.5
09X028,X028,P.S. 028 MOUNT HOPE,ELEMENTARY,4,61,35,9,7.0,3.9,52,12.3,9.4
09X035,X035,P.S. 035 FRANZ SIEGEL,ELEMENTARY,3,45,20,*,,,*,,
09X042,X042,P.S. 042 CLAREMONT,ELEMENTARY,3,37,14,*,,,*,,
09X053,X053,P.S. 053 BASHEER QUISIM,ELEMENTARY,4,72,27,6,10.5,8.1,66,14.2,10.3
09X055,X055,P.S. 055 BENJAMIN FRANKLIN,ELEMENTARY,4,45,22,5,18.2,11.9,40,11.1,9.1
09X058,X058,P.S. 058,ELEMENTARY,2,29,18,5,22.2,15.5,24,16.0,12.3
09X063,X063,P.S. 063 AUTHOR'S ACADEMY,ELEMENTARY,3,44,22,7,4.2,4.2,37,9.4,7.2
09X070,X070,P.S. 070 MAX SCHOENFELD,ELEMENTARY,5,83,27,14,15.0,13.5,69,12.1,10.4
09X073,X073,P.S. 073 BRONX,ELEMENTARY,4,38,22,11,15.1,10.2,27,13.6,10.8
09X088,X088,P.S. X088 - S. SILVERSTEIN LITTLE SPARROW SCHOOL,EARLY CHILDHOOD,2,12,3,*,,,*,,
09X109,X109,P.S. 109 SEDGWICK,ELEMENTARY,3,43,21,7,5.5,3.9,36,8.8,6.9
09X110,X110,P.S. 110 THEODORE SCHOENFELD,ELEMENTARY,3,28,18,*,,,*,,
09X114,X114,P.S. X114 - LUIS LLORENS TORRES SCHOOLS,ELEMENTARY,3,54,22,8,12.6,10.4,46,14.3,9.3
09X117,X117,I.S. 117 JOSEPH H. WADE,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,40,16,17,11.0,9.6,23,14.1,10.4
09X126,X126,P.S. 126 DR MARJORIE H DUNBAR,ELEMENTARY,2,45,19,7,9.6,6.0,38,10.4,8.3
09X128,X128,MOTT HALL III,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,25,4,7,7.9,5.5,18,7.9,6.1
09X132,X132,P.S. 132 GARRET A. MORGAN,ELEMENTARY,3,36,20,7,10.4,9.5,29,9.3,7.3
09X163,X163,P.S. 163 ARTHUR A. SCHOMBURG,ELEMENTARY,2,36,13,7,5.4,5.4,29,12.0,10.8
09X170,X170,P.S. 170,EARLY CHILDHOOD,1,19,9,*,,,*,,
09X199,X199,P.S. 199X - THE SHAKESPEARE SCHOOL,ELEMENTARY,2,49,18,6,10.0,6.4,43,13.7,9.4
09X204,X204,P.S. 204 MORRIS HEIGHTS,ELEMENTARY,3,45,24,8,15.7,15.2,37,14.0,11.0
09X215,X215,KAPPA,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,34,10,8,9.1,6.8,26,11.2,6.2
09X218,X218,P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNE,K-8,4,74,15,15,10.7,7.8,59,9.1,8.2
09X219,X219,I.S. 219 NEW VENTURE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,4,31,17,8,12.4,7.2,23,11.1,6.7
09X229,X229,I.S. 229 ROLAND PATTERSON,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,30,16,13,8.6,6.8,17,10.5,5.8
09X232,X232,I.S. 232,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,34,9,13,9.0,4.4,21,6.4,5.3
09X236,X236,P.S. 236 LANGSTON HUGHES,ELEMENTARY,2,26,19,*,,,*,,
09X274,X274,THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE,ELEMENTARY,2,50,22,7,13.2,4.0,43,9.1,5.3
09X294,X294,THE WALTON AVENUE SCHOOL,ELEMENTARY,2,42,14,*,,,*,,
09X303,X303,I.S. X303 LEADERSHIP & COMMUNITY SERVICE,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,29,14,7,7.8,6.7,22,10.2,6.6
09X311,X311,LUCERO ELEMENTARY SCHOOL,ELEMENTARY,3,29,6,*,,,*,,
09X313,X313,I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,24,14,9,13.7,8.4,15,14.2,7.7
09X323,X323,BRONX WRITING ACADEMY,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,36,11,6,6.6,5.6,30,10.7,7.8
09X324,X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNIN,SECONDARY SCHOOL,3,32,9,6,10.9,7.3,26,6.6,4.7
09X327,X327,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,SECONDARY SCHOOL,4,57,18,18,8.1,6.0,39,8.8,5.1
09X328,X328,NEW MILLENNIUM BRONX ACADEMY OF THE ARTS,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,30,10,9,9.5,3.9,21,13.3,4.5
09X339,X339,I.S. 339,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,42,14,23,13.8,7.6,19,12.4,7.7
09X443,X443,THE FAMILY SCHOOL,ELEMENTARY,3,45,10,5,14.4,7.5,40,10.2,6.0
09X449,X449,GRANT AVENUE ELEMENTARY SCHOOL,ELEMENTARY,2,39,17,8,7.3,5.2,31,9.4,5.8
09X454,X454,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,37,9,11,5.6,5.5,26,5.4,5.1
09X457,X457,SHERIDAN ACADEMY FOR YOUNG LEADERS,ELEMENTARY,3,42,17,5,9.1,5.6,37,11.2,5.2
09X555,X555,MOUNT EDEN CHILDREN'S ACADEMY,ELEMENTARY,2,31,16,*,,,*,,
09X568,X568,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,SECONDARY SCHOOL,3,42,9,11,8.0,4.4,31,6.0,3.8
09X593,X593,SOUTH BRONX INTERNATIONAL MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,13,6,*,,,*,,
09X594,X594,NEW PATHWAYS ACADEMY,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,25,6,5,5.9,2.3,20,4.0,2.4
10X003,X003,P.S. 3 RAUL JULIA MICRO SOCIETY,K-8,3,29,22,7,16.1,13.4,22,8.1,6.8
10X007,X007,MILTON FEIN SCHOOL,ELEMENTARY,3,36,12,8,16.6,11.8,28,14.4,8.9
10X008,X008,P.S. 008 ISAAC VARIAN,ELEMENTARY,4,69,18,9,11.5,10.1,60,14.0,11.7
10X009,X009,P.S. 9 RYER AVENUE ELEMENTARY SCHOOL,ELEMENTARY,4,62,23,9,11.7,10.4,53,10.7,7.9
10X015,X015,P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,K-8,2,38,13,6,14.4,11.3,32,11.2,9.5
10X020,X020,PS/MS 20 P.O.GEORGE J. WERDANN  III,K-8,4,71,33,12,11.2,8.2,59,12.8,10.9
10X023,X023,P.S. 023 THE NEW CHILDREN'S SCHOOL,ELEMENTARY,3,40,29,8,11.0,11.7,32,15.7,14.9
10X024,X024,P.S. 024 SPUYTEN DUYVIL,ELEMENTARY,3,59,19,5,7.2,5.5,54,13.4,8.7
10X032,X032,P.S. 032 BELMONT,ELEMENTARY,4,66,27,9,15.3,11.8,57,11.0,9.1
10X033,X033,P.S. 033 TIMOTHY DWIGHT,ELEMENTARY,4,63,23,11,11.7,11.4,52,11.6,11.2
10X037,X037,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,K-8,2,43,24,*,,,*,,
10X045,X045,THOMAS C. GIORDANO MIDDLE SCHOOL 45,JUNIOR HIGH-INTERMEDIATE-MIDDLE,4,54,8,15,9.0,7.2,39,12.1,10.5
10X046,X046,P.S. 046 EDGAR ALLAN POE,ELEMENTARY,5,64,26,9,14.7,12.1,55,13.5,12.2
10X051,X051,THE BRONX STEM AND ARTS ACADEMY,ELEMENTARY,1,16,5,*,,,*,,
10X054,X054,P.S./I.S. 54,ELEMENTARY,3,34,22,*,,,*,,
10X056,X056,P.S. 056 NORWOOD HEIGHTS,ELEMENTARY,3,49,29,*,,,*,,
10X059,X059,P.S. 059 THE COMMUNITY SCHOOL OF TECHNOLOGY,ELEMENTARY,4,43,23,5,16.8,15.8,38,15.6,14.0
10X077,X077,BEDFORD PARK ELEMENTARY SCHOOL,ELEMENTARY,2,46,13,*,,,*,,
10X080,X080,J.H.S. 080 THE MOSHOLU PARKWAY,JUNIOR HIGH-INTERMEDIATE-MIDDLE,4,48,10,12,6.6,4.1,36,4.1,2.8
10X081,X081,P.S. 081 ROBERT J. CHRISTEN,ELEMENTARY,3,52,21,*,,,*,,
10X085,X085,P.S. 085 GREAT EXPECTATIONS,ELEMENTARY,4,71,37,9,13.1,11.5,62,10.5,9.2
10X086,X086,P.S. 086 KINGSBRIDGE HEIGHTS,ELEMENTARY,4,121,35,12,13.6,13.4,109,10.5,10.3
10X091,X091,P.S. 091 BRONX,ELEMENTARY,2,46,17,*,,,*,,
10X094,X094,P.S. 094 KINGS COLLEGE SCHOOL,ELEMENTARY,4,94,51,5,11.5,10.1,89,10.6,9.3
10X095,X095,P.S. 095 SHEILA MENCHER,K-8,5,79,30,19,16.1,12.6,60,11.2,8.4
10X118,X118,J.H.S. 118 WILLIAM W. NILES,JUNIOR HIGH-INTERMEDIATE-MIDDLE,4,79,26,33,12.0,7.7,46,10.2,7.1
10X141,X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / H,SECONDARY SCHOOL,5,104,23,42,11.1,7.8,62,10.8,7.2
10X159,X159,P.S. 159 LUIS MUNOZ MARIN BILING,ELEMENTARY,2,14,4,*,,,*,,
10X205,X205,P.S. 205 FIORELLO LAGUARDIA,ELEMENTARY,4,70,23,*,,,*,,
10X206,X206,I.S. 206 ANN MERSEREAU,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,25,11,12,12.9,6.4,13,13.1,8.3
10X207,X207,P.S. 207,ELEMENTARY,3,31,10,*,,,*,,
10X209,X209,P.S. 209,EARLY CHILDHOOD,3,23,10,*,,,*,,
10X225,X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,SECONDARY SCHOOL,4,49,16,18,11.8,7.1,31,9.5,4.7
10X226,X226,P.S. 226,ELEMENTARY,3,33,11,*,,,*,,
10X228,X228,JONAS BRONCK ACADEMY,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,22,8,5,10.3,8.7,17,8.9,6.5
10X244,X244,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,54,16,23,9.9,8.7,31,10.3,8.2
10X246,X246,P.S. 246 POE CENTER,ELEMENTARY,3,58,11,5,13.0,13.0,53,9.2,7.7
10X254,X254,I.S. 254,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,42,14,13,9.4,5.4,29,7.4,4.8
10X279,X279,P.S. 279 CAPTAIN MANUEL RIVERA  JR.,K-8,4,72,31,13,14.5,12.1,59,11.8,10.0
10X280,X280,P.S./M.S. 280 MOSHOLU PARKWAY,K-8,4,65,20,11,9.5,9.4,54,12.1,11.3
10X291,X291,P.S. 291,ELEMENTARY,4,37,12,*,,,*,,
10X306,X306,P.S. 306,ELEMENTARY,4,43,22,6,12.8,10.0,37,10.1,8.0
10X307,X307,LUISA PINEIRO FUENTES SCHOOL OF SCIENCE AND DISCOV,ELEMENTARY,2,27,9,5,12.9,7.8,22,10.1,6.4
10X308,X308,BRONX DANCE ACADEMY SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,22,4,6,10.0,6.5,16,9.5,7.2
10X310,X310,P.S. 310 MARBLE HILL,ELEMENTARY,3,48,16,*,,,*,,
10X315,X315,P.S. 315 LAB SCHOOL,K-8,2,17,11,*,,,*,,
10X331,X331,THE BRONX SCHOOL OF YOUNG LEADERS,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,35,12,13,5.2,3.5,22,7.4,4.8
10X340,X340,P.S. 340,ELEMENTARY,3,45,19,*,,,*,,
10X344,X344,AMPARK NEIGHBORHOOD,ELEMENTARY,2,29,19,6,10.3,6.3,23,8.2,5.7
10X360,X360,P.S. 360,ELEMENTARY,2,33,14,5,20.2,18.7,28,8.6,8.2
10X363,X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,JUNIOR HIGH-INTERMEDIATE-MIDDLE,5,90,25,24,10.0,5.7,66,9.2,4.2
10X368,X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),SECONDARY SCHOOL,5,74,20,27,10.1,7.9,47,14.0,9.0
10X382,X382,ELEMENTARY SCHOOL FOR MATH  SCIENCE  AND TECHNOLOG,ELEMENTARY,2,21,5,7,12.0,7.5,14,13.5,8.1
10X386,X386,SCHOOL FOR ENVIRONMENTAL CITIZENSHIP,ELEMENTARY,3,46,15,5,9.3,7.9,41,10.1,6.5
10X390,X390,M.S. 390,JUNIOR HIGH-INTERMEDIATE-MIDDLE,4,45,15,13,10.2,8.6,32,8.3,5.9
10X391,X391,THE ANGELO PATRI MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,41,14,18,9.7,6.9,23,10.8,5.9
10X396,X396,P.S. 396,ELEMENTARY,3,57,17,6,6.1,6.1,51,7.6,6.2
10X447,X447,CRESTON ACADEMY,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,41,18,12,8.7,6.3,29,7.1,5.6
11X016,X016,P.S. 016 WAKEFIELD,ELEMENTARY,2,24,13,*,,,*,,
11X019,X019,P.S. 019 JUDITH K. WEISS,K-8,3,41,16,7,14.7,10.1,34,12.8,9.6
11X021,X021,P.S. 021 PHILIP H. SHERIDAN,ELEMENTARY,3,41,11,*,,,*,,
11X041,X041,P.S. 041 GUN HILL ROAD,ELEMENTARY,3,61,22,8,5.2,3.9,53,9.5,7.4
11X068,X068,P.S. 068 BRONX,ELEMENTARY,4,61,20,8,15.6,11.7,53,13.8,11.4
11X076,X076,P.S. 076 THE BENNINGTON SCHOOL,ELEMENTARY,4,69,26,9,10.1,5.2,60,6.4,5.3
11X078,X078,P.S. 078 ANNE HUTCHINSON,ELEMENTARY,4,50,20,*,,,*,,
11X083,X083,P.S. 083 DONALD HERTZ,K-8,6,121,29,25,15.9,12.6,96,13.0,10.4
11X087,X087,P.S. 087 BRONX,ELEMENTARY,3,30,12,*,,,*,,
11X089,X089,P.S. 089 BRONX,K-8,6,95,26,17,10.1,8.2,78,9.8,8.8
11X096,X096,P.S. 096 RICHARD RODGERS,ELEMENTARY,5,72,15,10,14.0,12.0,62,9.9,8.9
11X097,X097,P.S. 097 BRONX,ELEMENTARY,3,44,20,9,15.6,13.2,35,13.9,12.6
11X103,X103,P.S. 103 HECTOR FONTANEZ,ELEMENTARY,4,76,27,14,10.9,7.8,62,13.6,12.0
11X105,X105,P.S. 105 SEN ABRAHAM BERNSTEIN,ELEMENTARY,5,76,17,6,14.7,13.1,70,12.5,11.4
11X106,X106,P.S. 106 PARKCHESTER,ELEMENTARY,4,79,26,12,13.4,11.8,67,13.5,11.9
11X108,X108,P.S. 108 PHILIP J. ABINANTI,ELEMENTARY,3,42,13,*,,,*,,
11X111,X111,P.S. 111 SETON FALLS,ELEMENTARY,2,43,16,*,,,*,,
11X112,X112,P.S. 112 BRONXWOOD,ELEMENTARY,2,38,19,*,,,*,,
11X121,X121,P.S. 121 THROOP,ELEMENTARY,3,49,18,5,11.3,9.5,44,14.0,12.5
11X127,X127,J.H.S. 127 THE CASTLE HILL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,5,69,22,27,8.7,6.5,42,6.9,5.9
11X144,X144,J.H.S. 144 MICHELANGELO,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,40,18,12,14.4,12.2,28,12.7,11.5
11X153,X153,P.S. 153 HELEN KELLER,ELEMENTARY,2,40,19,5,13.9,10.3,35,16.4,14.2
11X160,X160,P.S. 160 WALT DISNEY,ELEMENTARY,2,38,19,*,,,*,,
11X169,X169,BAYCHESTER ACADEMY,ELEMENTARY,2,28,23,*,,,*,,
11X175,X175,P.S. 175 CITY ISLAND,K-8,2,22,6,5,10.1,2.9,17,12.5,8.9
11X178,X178,P.S. 178 - DR. SELMAN WAKSMAN,ELEMENTARY,3,32,21,*,,,*,,
11X180,X180,M.S. 180 DR. DANIEL HALE WILLIAMS,JUNIOR HIGH-INTERMEDIATE-MIDDLE,5,75,32,15,8.9,8.3,60,10.6,7.4
11X181,X181,I.S. 181 PABLO CASALS,JUNIOR HIGH-INTERMEDIATE-MIDDLE,6,68,28,22,10.6,8.8,46,10.9,7.5
11X189,X189,CORNERSTONE ACADEMY FOR SOCIAL ACTION,ELEMENTARY,1,28,17,*,,,*,,
11X194,X194,P.S./M.S. 194,K-8,4,97,24,16,13.4,10.5,81,13.4,9.7
11X287,X287,NORTH BRONX SCHOOL OF EMPOWERMENT,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,40,12,13,11.5,5.4,27,10.1,2.9
11X326,X326,BRONX GREEN MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,28,7,11,11.1,8.5,17,13.4,7.4
11X355,X355,BRONX ALLIANCE MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,28,8,8,7.6,3.7,20,9.0,3.4
11X357,X357,YOUNG VOICES ACADEMY OF THE BRONX,ELEMENTARY,2,32,7,*,,,*,,
11X370,X370,LEADERS OF TOMORROW,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,39,13,15,11.4,4.9,24,11.9,4.9
11X462,X462,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOO,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,20,10,6,10.3,5.4,14,13.1,7.2
11X468,X468,PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEME,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1,28,8,10,8.2,4.9,18,8.6,6.2
11X481,X481,THE STEAM BRIDGE SCHOOL,ELEMENTARY,2,25,2,*,,,*,,
11X483,X483,THE MATILDA AVENUE SCHOOL,ELEMENTARY,2,20,6,5,3.5,1.7,15,8.0,3.0
11X498,X498,P.S./M.S. 11X498 - VAN NEST ACADEMY,K-8,3,43,20,7,12.9,7.0,36,10.4,6.4
11X529,X529,ONE WORLD MIDDLE SCHOOL AT EDENWALD,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,36,9,6,6.7,5.7,30,9.7,5.2
11X532,X532,BAYCHESTER MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,23,10,5,5.9,4.1,18,7.1,3.3
11X556,X556,BRONX PARK MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,33,7,12,7.8,6.4,21,5.1,3.6
11X566,X566,PELHAM GARDENS MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,36,11,8,11.7,4.2,28,11.6,5.8
11X567,X567,LINDEN TREE ELEMENTARY SCHOOL,ELEMENTARY,2,34,17,*,,,*,,
12X006,X006,P.S. 006 WEST FARMS,ELEMENTARY,4,41,22,6,9.4,8.2,35,15.4,11.9
12X044,X044,P.S. 044 DAVID C. FARRAGUT,ELEMENTARY,2,26,7,*,,,*,,
12X047,X047,P.S. 047 JOHN RANDOLPH,ELEMENTARY,5,73,19,8,14.6,13.4,65,12.8,10.4
12X057,X057,P.S. 057 CRESCENT,ELEMENTARY,2,41,25,7,17.8,17.1,34,12.6,9.9
12X061,X061,P.S. 061 FRANCISCO OLLER,ELEMENTARY,2,26,9,*,,,*,,
12X066,X066,P.S. 066 SCHOOL OF HIGHER EXPECTATIONS,ELEMENTARY,3,53,17,9,13.8,10.9,44,12.2,9.9
12X067,X067,P.S. 067 MOHEGAN SCHOOL,ELEMENTARY,5,36,12,10,7.8,5.1,26,5.1,3.7
12X098,X098,J.H.S. 098 HERMAN RIDDER,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,19,11,8,11.3,10.2,11,12.9,10.2
12X129,X129,M.S. 129 ACADEMY FOR INDEPENDENT LEARNING AND LEAD,JUNIOR HIGH-INTERMEDIATE-MIDDLE,4,43,16,10,17.0,15.7,33,12.4,6.8
12X134,X134,P.S. 134 GEORGE F. BRISTOW,ELEMENTARY,3,41,15,7,15.0,4.6,34,13.7,9.8
12X150,X150,P.S. 150 CHARLES JAMES FOX,ELEMENTARY,3,49,16,6,14.5,13.0,43,16.7,14.0
12X190,X190,E.S.M.T- I.S. 190,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,22,7,7,7.5,8.0,15,13.8,5.6
12X195,X195,P.S. 195,ELEMENTARY,4,63,25,14,5.5,4.3,49,6.4,4.3
12X196,X196,P.S. 196,ELEMENTARY,2,65,18,7,8.9,5.7,58,12.2,7.7
12X211,X211,P.S. 211,K-8,2,45,18,9,7.3,5.0,36,8.6,6.8
12X214,X214,P.S. 214,K-8,5,79,21,14,11.0,6.6,65,10.0,6.9
12X217,X217,SCHOOL OF PERFORMING ARTS,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,30,10,11,4.8,3.6,19,4.2,2.8
12X242,X242,MOTT HALL V,SECONDARY SCHOOL,4,58,18,18,8.8,6.4,40,9.3,6.0
12X273,X273,FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,24,10,6,7.7,2.1,18,6.6,2.1
12X286,X286,FANNIE LOU HAMER MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,25,10,6,8.8,6.9,19,5.4,2.4
12X300,X300,THE SCHOOL OF SCIENCE AND APPLIED LEARNING,ELEMENTARY,3,48,27,6,18.3,10.9,42,15.2,10.1
12X314,X314,FAIRMONT NEIGHBORHOOD SCHOOL,ELEMENTARY,2,29,14,*,,,*,,
12X316,X316,KAPPA III,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,27,8,12,5.6,5.1,15,6.3,5.3
12X318,X318,I.S. X318 MATH  SCIENCE & TECHNOLOGY THROUGH ARTS,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,23,7,5,3.5,2.9,18,6.8,5.2
12X341,X341,ACCION ACADEMY,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,35,14,11,9.2,1.9,24,7.2,3.3
12X383,X383,EMOLIOR ACADEMY,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,33,8,12,8.7,5.3,21,7.2,3.0
12X458,X458,SAMARA COMMUNITY SCHOOL,ELEMENTARY,2,27,11,*,,,*,,
12X463,X463,URBAN SCHOLARS COMMUNITY SCHOOL,ELEMENTARY,2,35,26,*,,,*,,
12X531,X531,ARCHER ELEMENTARY SCHOOL,ELEMENTARY,2,36,21,5,13.1,4.9,31,10.0,6.4
12X536,X536,P.S. 536,ELEMENTARY,2,25,8,*,,,*,,
12X595,X595,P.S. 595,ELEMENTARY,2,26,9,*,,,*,,
12X691,X691,BRONX LITTLE SCHOOL,ELEMENTARY,2,30,12,*,,,*,,
13K003,K003,P.S. 003 THE BEDFORD VILLAGE,ELEMENTARY,1,24,11,5,19.7,17.3,19,20.1,15.7
13K008,K008,THE EMILY WARREN ROEBLING SCHOOL,ELEMENTARY,2,38,8,6,13.8,11.5,32,13.0,8.8
13K009,K009,PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL,ELEMENTARY,3,62,34,9,7.7,5.4,53,11.6,8.1
13K011,K011,P.S. 011 PURVIS J. BEHAN,ELEMENTARY,2,51,18,5,4.2,4.0,46,10.7,8.3
13K020,K020,P.S. 020 CLINTON HILL,ELEMENTARY,2,40,15,5,7.4,3.1,35,13.1,10.2
13K044,K044,P.S. 044 MARCUS GARVEY,ELEMENTARY,2,15,7,*,,,*,,
13K046,K046,P.S. 046 EDWARD C. BLUM,ELEMENTARY,2,25,18,*,,,*,,
13K054,K054,P.S. 054 SAMUEL C. BARNES,ELEMENTARY,2,20,14,*,,,*,,
13K056,K056,P.S. 056 LEWIS H. LATIMER,ELEMENTARY,1,24,14,*,,,*,,
