Year,School Name,DBN,School Code,School Level,Leadership,Teachers,Other Staff,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Average Years in Title,B/AA Average Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple Count,Multiple Average Years in Title,Multiple Average Years at School,Unknown/Other (U/O) Count,U/O Average Years in Title,U/O Average Years at School
2022,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE,72X241,X241,SECONDARY SCHOOL,3,65,11,*,,,*,,,16,4.2,4.1,*,,,19,4.5,4.4,25,6.9,5.7,*,,,*,,
2022,WEST BRONX ACADEMY FOR THE FUTURE,72X243,X243,SECONDARY SCHOOL,4,54,14,*,,,*,,,14,8.3,5.6,*,,,20,8.1,5,18,8.9,7.7,*,,,*,,
2022,BRONX LATIN,72X267,X267,SECONDARY SCHOOL,4,51,9,*,,,*,,,10,14.7,7.5,*,,,18,8.7,5.8,19,5.9,3.4,*,,,*,,
2022,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,72X269,X269,SECONDARY SCHOOL,4,57,18,*,,,*,,,9,8.6,4.3,*,,,16,8.3,3.6,29,8.5,4.8,*,,,*,,
2022,EAST BRONX ACADEMY FOR THE FUTURE,72X271,X271,SECONDARY SCHOOL,3,63,14,*,,,*,,,17,10.2,5.6,*,,,21,7.7,6.2,21,10.8,8.4,*,,,*,,
2022,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,72X342,X342,SECONDARY SCHOOL,4,43,6,*,,,*,,,*,,,*,,,30,12,6.2,8,10.1,5.4,*,,,*,,
2022,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOA,72X376,X376,SECONDARY SCHOOL,2,34,11,*,,,*,,,9,16.8,6,*,,,13,15,8.2,7,8.3,7.2,*,,,*,,
2022,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,72X413,X413,SECONDARY SCHOOL,4,45,14,*,,,*,,,8,8.8,5,*,,,19,11.5,7.7,18,9.4,5,*,,,*,,
2022,HOSTOS-LINCOLN ACADEMY OF SCIENCE,72X500,X500,SECONDARY SCHOOL,3,40,13,*,,,6,6.5,5.1,11,11.7,9,*,,,9,11.4,8.1,14,16.2,13.3,*,,,*,,
2022,BRONX SCHOOL FOR LAW  GOVERNMENT AND JUSTICE,72X505,X505,SECONDARY SCHOOL,4,59,12,*,,,*,,,16,9.2,6.7,*,,,24,6.8,5.3,17,9,6.5,*,,,*,,
2022,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,72X551,X551,SECONDARY SCHOOL,5,53,21,*,,,*,,,7,5.3,3.8,*,,,12,5.7,4.5,27,7.2,4.2,*,,,*,,
2022,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORA,73K382,K382,SECONDARY SCHOOL,4,23,8,*,,,*,,,15,10.1,5.1,*,,,*,,,*,,,*,,,*,,
2022,ACADEMY FOR YOUNG WRITERS,73K404,K404,SECONDARY SCHOOL,3,51,13,*,,,5,3.5,1.9,21,7.4,3.1,*,,,7,9.4,4.6,15,10.1,5.7,*,,,*,,
2022,EAST NEW YORK FAMILY ACADEMY,73K409,K409,SECONDARY SCHOOL,3,52,16,*,,,8,8.9,7.1,33,13.2,7.5,*,,,*,,,6,12.7,8.5,*,,,*,,
2022,BROOKLYN COLLABORATIVE STUDIES,73K448,K448,SECONDARY SCHOOL,2,61,22,*,,,*,,,15,12.9,6.8,*,,,7,7.7,4,35,11.4,8.9,*,,,*,,
2022,SCIENCE  TECHNOLOGY AND RESEARCH EARLY COLLEGE HIG,73K543,K543,SECONDARY SCHOOL,5,38,9,*,,,*,,,15,12.6,7.2,*,,,*,,,17,10.5,8.7,*,,,*,,
2022,ALL CITY LEADERSHIP SECONDARY SCHOOL,73K554,K554,SECONDARY SCHOOL,3,20,8,*,,,*,,,7,12.3,10.8,*,,,7,9.4,8,6,11.6,7.4,*,,,*,,
2022,LYONS COMMUNITY SCHOOL,73K586,K586,SECONDARY SCHOOL,2,46,9,*,,,*,,,13,6.6,4.5,*,,,10,6.2,4.1,20,14.1,8.8,*,,,*,,
2022,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,73K590,K590,SECONDARY SCHOOL,6,75,13,*,,,8,9.1,7.4,43,15.9,9.4,*,,,5,5.7,4.7,17,7.5,4.8,*,,,*,,
2022,YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,73K614,K614,SECONDARY SCHOOL,3,30,6,*,,,*,,,7,5.7,2,*,,,*,,,16,7.3,5.2,*,,,*,,
2022,EAGLE ACADEMY FOR YOUNG MEN II,73K644,K644,SECONDARY SCHOOL,6,45,14,*,,,*,,,32,6.7,6.3,*,,,*,,,6,7.2,6.3,*,,,*,,
2022,BROOKLYN STUDIO SECONDARY SCHOOL,73K690,K690,SECONDARY SCHOOL,6,65,25,*,,,*,,,5,18.7,10.3,*,,,5,12.3,6.3,50,12.6,10.4,*,,,*,,
2022,PARK SLOPE COLLEGIATE,76K464,K464,SECONDARY SCHOOL,3,59,17,*,,,*,,,15,8.7,4.7,*,,,11,10.4,7.3,27,11.9,7.9,*,,,*,,
2022,KINGSBOROUGH EARLY COLLEGE SCHOOL,76K468,K468,SECONDARY SCHOOL,4,45,10,*,,,*,,,*,,,*,,,*,,,36,8.5,5.3,*,,,*,,
2022,THE BOERUM HILL SCHOOL FOR INTERNATIONAL STUDIES,76K497,K497,SECONDARY SCHOOL,4,65,12,*,,,*,,,16,8.4,4.2,*,,,8,9.3,7.5,37,6.8,4.6,*,,,*,,
2022,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR Y,76K527,K527,SECONDARY SCHOOL,2,38,10,*,,,*,,,10,7.3,4.2,*,,,*,,,22,8.6,5.2,*,,,*,,
2022,URBAN ASSEMBLY SCHOOL FOR LEADERSHIP AND EMPOWERME,76K609,K609,SECONDARY SCHOOL,4,45,8,*,,,*,,,*,,,*,,,7,5.7,4.1,30,9.5,4.7,*,,,*,,
2022,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOA,77Q259,Q259,SECONDARY SCHOOL,3,47,10,*,,,6,10.7,5.1,24,11.8,6,*,,,5,7,3.7,12,9.4,7.2,*,,,*,,
2022,CHANNEL VIEW SCHOOL FOR RESEARCH,77Q262,Q262,SECONDARY SCHOOL,5,99,22,*,,,*,,,20,7.7,3,*,,,8,12.8,10,62,9.9,6.7,*,,,*,,
2022,EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,77Q281,Q281,SECONDARY SCHOOL,4,62,11,*,,,20,8.2,6.5,*,,,*,,,5,5.7,4.9,35,9.3,5.7,*,,,*,,
2022,YORK EARLY COLLEGE ACADEMY,77Q284,Q284,SECONDARY SCHOOL,4,33,8,*,,,*,,,11,11.6,4.8,*,,,5,11.6,8,13,12.1,9.6,*,,,*,,
2022,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCH,77Q309,Q309,SECONDARY SCHOOL,4,53,7,*,,,5,5.8,6,5,9.1,7.7,*,,,10,8.9,5.6,31,11.6,7.7,*,,,*,,
2022,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,77Q310,Q310,SECONDARY SCHOOL,4,47,6,*,,,7,9.6,5.6,13,9.7,6.4,*,,,6,11.1,4.5,18,8.1,7.1,*,,,*,,
2022,EAGLE ACADEMY FOR YOUNG MEN III,77Q327,Q327,SECONDARY SCHOOL,3,29,11,*,,,*,,,20,14.2,4.9,*,,,*,,,5,9.9,4.6,*,,,*,,
2022,ROBERT F. WAGNER  JR. SECONDARY SCHOOL FOR ARTS AN,77Q560,Q560,SECONDARY SCHOOL,3,42,14,*,,,5,8.4,6.5,*,,,*,,,*,,,29,12.2,9.2,*,,,*,,
2022,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,77Q580,Q580,SECONDARY SCHOOL,3,36,2,*,,,6,14.7,8.4,5,14.5,7.7,*,,,6,8.7,6.3,18,15.4,10.6,*,,,*,,
2022,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,77Q680,Q680,SECONDARY SCHOOL,3,41,9,*,,,7,9.6,5.3,10,10.7,6,*,,,*,,,20,13.9,8.9,*,,,*,,
2022,YOUNG WOMEN'S LEADERSHIP SCHOOL  QUEENS,77Q896,Q896,SECONDARY SCHOOL,3,34,4,*,,,5,10.5,5.1,11,15.2,7.6,*,,,5,7.2,4.4,13,12.9,8.7,*,,,*,,
2022,P.S. K811 CONNIE LEKAS SCHOOL,97K811,K811,SECONDARY SCHOOL,4,64,151,*,,,9,12.6,10.8,17,9.2,9,*,,,*,,,32,11.9,9.9,*,,,*,,
2022,P.S. M079 - HORAN SCHOOL,97M079,M079,SECONDARY SCHOOL,4,52,86,*,,,*,,,19,7,5.8,*,,,12,5.4,3.6,17,11.5,8.8,*,,,*,,
2022,P.S. M721 - MANHATTAN OCCUPATIONAL TRAINING CENTER,97M721,M721,SECONDARY SCHOOL,2,45,80,*,,,5,5.6,8.1,10,14.8,9,*,,,8,10.6,8.7,21,10.6,9.5,*,,,*,,
2022,THE RICHARD H. HUNGERFORD SCHOOL,97R721,R721,SECONDARY SCHOOL,5,98,238,*,,,*,,,*,,,*,,,9,6.5,8,81,10.8,10,*,,,*,,
2022,P.S. X012 LEWIS AND CLARK SCHOOL,97X012,X012,SECONDARY SCHOOL,4,65,88,*,,,9,6.9,6.5,25,10,7.2,*,,,13,8.4,6.6,17,8.6,5.9,*,,,*,,
2022,P.S. X176,97X176,X176,SECONDARY SCHOOL,6,132,194,*,,,*,,,30,6.5,5.4,*,,,29,6.8,7.5,66,10.8,9.9,*,,,*,,
2022,P.S. X811,97X811,X811,SECONDARY SCHOOL,7,127,243,*,,,11,11.2,11.6,36,11.7,10.9,*,,,44,9.2,8.3,34,10.7,9.8,*,,,*,,
2022,SPECIAL MUSIC SCHOOL,03M859,M859,K-12 ALL GRADES,2,22,4,*,,,5,12.3,4.3,*,,,*,,,*,,,13,8.4,4.7,*,,,*,,
2022,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,06M348,M348,K-12 ALL GRADES,5,81,21,*,,,*,,,6,9.6,4.4,*,,,31,5.4,3,38,10.8,6.5,*,,,*,,
2022,NEW EXPLORATIONS INTO SCIENCE  TECHNOLOGY AND MATH,71M539,M539,K-12 ALL GRADES,7,106,17,*,,,18,7.7,6.7,8,7.4,3.5,*,,,7,9.6,5.1,71,9.1,5.5,*,,,*,,
2022,THE MICHAEL J. PETRIDES SCHOOL,81R080,R080,K-12 ALL GRADES,4,100,75,*,,,*,,,*,,,*,,,6,5.3,3.9,86,12.1,10.5,*,,,*,,
2022,P.S. 36,97K036,K036,K-12 ALL GRADES,5,111,153,*,,,*,,,32,8.6,7.3,*,,,14,7.2,6.6,57,7.6,6.6,*,,,*,,
2022,P.S. K053,97K053,K053,K-12 ALL GRADES,5,98,136,*,,,*,,,15,14.9,17.2,*,,,10,12.3,11.9,69,7.7,6.9,*,,,*,,
2022,P.S. K077,97K077,K077,K-12 ALL GRADES,4,80,105,*,,,*,,,33,7.1,6.3,*,,,*,,,38,8,7.4,*,,,*,,
2022,P.S. K141,97K141,K141,K-12 ALL GRADES,5,98,122,*,,,*,,,26,9.7,7.5,*,,,8,10.4,11.4,60,7.9,6.4,*,,,*,,
2022,P.S. 368,97K368,K368,K-12 ALL GRADES,3,66,95,*,,,*,,,30,10,8.4,*,,,11,9.1,8.5,19,11.7,10.4,*,,,*,,
2022,P.S. K369 - COY L. COX SCHOOL,97K369,K369,K-12 ALL GRADES,6,125,190,*,,,7,8.3,10.1,29,8.8,9.9,*,,,11,7.7,8.6,73,11,10.2,*,,,*,,
2022,P.S. 370,97K370,K370,K-12 ALL GRADES,4,63,91,*,,,*,,,10,15.5,10.2,*,,,6,4.1,9.7,41,9.8,8.5,*,,,*,,
2022,P.S. K721 - BROOKLYN OCCUPATIONAL TRAINING CENTER,97K721,K721,K-12 ALL GRADES,4,91,131,*,,,13,8.9,7.5,15,9.6,8.1,*,,,8,10.7,12.8,54,9.7,9.9,*,,,*,,
2022,P.S. K771,97K771,K771,K-12 ALL GRADES,6,124,222,*,,,6,9.2,9,32,10.8,11.1,*,,,10,7.3,11.5,72,12.5,11,*,,,*,,
2022,P.S. 035,97M035,M035,K-12 ALL GRADES,3,58,41,*,,,*,,,10,13.2,7.7,*,,,8,9.8,7,34,11.4,7.9,*,,,*,,
2022,P.S. M094,97M094,M094,K-12 ALL GRADES,4,111,168,*,,,9,8.5,4.4,19,9.1,8,*,,,18,7.9,7.6,56,8.7,7.4,*,,,5,10,7.8
2022,P.S. 138,97M138,M138,K-12 ALL GRADES,7,168,287,*,,,15,11.3,7.5,27,6.1,5.4,*,,,32,8,8.8,88,8.3,6.9,*,,,*,,
2022,P.S. M169 - ROBERT F. KENNEDY,97M169,M169,K-12 ALL GRADES,4,82,108,*,,,6,8.1,5.8,6,17.2,17.5,*,,,10,5.3,2.9,58,9.6,6.7,*,,,*,,
2022,P.S. M226,97M226,M226,K-12 ALL GRADES,4,72,101,*,,,8,9.6,7.2,12,10.4,7.6,*,,,10,8.9,9.4,40,8.2,7.7,*,,,*,,
2022,HOSPITAL SCHOOLS,97M401,M401,K-12 ALL GRADES,3,72,22,*,,,*,,,*,,,*,,,10,13.4,9.5,54,13.9,8.6,*,,,*,,
2022,HOME INSTRUCTION,97M501,M501,K-12 ALL GRADES,13,297,13,*,,,16,13.3,3.5,64,17.7,6.4,*,,,45,16.9,7.1,158,16.7,8.1,*,,,8,12.5,5.5
2022,P.S. Q023 @ QUEENS CHILDREN CENTER,97Q023,Q023,K-12 ALL GRADES,4,63,72,*,,,*,,,20,11.7,11.5,*,,,6,9.9,10.4,32,15.9,12.7,*,,,*,,
2022,P.S. Q177,97Q177,Q177,K-12 ALL GRADES,5,120,191,*,,,13,13.5,14.2,5,5.9,7.3,*,,,6,10,10,95,15.3,15.1,*,,,*,,
2022,P.S. Q233,97Q233,Q233,K-12 ALL GRADES,6,125,190,*,,,5,15.1,18.4,15,13.8,12.8,*,,,9,6.9,7,89,8.8,7.4,*,,,6,13.4,11.6
2022,P.S. Q255,97Q255,Q255,K-12 ALL GRADES,5,143,180,*,,,10,9,6.6,7,12.9,10.6,*,,,21,12.9,14,99,9.7,9,*,,,*,,
2022,P.S. Q256,97Q256,Q256,K-12 ALL GRADES,5,130,162,*,,,*,,,13,11.9,9.7,*,,,9,14.7,9.6,104,11.8,9.5,*,,,*,,
2022,THE RIVERVIEW SCHOOL,97Q277,Q277,K-12 ALL GRADES,5,148,211,*,,,22,3.6,3.2,13,3.7,4,*,,,31,4.9,4.7,79,6.7,4.5,*,,,*,,
2022,P.S. Q811,97Q811,Q811,K-12 ALL GRADES,5,108,183,*,,,10,13.7,10.3,6,6.7,6.5,*,,,15,10.9,8.7,77,10.7,7.3,*,,,*,,
2022,P.S. Q993,97Q993,Q993,K-12 ALL GRADES,4,138,298,*,,,13,7.8,7.6,13,12.2,13.3,*,,,16,8.7,8.7,91,12.3,9.5,*,,,5,12.7,8.3
2022,SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25,97R025,R025,K-12 ALL GRADES,5,122,210,*,,,6,9.8,8.2,*,,,*,,,10,5.6,3.3,100,11.8,8.7,*,,,*,,
2022,THE DAVID MARQUIS SCHOOL OF THE ARTS,97R037,R037,K-12 ALL GRADES,5,146,270,*,,,*,,,*,,,*,,,10,10.4,7,124,8.2,7.6,*,,,5,6.9,5.3
2022,P.S. X010,97X010,X010,K-12 ALL GRADES,7,177,213,*,,,11,5.5,5.5,33,7.6,6.8,*,,,55,7.9,7.8,69,8.1,7.1,6,1.3,0.6,*,,
2022,P.S. X017,97X017,X017,K-12 ALL GRADES,5,143,151,*,,,5,10.5,8.7,45,6.2,6.2,*,,,47,5.2,5.7,44,8.6,7.4,*,,,*,,
2022,P.S. 168,97X168,X168,K-12 ALL GRADES,7,146,163,*,,,7,13,15.2,27,8.8,8.7,*,,,57,8,8.2,50,10.1,8,5,3.1,5,*,,
2022,P186X WALTER J. DAMROSCH SCHOOL,97X186,X186,K-12 ALL GRADES,6,151,279,*,,,7,4,4,35,8.3,6.6,*,,,39,6.5,5.8,63,8.7,7.9,*,,,*,,
2022,P.S. X188,97X188,X188,K-12 ALL GRADES,6,134,136,*,,,9,7,7.3,52,11.1,9.4,*,,,35,9,8.6,37,11.7,11,*,,,*,,
2022,P.S. 723,97X723,X723,K-12 ALL GRADES,5,111,155,*,,,*,,,30,6.1,5.2,*,,,26,6.3,6.2,45,8.7,7.2,*,,,*,,
2022,ACADEMY FOR SOFTWARE ENGINEERING,02M546,M546,HIGH SCHOOL,2,33,13,*,,,*,,,*,,,*,,,6,4.8,2.9,17,7.4,5.3,*,,,*,,
2022,WALKABOUT BRONX HIGH SCHOOL,07X625,X625,HIGH SCHOOL,1,7,3,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,
2022,BRONX ARENA HIGH SCHOOL,08X537,X537,HIGH SCHOOL,2,15,2,*,,,*,,,*,,,*,,,*,,,8,8.9,6.7,*,,,*,,
2022,THE EAST NEW YORK ARTS AND CIVICS HIGH SCHOOL,19K953,K953,HIGH SCHOOL,3,12,3,*,,,*,,,5,6.2,0.8,*,,,*,,,5,1.5,1.1,*,,,*,,
2022,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,71M047,M047,HIGH SCHOOL,3,34,5,*,,,*,,,5,10.8,10.1,*,,,*,,,24,6.6,2.8,*,,,*,,
2022,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,71M135,M135,HIGH SCHOOL,3,25,4,*,,,*,,,*,,,*,,,8,6.3,2.3,11,9.2,4.4,*,,,*,,
2022,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HI,71M139,M139,HIGH SCHOOL,3,39,12,*,,,*,,,6,7.8,2.4,*,,,*,,,27,6,4,*,,,*,,
2022,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,71M157,M157,HIGH SCHOOL,3,24,7,*,,,*,,,7,3.6,1.7,*,,,5,5.8,1.7,9,5.4,4.4,*,,,*,,
