Year,School Name,DBN,School Code,School Level,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School
2021,ACADEMY FOR SOFTWARE ENGINEERING,02M546,M546,HIGH SCHOOL,3,35,15,18,8.3,4,16,6.3,4.4
2021,WALKABOUT BRONX HIGH SCHOOL,07X625,X625,HIGH SCHOOL,1,4,0,*,,,*,,
2021,BRONX ARENA HIGH SCHOOL,08X537,X537,HIGH SCHOOL,2,16,1,8,6.7,4.5,8,10.3,7.1
2021,SCHOOL FOR TOURISM AND HOSPITALITY,08X559,X559,HIGH SCHOOL,2,20,5,10,14.8,5.9,10,15.3,4.5
2021,THE EAST NEW YORK ARTS AND CIVICS HIGH SCHOOL,19K953,K953,HIGH SCHOOL,3,13,2,*,,,*,,
2021,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,71M047,M047,HIGH SCHOOL,3,25,3,8,7.2,3,17,8.1,6
2021,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,71M135,M135,HIGH SCHOOL,3,23,2,8,7,4.3,15,7.1,2.9
2021,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HI,71M139,M139,HIGH SCHOOL,3,41,13,18,6,2.9,23,5.8,3.9
2021,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,71M157,M157,HIGH SCHOOL,2,25,6,16,4.1,2.2,9,5.6,2.7
2021,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TE,71M211,M211,HIGH SCHOOL,3,37,11,16,8.3,3.1,21,7.5,3
2021,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,71M280,M280,HIGH SCHOOL,3,35,6,14,6.1,3.2,21,7,3
2021,URBAN ASSEMBLY MAKER ACADEMY,71M282,M282,HIGH SCHOOL,3,36,8,17,4.9,2.9,19,6.1,2.1
2021,HARLEM RENAISSANCE HIGH SCHOOL,71M285,M285,HIGH SCHOOL,1,17,4,6,16.9,8.6,11,17.3,6
2021,FOOD AND FINANCE HIGH SCHOOL,71M288,M288,HIGH SCHOOL,2,29,5,16,13.6,8,13,10.3,7.1
2021,ORCHARD COLLEGIATE ACADEMY,71M292,M292,HIGH SCHOOL,2,21,4,12,9.4,5.7,9,7.9,3.9
2021,ESSEX STREET ACADEMY,71M294,M294,HIGH SCHOOL,2,25,5,8,10.5,7.4,17,12.6,9.2
2021,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,71M296,M296,HIGH SCHOOL,2,23,7,9,11.9,8.1,14,11.7,7.9
2021,PACE HIGH SCHOOL,71M298,M298,HIGH SCHOOL,4,39,6,20,12,7.5,19,11.3,6.2
2021,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,71M299,M299,HIGH SCHOOL,2,23,3,10,15.2,7.2,13,8.4,4.5
2021,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,71M300,M300,HIGH SCHOOL,2,22,8,7,7.2,5.2,15,8.4,4.3
2021,FACING HISTORY SCHOOL  THE,71M303,M303,HIGH SCHOOL,2,28,10,11,7.2,5.6,17,9.2,5.6
2021,MOTT HALL HIGH SCHOOL,71M304,M304,HIGH SCHOOL,1,14,4,6,10.9,4.3,8,7.4,2.2
