Year,School Name,DBN,School Code,School Level,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School
2023,HIGH SCHOOL OF SPORTS MANAGEMENT,73K348,K348,HIGH SCHOOL,3,27,6,14,8,3.8,13,8.7,4.4
2023,URBAN ASSEMBLY SCHOOL OF MUSIC AND ART,73K350,K350,HIGH SCHOOL,3,10,4,*,,,*,,
2023,ACADEMY FOR EXCELLENCE IN LEADERSHIP,73K403,K403,HIGH SCHOOL,3,24,12,8,6.4,6.9,16,6.2,4
2023,MIDWOOD HIGH SCHOOL,73K405,K405,HIGH SCHOOL,12,227,52,94,12.3,9.9,133,9.8,7
2023,ACADEMY OF HOSPITALITY AND TOURISM,73K408,K408,HIGH SCHOOL,4,24,8,7,4,2.4,17,5.6,2.3
2023,BROOKLYN COMMUNITY ARTS & MEDIA HIGH SCHOOL (BCAM),73K412,K412,HIGH SCHOOL,3,48,10,20,9.3,5.5,28,12.3,6.1
2023,SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE  TEC,73K419,K419,HIGH SCHOOL,4,37,11,16,10.6,8.5,21,8.1,4.6
2023,JAMES MADISON HIGH SCHOOL,73K425,K425,HIGH SCHOOL,11,198,59,82,12.8,8.8,116,13.7,10.1
2023,BROOKLYN INTERNATIONAL HIGH SCHOOL,73K439,K439,HIGH SCHOOL,2,25,5,12,13.9,11,13,9.6,8.4
2023,NEW UTRECHT HIGH SCHOOL,73K445,K445,HIGH SCHOOL,12,204,50,73,12.3,10,131,12.2,9.9
2023,BROOKLYN PREPARATORY HIGH SCHOOL,73K488,K488,HIGH SCHOOL,4,39,8,18,11.1,5.4,21,9.9,6.7
2023,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,73K493,K493,HIGH SCHOOL,4,36,14,20,6.4,3.6,16,7.8,3.9
2023,FDNY - CAPTAIN VERNON A. RICHARD HIGH SCHOOL FOR F,73K502,K502,HIGH SCHOOL,2,23,7,7,9.8,4.6,16,9.7,6.3
2023,HIGH SCHOOL FOR CIVIL RIGHTS,73K504,K504,HIGH SCHOOL,3,16,5,7,15.8,7.2,9,15,8
2023,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,73K505,K505,HIGH SCHOOL,12,218,68,98,12.9,10.3,120,9.3,7.1
2023,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,73K507,K507,HIGH SCHOOL,3,28,5,14,8.8,5.7,14,9.5,6.9
2023,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHO,73K510,K510,HIGH SCHOOL,2,13,4,5,15.1,6.9,8,9.7,6.5
2023,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,73K514,K514,HIGH SCHOOL,2,18,6,9,8.8,5.1,9,7,3.8
2023,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,73K524,K524,HIGH SCHOOL,3,24,7,8,12.5,10.1,16,10.6,6.8
